LAT,LON
0.437263830000000E+02,-0.116807138000000E+03
0.437252540000000E+02,-0.116803519000000E+03
0.437264840000000E+02,-0.116802376000000E+03
0.437292740000000E+02,-0.116797645000000E+03
0.437305310000000E+02,-0.116793860000000E+03
0.437325820000000E+02,-0.116793118000000E+03
0.437325520000000E+02,-0.116792423000000E+03
0.437224350000000E+02,-0.116792602000000E+03
0.437201260000000E+02,-0.116800990000000E+03
0.437202180000000E+02,-0.116803954000000E+03
0.437220250000000E+02,-0.116807171000000E+03
0.437220250000000E+02,-0.116807171000000E+03
0.437263830000000E+02,-0.116807138000000E+03
END,END
