LAT,LON
0.401487680000000E+02,-0.884628750000000E+02
0.401480960000000E+02,-0.884602190000000E+02
0.401496320000000E+02,-0.884592270000000E+02
0.401525120000000E+02,-0.884589390000000E+02
0.401589760000000E+02,-0.884608750000000E+02
0.401605440000000E+02,-0.884581230000000E+02
0.401600800000000E+02,-0.884537060000000E+02
0.401581440000000E+02,-0.884504900000000E+02
0.401580640000000E+02,-0.884494020000000E+02
0.401604960000000E+02,-0.884439940000000E+02
0.401628800000000E+02,-0.884411300000000E+02
0.401643200000000E+02,-0.884406660000000E+02
0.401690560000000E+02,-0.884451780000000E+02
0.401713600000000E+02,-0.884454980000000E+02
0.401713760000000E+02,-0.884367940000000E+02
0.401743380000000E+02,-0.884352150000000E+02
0.401744080000000E+02,-0.884073560000000E+02
0.401568160000000E+02,-0.884073840000000E+02
0.401568640000000E+02,-0.883912720000000E+02
0.401568640000000E+02,-0.883912720000000E+02
0.401567680000000E+02,-0.883885840000000E+02
0.401422240000000E+02,-0.883884880000000E+02
0.401422720000000E+02,-0.884073520000000E+02
0.401134400000000E+02,-0.884070160000000E+02
0.401133760000000E+02,-0.883881520000000E+02
0.401133760000000E+02,-0.883881520000000E+02
0.401098560000000E+02,-0.883881680000000E+02
0.401098560000000E+02,-0.883881680000000E+02
0.400842400000000E+02,-0.883883440000000E+02
0.400843200000000E+02,-0.884073520000000E+02
0.400698240000000E+02,-0.884076080000000E+02
0.400697760000000E+02,-0.883885360000000E+02
0.400553110000000E+02,-0.883885200000000E+02
0.400551990000000E+02,-0.883694150000000E+02
0.400403190000000E+02,-0.883693990000000E+02
0.400403190000000E+02,-0.883693990000000E+02
0.400402870000000E+02,-0.883933360000000E+02
0.400260790000000E+02,-0.883915600000000E+02
0.400258080000000E+02,-0.884258010000000E+02
0.400404480000000E+02,-0.884265210000000E+02
0.400404000000000E+02,-0.884450500000000E+02
0.400404000000000E+02,-0.884450500000000E+02
0.400989920000000E+02,-0.884449700000000E+02
0.400989120000000E+02,-0.884627630000000E+02
0.401349760000000E+02,-0.884627790000000E+02
0.401359990000000E+02,-0.884627790000000E+02
0.401380860000000E+02,-0.884627790000000E+02
0.401385640000000E+02,-0.884627790000000E+02
0.401427040000000E+02,-0.884627790000000E+02
0.401487680000000E+02,-0.884628750000000E+02
END,END
