LAT,LON
0.403922390000000E+02,-0.899548110000000E+02
0.403880720000000E+02,-0.899603970000000E+02
0.403829040000000E+02,-0.899648510000000E+02
0.403811200000000E+02,-0.899670930000000E+02
0.403747610000000E+02,-0.899799020000000E+02
0.403747610000000E+02,-0.899799020000000E+02
0.403657250000000E+02,-0.899992870000000E+02
0.403664120000000E+02,-0.900017800000000E+02
0.403660240000000E+02,-0.900036330000000E+02
0.403625980000000E+02,-0.900100040000000E+02
0.403598780000000E+02,-0.900135640000000E+02
0.403540750000000E+02,-0.900243870000000E+02
0.403535740000000E+02,-0.900302460000000E+02
0.403538070000000E+02,-0.900469540000000E+02
0.403546990000000E+02,-0.900477300000000E+02
0.403556600000000E+02,-0.900478200000000E+02
0.403606210000000E+02,-0.900457250000000E+02
0.403648280000000E+02,-0.900430030000000E+02
0.403692860000000E+02,-0.900391150000000E+02
0.403736060000000E+02,-0.900342100000000E+02
0.403754030000000E+02,-0.900277290000000E+02
0.403757860000000E+02,-0.900127800000000E+02
0.403817040000000E+02,-0.900037150000000E+02
0.403826860000000E+02,-0.900013820000000E+02
0.403839010000000E+02,-0.899911940000000E+02
0.403798580000000E+02,-0.899821920000000E+02
0.403802920000000E+02,-0.899821020000000E+02
0.403823260000000E+02,-0.899844360000000E+02
0.403878130000000E+02,-0.899844700000000E+02
0.403901930000000E+02,-0.899795670000000E+02
0.403921300000000E+02,-0.899782190000000E+02
0.403921300000000E+02,-0.899782190000000E+02
0.403922390000000E+02,-0.899548110000000E+02
END,END
0.403570090000000E+02,-0.900482380000000E+02
0.403527100000000E+02,-0.900502120000000E+02
0.403489370000000E+02,-0.900512290000000E+02
0.403447300000000E+02,-0.900509010000000E+02
0.403410040000000E+02,-0.900491690000000E+02
0.403386480000000E+02,-0.900486620000000E+02
0.403345780000000E+02,-0.900491710000000E+02
0.403293190000000E+02,-0.900512040000000E+02
0.403316050000000E+02,-0.900492310000000E+02
0.403398830000000E+02,-0.900468080000000E+02
0.403415280000000E+02,-0.900468070000000E+02
0.403456900000000E+02,-0.900483010000000E+02
0.403487080000000E+02,-0.900481810000000E+02
0.403533270000000E+02,-0.900471630000000E+02
0.403531670000000E+02,-0.900456080000000E+02
0.403513600000000E+02,-0.900439350000000E+02
0.403495990000000E+02,-0.900445630000000E+02
0.403452320000000E+02,-0.900445950000000E+02
0.403438370000000E+02,-0.900440270000000E+02
0.403431050000000E+02,-0.900430110000000E+02
0.403437450000000E+02,-0.900414570000000E+02
0.403470830000000E+02,-0.900382880000000E+02
0.403531190000000E+02,-0.900381060000000E+02
0.403531160000000E+02,-0.900284230000000E+02
