LAT,LON
0.412855134594985E+02,-0.848036324026479E+02
0.412850300000000E+02,-0.848287140000000E+02
0.412579280000000E+02,-0.848278890000000E+02
0.412559150000000E+02,-0.848311310000000E+02
0.412556630000000E+02,-0.848432510000000E+02
0.412553170000000E+02,-0.848438610000000E+02
0.412522520000000E+02,-0.848451930000000E+02
0.412496270000000E+02,-0.848449440000000E+02
0.412466980000000E+02,-0.848439230000000E+02
0.412428880000000E+02,-0.848493340000000E+02
0.412428880000000E+02,-0.848493340000000E+02
0.412406910000000E+02,-0.848525150000000E+02
0.412407120000000E+02,-0.848538140000000E+02
0.412428870000000E+02,-0.848535160000000E+02
0.412504610000000E+02,-0.848593430000000E+02
0.412529320000000E+02,-0.848628610000000E+02
0.412551470000000E+02,-0.848672060000000E+02
0.412543070000000E+02,-0.849050080000000E+02
0.412398490000000E+02,-0.849044640000000E+02
0.412395490000000E+02,-0.849235650000000E+02
0.412249490000000E+02,-0.849232650000000E+02
0.412246490000000E+02,-0.849423650000000E+02
0.412391490000000E+02,-0.849427650000000E+02
0.412390490000000E+02,-0.849544660000000E+02
0.412599860000000E+02,-0.849459020000000E+02
0.412605320000000E+02,-0.849483780000000E+02
0.412594800000000E+02,-0.849496520000000E+02
0.412565750000000E+02,-0.849514090000000E+02
0.412537390000000E+02,-0.849500150000000E+02
0.412524120000000E+02,-0.849511360000000E+02
0.412520690000000E+02,-0.849539240000000E+02
0.412528000000000E+02,-0.849571360000000E+02
0.412509700000000E+02,-0.849589240000000E+02
0.412509700000000E+02,-0.849589240000000E+02
0.412500490000000E+02,-0.849599660000000E+02
0.412468830000000E+02,-0.849596370000000E+02
0.412453190000000E+02,-0.849621240000000E+02
0.412467840000000E+02,-0.849718590000000E+02
0.412464490000000E+02,-0.849731670000000E+02
0.412435720000000E+02,-0.849761180000000E+02
0.412440450000000E+02,-0.849817170000000E+02
0.412451590000000E+02,-0.849855470000000E+02
0.412445480000000E+02,-0.849874090000000E+02
0.412434340000000E+02,-0.849889500000000E+02
0.412410390000000E+02,-0.849908120000000E+02
0.412388720000000E+02,-0.849883250000000E+02
0.412350800000000E+02,-0.849893620000000E+02
0.412288240000000E+02,-0.849950080000000E+02
0.412269930000000E+02,-0.849981820000000E+02
0.412250400000000E+02,-0.850038440000000E+02
0.412271490000000E+02,-0.850089680000000E+02
0.412271490000000E+02,-0.850089680000000E+02
0.412286490000000E+02,-0.850185680000000E+02
0.412376490000000E+02,-0.850194680000000E+02
0.412378490000000E+02,-0.850049680000000E+02
0.412558730000000E+02,-0.850053990000000E+02
0.412565650000000E+02,-0.850177040000000E+02
0.412562950000000E+02,-0.850200070000000E+02
0.412562950000000E+02,-0.850200070000000E+02
0.412664690000000E+02,-0.850200920000000E+02
0.412665570000000E+02,-0.850162450000000E+02
0.412667400000000E+02,-0.850082770000000E+02
0.412668500000000E+02,-0.850009630000000E+02
0.412813740000000E+02,-0.850012520000000E+02
0.412819820000000E+02,-0.849726380000000E+02
0.412965510000000E+02,-0.849730090000000E+02
0.412965510000000E+02,-0.849730090000000E+02
0.412974240000000E+02,-0.849310350000000E+02
0.413121630000000E+02,-0.849246460000000E+02
0.413124710000000E+02,-0.849062510000000E+02
0.412979930000000E+02,-0.849060160000000E+02
0.412980660000000E+02,-0.849001950000000E+02
0.412944230000000E+02,-0.848991640000000E+02
0.412930010000000E+02,-0.848884910000000E+02
0.412984610000000E+02,-0.848724380000000E+02
0.412985810000000E+02,-0.848671410000000E+02
0.412841490000000E+02,-0.848670080000000E+02
0.412845910000000E+02,-0.848477850000000E+02
0.412990910000000E+02,-0.848482470000000E+02
0.412995530000000E+02,-0.848293540000000E+02
0.413088220000000E+02,-0.848296460000000E+02
0.413042231038082E+02,-0.848036990296843E+02
0.413042231038082E+02,-0.848036990296843E+02
0.412855134594985E+02,-0.848036324026479E+02
END,END
