LAT,LON
0.395242580000000E+02,-0.850071600000000E+02
0.395240500000000E+02,-0.849906640000000E+02
0.395240500000000E+02,-0.849906640000000E+02
0.395228150000000E+02,-0.849894220000000E+02
0.395168680000000E+02,-0.849865530000000E+02
0.395095470000000E+02,-0.849887920000000E+02
0.395083330000000E+02,-0.849901790000000E+02
0.395061520000000E+02,-0.850007070000000E+02
0.395069310000000E+02,-0.850028330000000E+02
0.395106620000000E+02,-0.850060780000000E+02
0.395137730000000E+02,-0.850064600000000E+02
0.395161300000000E+02,-0.850059850000000E+02
0.395242580000000E+02,-0.850071600000000E+02
END,END
0.394824740000000E+02,-0.849713200000000E+02
0.394812620000000E+02,-0.849710830000000E+02
0.394804380000000E+02,-0.849695470000000E+02
0.394806450000000E+02,-0.849644110000000E+02
0.394795930000000E+02,-0.849657090000000E+02
0.394784250000000E+02,-0.849689860000000E+02
0.394800240000000E+02,-0.849781680000000E+02
0.394783520000000E+02,-0.849831850000000E+02
0.394767960000000E+02,-0.849848380000000E+02
0.394730210000000E+02,-0.849850120000000E+02
0.394632530000000E+02,-0.849818480000000E+02
0.394581750000000E+02,-0.849780970000000E+02
0.394534620000000E+02,-0.849785080000000E+02
0.394498920000000E+02,-0.849807780000000E+02
0.394485180000000E+02,-0.849829610000000E+02
0.394475780000000E+02,-0.849884780000000E+02
0.394415120000000E+02,-0.849947890000000E+02
0.394394530000000E+02,-0.849958790000000E+02
0.394399310000000E+02,-0.850044510000000E+02
0.394420360000000E+02,-0.850047740000000E+02
0.394499270000000E+02,-0.850002970000000E+02
0.394542330000000E+02,-0.849953890000000E+02
0.394553090000000E+02,-0.849924380000000E+02
0.394561330000000E+02,-0.849915830000000E+02
0.394648040000000E+02,-0.849928880000000E+02
0.394661990000000E+02,-0.849943950000000E+02
0.394664040000000E+02,-0.849957530000000E+02
0.394675250000000E+02,-0.849964630000000E+02
0.394729000000000E+02,-0.849995130000000E+02
0.394805150000000E+02,-0.850023230000000E+02
0.394804080000000E+02,-0.849921330000000E+02
0.394793100000000E+02,-0.849910990000000E+02
0.394774810000000E+02,-0.849877620000000E+02
0.394832030000000E+02,-0.849821550000000E+02
0.394849698875977E+02,-0.849812940400391E+02
0.394873220000000E+02,-0.849811530000000E+02
0.394915550000000E+02,-0.849785280000000E+02
0.394950340000000E+02,-0.849730970000000E+02
0.394954240000000E+02,-0.849709410000000E+02
0.394949430000000E+02,-0.849710000000000E+02
0.394909150000000E+02,-0.849771690000000E+02
0.394892900000000E+02,-0.849782910000000E+02
0.394869330000000E+02,-0.849785850000000E+02
0.394822660000000E+02,-0.849781980000000E+02
0.394816960000000E+02,-0.849730910000000E+02
0.394824740000000E+02,-0.849713200000000E+02
END,END
0.393691480000000E+02,-0.849605040000000E+02
0.393689410000000E+02,-0.849597830000000E+02
0.393680780000000E+02,-0.849588470000000E+02
0.393654940000000E+02,-0.849568520000000E+02
0.393645920000000E+02,-0.849566890000000E+02
0.393638580000000E+02,-0.849569300000000E+02
0.393631280000000E+02,-0.849577290000000E+02
0.393613460000000E+02,-0.849585800000000E+02
0.393603640000000E+02,-0.849577620000000E+02
0.393595130000000E+02,-0.849564410000000E+02
0.393594550000000E+02,-0.849547630000000E+02
0.393609020000000E+02,-0.849534150000000E+02
0.393613460000000E+02,-0.849524640000000E+02
0.393614560000000E+02,-0.849511900000000E+02
0.393610220000000E+02,-0.849494010000000E+02
0.393598780000000E+02,-0.849470610000000E+02
0.393583650000000E+02,-0.849456120000000E+02
0.393575070000000E+02,-0.849453140000000E+02
0.393552130000000E+02,-0.849459570000000E+02
0.393543240000000E+02,-0.849456010000000E+02
