LAT,LON
0.382653040000000E+02,-0.947983100000000E+02
0.382651890000000E+02,-0.947956980000000E+02
0.382629920000000E+02,-0.947942180000000E+02
0.382627400000000E+02,-0.947932600000000E+02
0.382652320000000E+02,-0.947799660000000E+02
0.382725100000000E+02,-0.947799330000000E+02
0.382724760000000E+02,-0.947517450000000E+02
0.382791360000000E+02,-0.947523500000000E+02
0.382795520000000E+02,-0.947528700000000E+02
0.382797330000000E+02,-0.947575170000000E+02
0.382801910000000E+02,-0.947578070000000E+02
0.382867580000000E+02,-0.947580340000000E+02
0.382868950000000E+02,-0.947563790000000E+02
0.382869390000000E+02,-0.947524300000000E+02
0.382825450000000E+02,-0.947446390000000E+02
0.382800280000000E+02,-0.947426920000000E+02
0.382797580000000E+02,-0.947335760000000E+02
0.382784080000000E+02,-0.947309620000000E+02
0.382777920000000E+02,-0.947268970000000E+02
0.382785740000000E+02,-0.947153690000000E+02
0.382728520000000E+02,-0.947155150000000E+02
0.382725550000000E+02,-0.947144990000000E+02
0.382723620281121E+02,-0.946127078289146E+02
0.382723620281121E+02,-0.946127078289146E+02
0.382703940000000E+02,-0.946126920000000E+02
0.382702455484319E+02,-0.946126916451139E+02
0.382377660000000E+02,-0.946126140000000E+02
0.382269870000000E+02,-0.946126350000000E+02
0.382192510000000E+02,-0.946126590000000E+02
0.382176490000000E+02,-0.946126580000000E+02
0.382039180000000E+02,-0.946128220000000E+02
0.382007140000000E+02,-0.946128480000000E+02
0.381905520000000E+02,-0.946130730000000E+02
0.381679080000000E+02,-0.946134220000000E+02
0.381635028077317E+02,-0.946136194010556E+02
0.381606330000000E+02,-0.946137480000000E+02
0.381497690000000E+02,-0.946138560000000E+02
0.380858079596208E+02,-0.946140150761808E+02
0.380858079596208E+02,-0.946140150761808E+02
0.380852620000000E+02,-0.946157530000000E+02
0.380854220000000E+02,-0.946169700000000E+02
0.380879370000000E+02,-0.946218070000000E+02
0.380882380000000E+02,-0.946311820000000E+02
0.380911230000000E+02,-0.946342210000000E+02
0.380920860000000E+02,-0.946398670000000E+02
0.380926820000000E+02,-0.946403010000000E+02
0.380954740000000E+02,-0.946403570000000E+02
0.380954590000000E+02,-0.946769050000000E+02
0.381099910000000E+02,-0.946769040000000E+02
0.381097980000000E+02,-0.947321130000000E+02
0.381243770000000E+02,-0.947321230000000E+02
0.381243250000000E+02,-0.947506680000000E+02
0.381243250000000E+02,-0.947506680000000E+02
0.381605700000000E+02,-0.947507390000000E+02
0.381605320000000E+02,-0.947669700000000E+02
0.381623400000000E+02,-0.947692880000000E+02
0.381824790000000E+02,-0.947689570000000E+02
0.381824130000000E+02,-0.947782350000000E+02
0.381863280000000E+02,-0.947820040000000E+02
0.381899420000000E+02,-0.947817120000000E+02
0.381944510000000E+02,-0.947829280000000E+02
0.381975870000000E+02,-0.947843480000000E+02
0.382043840000000E+02,-0.947835330000000E+02
0.382115230000000E+02,-0.947797600000000E+02
0.382117030000000E+02,-0.947714060000000E+02
0.382221390000000E+02,-0.947714590000000E+02
0.382226900000000E+02,-0.947782470000000E+02
0.382281140000000E+02,-0.947783320000000E+02
0.382277480000000E+02,-0.947802750000000E+02
0.382261470000000E+02,-0.947837570000000E+02
0.382259660000000E+02,-0.947964070000000E+02
0.382301770000000E+02,-0.947966960000000E+02
0.382457380000000E+02,-0.947960540000000E+02
0.382500240000000E+02,-0.947988230000000E+02
0.382653040000000E+02,-0.947983100000000E+02
END,END
