LAT,LON
0.395214070000000E+02,-0.983760780000000E+02
0.395208820000000E+02,-0.983720220000000E+02
0.395201730000000E+02,-0.983708400000000E+02
0.395117760000000E+02,-0.983671100000000E+02
0.395128520000000E+02,-0.983644810000000E+02
0.395127860000000E+02,-0.983593400000000E+02
0.395109120000000E+02,-0.983516280000000E+02
0.395094020000000E+02,-0.983518340000000E+02
0.395070670000000E+02,-0.983531030000000E+02
0.395063570000000E+02,-0.983543140000000E+02
0.395049610000000E+02,-0.983537520000000E+02
0.395037940000000E+02,-0.983520670000000E+02
0.395046460000000E+02,-0.983344000000000E+02
0.395023120000000E+02,-0.983308250000000E+02
0.394981760000000E+02,-0.983167900000000E+02
0.394972840000000E+02,-0.983157560000000E+02
0.394743730000000E+02,-0.983149590000000E+02
0.394705280000000E+02,-0.983167890000000E+02
0.394693610000000E+02,-0.983183840000000E+02
0.394692470000000E+02,-0.983206880000000E+02
0.394695210000000E+02,-0.983210130000000E+02
0.394714670000000E+02,-0.983208060000000E+02
0.394729540000000E+02,-0.983228730000000E+02
0.394725410000000E+02,-0.983294580000000E+02
0.394714200000000E+02,-0.983306390000000E+02
0.394694980000000E+02,-0.983284240000000E+02
0.394652410000000E+02,-0.983275960000000E+02
0.394600230000000E+02,-0.983275360000000E+02
0.394600450000000E+02,-0.983281860000000E+02
0.394618530000000E+02,-0.983293080000000E+02
0.394624710000000E+02,-0.983305780000000E+02
0.394614170000000E+02,-0.983365410000000E+02
0.394535870000000E+02,-0.983481120000000E+02
0.394542510000000E+02,-0.983497950000000E+02
0.394568130000000E+02,-0.983528080000000E+02
0.394572940000000E+02,-0.983527190000000E+02
0.394606820000000E+02,-0.983499460000000E+02
0.394624920000000E+02,-0.983428010000000E+02
0.394640940000000E+02,-0.983419750000000E+02
0.394674580000000E+02,-0.983415330000000E+02
0.394683280000000E+02,-0.983418580000000E+02
0.394686020000000E+02,-0.983426850000000E+02
0.394663330000000E+02,-0.983473100000000E+02
0.394691730000000E+02,-0.983500090000000E+02
0.394709570000000E+02,-0.983507190000000E+02
0.394724000000000E+02,-0.983488000000000E+02
0.394750090000000E+02,-0.983479750000000E+02
0.394795860000000E+02,-0.983530860000000E+02
0.394859010000000E+02,-0.983589370000000E+02
0.394891480000000E+02,-0.983643740000000E+02
0.394893760000000E+02,-0.983659390000000E+02
0.394872910000000E+02,-0.983717560000000E+02
0.394857340000000E+02,-0.983740890000000E+02
0.394854360000000E+02,-0.983744730000000E+02
0.394830330000000E+02,-0.983747660000000E+02
0.394846880000000E+02,-0.983766790000000E+02
0.394846880000000E+02,-0.983766790000000E+02
0.394785520000000E+02,-0.983885480000000E+02
0.394784620000000E+02,-0.983927120000000E+02
0.394763110000000E+02,-0.983935690000000E+02
0.394740680000000E+02,-0.983917110000000E+02
0.394715500000000E+02,-0.983913580000000E+02
0.394715500000000E+02,-0.983920370000000E+02
0.394757400000000E+02,-0.983956970000000E+02
0.394804550000000E+02,-0.983950890000000E+02
0.394818050000000E+02,-0.983951900000000E+02
0.394821950000000E+02,-0.983987050000000E+02
0.394818290000000E+02,-0.983997690000000E+02
0.394778490000000E+02,-0.984050570000000E+02
0.394736610000000E+02,-0.984078350000000E+02
0.394670930000000E+02,-0.984108490000000E+02
0.394657210000000E+02,-0.984155740000000E+02
0.394607550000000E+02,-0.984166390000000E+02
0.394580080000000E+02,-0.984154290000000E+02
0.394527650000000E+02,-0.984086120000000E+02
0.394525590000000E+02,-0.984107960000000E+02
0.394555360000000E+02,-0.984154300000000E+02
0.394574820000000E+02,-0.984169950000000E+02
0.394615563291016E+02,-0.984190653972656E+02
0.394641651291016E+02,-0.984187101972656E+02
0.394630220000000E+02,-0.984213630000000E+02
0.394576890000000E+02,-0.984228700000000E+02
0.394567970000000E+02,-0.984243760000000E+02
0.394574610000000E+02,-0.984247890000000E+02
0.394657126981445E+02,-0.984212794281250E+02
0.394697500000000E+02,-0.984207410000000E+02
0.394711690000000E+02,-0.984211250000000E+02
0.394729550000000E+02,-0.984232800000000E+02
0.394682400000000E+02,-0.984233400000000E+02
0.394648300000000E+02,-0.984244330000000E+02
0.394609400000000E+02,-0.984267960000000E+02
0.394598180000000E+02,-0.984282430000000E+02
0.394599330000000E+02,-0.984289810000000E+02
0.394636630000000E+02,-0.984266180000000E+02
0.394670270000000E+02,-0.984252590000000E+02
0.394719886852539E+02,-0.984250574578125E+02
0.394946060000000E+02,-0.984306000000000E+02
0.395032030000000E+02,-0.984180150000000E+02
0.395082820000000E+02,-0.984078800000000E+02
0.395095400000000E+02,-0.984059290000000E+02
0.395113710000000E+02,-0.984044220000000E+02
0.395138180000000E+02,-0.984006090000000E+02
0.395167880000000E+02,-0.983853900000000E+02
0.395167400000000E+02,-0.983815190000000E+02
0.395193720000000E+02,-0.983804530000000E+02
0.395214070000000E+02,-0.983760780000000E+02
END,END
0.395057620000000E+02,-0.972322870000000E+02
0.395027430000000E+02,-0.972294490000000E+02
0.395014380000000E+02,-0.972287990000000E+02
0.394988730000000E+02,-0.972286450000000E+02
0.394950970000000E+02,-0.972313900000000E+02
0.394930840000000E+02,-0.972311230000000E+02
0.394910700000000E+02,-0.972300880000000E+02
0.394904760000000E+02,-0.972288480000000E+02
0.394888750000000E+02,-0.972275180000000E+02
0.394872500000000E+02,-0.972280490000000E+02
0.394852130000000E+02,-0.972312660000000E+02
0.394836570000000E+02,-0.972316490000000E+02
0.394817130000000E+02,-0.972280160000000E+02
0.394817600000000E+02,-0.972247690000000E+02
0.394808680000000E+02,-0.972231140000000E+02
0.394781000000000E+02,-0.972215180000000E+02
0.394763830000000E+02,-0.972214290000000E+02
0.394754220000000E+02,-0.972220190000000E+02
0.394748040000000E+02,-0.972242630000000E+02
0.394742780000000E+02,-0.972245280000000E+02
0.394728140000000E+02,-0.972228740000000E+02
0.394721970000000E+02,-0.972205420000000E+02
0.394707330000000E+02,-0.972182680000000E+02
0.394688340000000E+02,-0.972177060000000E+02
0.394671860000000E+02,-0.972183850000000E+02
0.394660880000000E+02,-0.972197130000000E+02
0.394657440000000E+02,-0.972221920000000E+02
0.394666580000000E+02,-0.972260300000000E+02
0.394656730000000E+02,-0.972295720000000E+02
0.394630870000000E+02,-0.972314000000000E+02
0.394613020000000E+02,-0.972309560000000E+02
0.394602270000000E+02,-0.972293320000000E+02
0.394598400000000E+02,-0.972248460000000E+02
0.394575750000000E+02,-0.972217750000000E+02
0.394559970000000E+02,-0.972206230000000E+02
0.394543500000000E+02,-0.972173470000000E+02
0.394525200000000E+02,-0.972159870000000E+02
0.394504830000000E+02,-0.972166650000000E+02
0.394491100000000E+02,-0.972186730000000E+02
0.394484000000000E+02,-0.972220070000000E+02
0.394487200000000E+02,-0.972241030000000E+02
0.394498860000000E+02,-0.972257850000000E+02
0.394499540000000E+02,-0.972269070000000E+02
0.394488780000000E+02,-0.972293560000000E+02
0.394469330000000E+02,-0.972305650000000E+02
0.394444850000000E+02,-0.972306220000000E+02
0.394430660000000E+02,-0.972296480000000E+02
0.394417630000000E+02,-0.972277290000000E+02
0.394396810000000E+02,-0.972278160000000E+02
0.394386050000000E+02,-0.972290840000000E+02
0.394371390000000E+02,-0.972340110000000E+02
0.394362230000000E+02,-0.972347480000000E+02
0.394330890000000E+02,-0.972337140000000E+02
0.394318080000000E+02,-0.972320310000000E+02
0.394318540000000E+02,-0.972304670000000E+02
