LAT,LON
0.387823600000000E+02,-0.100763075000000E+03
0.387832700000000E+02,-0.100751350000000E+03
0.387803800000000E+02,-0.100745082000000E+03
0.387774150000000E+02,-0.100736475000000E+03
0.387720870000000E+02,-0.100726270000000E+03
0.387660230000000E+02,-0.100726296000000E+03
0.387622720000000E+02,-0.100720273000000E+03
0.387622720000000E+02,-0.100717613000000E+03
0.387657070000000E+02,-0.100709050000000E+03
0.387660740000000E+02,-0.100704139000000E+03
0.387641750000000E+02,-0.100700252000000E+03
0.387643360000000E+02,-0.100693851000000E+03
0.387647020000000E+02,-0.100689964000000E+03
0.387663730000000E+02,-0.100686193000000E+03
0.387668070000000E+02,-0.100676431000000E+03
0.387651110000000E+02,-0.100662342000000E+03
0.387649040000000E+02,-0.100655473000000E+03
0.387579890000000E+02,-0.100644166000000E+03
0.387577090000000E+02,-0.100614997000000E+03
0.387577090000000E+02,-0.100614997000000E+03
0.387290300000000E+02,-0.100615300000000E+03
0.387290300000000E+02,-0.100615300000000E+03
0.387054600000000E+02,-0.100615691000000E+03
0.387002110000000E+02,-0.100614363000000E+03
0.386998700000000E+02,-0.100761700000000E+03
0.386998700000000E+02,-0.100761700000000E+03
0.387015720000000E+02,-0.100763221000000E+03
0.387084370000000E+02,-0.100763509000000E+03
0.387500130000000E+02,-0.100762895000000E+03
0.387823600000000E+02,-0.100763075000000E+03
END,END
0.387435200000000E+02,-0.101076635000000E+03
0.387431550000000E+02,-0.101041487000000E+03
0.387446420000000E+02,-0.101039939000000E+03
0.387564000000000E+02,-0.101039521000000E+03
0.387574650000000E+02,-0.101039850000000E+03
0.387573280000000E+02,-0.101007113000000E+03
0.387651070000000E+02,-0.101007370000000E+03
0.387690210000000E+02,-0.101009004000000E+03
0.387714440000000E+02,-0.101004676000000E+03
0.387720610000000E+02,-0.101002314000000E+03
0.387572800000000E+02,-0.101002379000000E+03
0.387573360000000E+02,-0.100965336000000E+03
0.387426050000000E+02,-0.100965685000000E+03
0.387370210000000E+02,-0.100968107000000E+03
0.387337250000000E+02,-0.100970881000000E+03
0.387323510000000E+02,-0.100972896000000E+03
0.387276140000000E+02,-0.100973857000000E+03
0.387136500000000E+02,-0.100975115000000E+03
0.387088040000000E+02,-0.100979307000000E+03
0.387080030000000E+02,-0.100980592000000E+03
0.387070860000000E+02,-0.100984446000000E+03
0.387070860000000E+02,-0.100984446000000E+03
0.387283420000000E+02,-0.100984315000000E+03
0.387288090000000E+02,-0.101049202000000E+03
0.387217390000000E+02,-0.101056184000000E+03
0.387204340000000E+02,-0.101056535000000E+03
0.387188560000000E+02,-0.101058317000000E+03
0.387176200000000E+02,-0.101060916000000E+03
0.387172310000000E+02,-0.101063836000000E+03
0.387172990000000E+02,-0.101070553000000E+03
0.387197700000000E+02,-0.101074555000000E+03
0.387224920000000E+02,-0.101076805000000E+03
0.387435200000000E+02,-0.101076635000000E+03
END,END
0.386991740000000E+02,-0.101603806000000E+03
0.386995630000000E+02,-0.101567440000000E+03
0.386995630000000E+02,-0.101567440000000E+03
0.385822060000000E+02,-0.101567345000000E+03
0.385822060000000E+02,-0.101567345000000E+03
0.385819900000000E+02,-0.101604242000000E+03
0.385676020000000E+02,-0.101604291000000E+03
0.385675250000000E+02,-0.101622706000000E+03
0.384956910000000E+02,-0.101622476000000E+03
0.384949130000000E+02,-0.101622854000000E+03
0.384948130000000E+02,-0.101676250000000E+03
0.384953620000000E+02,-0.101678462000000E+03
0.385381690000000E+02,-0.101678509000000E+03
0.385381820000000E+02,-0.101734225000000E+03
0.385816670000000E+02,-0.101734022000000E+03
0.385818810000000E+02,-0.101659505000000E+03
0.386401060000000E+02,-0.101659887000000E+03
0.386402140000000E+02,-0.101604243000000E+03
0.386991740000000E+02,-0.101603806000000E+03
END,END
0.386976810000000E+02,-0.101957420000000E+03
0.386542480000000E+02,-0.101957348000000E+03
0.386542350000000E+02,-0.101975804000000E+03
0.386253890000000E+02,-0.101975854000000E+03
0.386254020000000E+02,-0.101994620000000E+03
0.385814760000000E+02,-0.101994133000000E+03
0.385815930000000E+02,-0.102011761000000E+03
0.385525910000000E+02,-0.102011696000000E+03
0.385526250000000E+02,-0.101827601000000E+03
0.385015300000000E+02,-0.101827310000000E+03
0.385015810000000E+02,-0.101841133000000E+03
0.384945760000000E+02,-0.101841129000000E+03
0.384946250000000E+02,-0.101827691000000E+03
0.384914000000000E+02,-0.101827216000000E+03
0.384657570000000E+02,-0.101827121000000E+03
0.384657990000000E+02,-0.101845654000000E+03
0.384218800000000E+02,-0.101845224000000E+03
0.384220870000000E+02,-0.101900389000000E+03
0.384728150000000E+02,-0.101900713000000E+03
0.384723103717840E+02,-0.102045301999813E+03
0.384723103717840E+02,-0.102045301999813E+03
0.385053950000000E+02,-0.102045263000000E+03
0.385055320000000E+02,-0.102045262000000E+03
0.385163447017329E+02,-0.102045173138217E+03
0.385237840000000E+02,-0.102045112000000E+03
0.385396966480556E+02,-0.102045200257829E+03
0.385437970000000E+02,-0.102045223000000E+03
0.385490270507541E+02,-0.102045211093624E+03
0.385587320000000E+02,-0.102045189000000E+03
0.385816090000000E+02,-0.102045211000000E+03
0.386152490000000E+02,-0.102045288000000E+03
0.386152490000000E+02,-0.102045288000000E+03
0.386696170000000E+02,-0.102045074000000E+03
0.386749460000000E+02,-0.102045102000000E+03
0.386752210000000E+02,-0.102045160000000E+03
0.386867250000000E+02,-0.102045127000000E+03
0.386885550000000E+02,-0.102045156000000E+03
0.386975670000000E+02,-0.102045212000000E+03
0.386975670000000E+02,-0.102045212000000E+03
0.386979630000000E+02,-0.102002922000000E+03
0.386976810000000E+02,-0.101957420000000E+03
END,END
0.383929278966642E+02,-0.102044807892358E+03
0.383928060000000E+02,-0.101955030000000E+03
0.383787250000000E+02,-0.101954806000000E+03
0.383784900000000E+02,-0.101899771000000E+03
0.383350360000000E+02,-0.101899420000000E+03
0.383349440000000E+02,-0.101844520000000E+03
0.383637200000000E+02,-0.101844738000000E+03
0.383640800000000E+02,-0.101751738000000E+03
0.383350730000000E+02,-0.101751644000000E+03
0.383352370000000E+02,-0.101697997000000E+03
0.383345960000000E+02,-0.101696496000000E+03
0.383206080000000E+02,-0.101696455000000E+03
0.383207230000000E+02,-0.101678074000000E+03
0.382918060000000E+02,-0.101678077000000E+03
0.382918440000000E+02,-0.101641097000000E+03
0.382774540000000E+02,-0.101641164000000E+03
0.382774910000000E+02,-0.101622727000000E+03
0.382919720000000E+02,-0.101622711000000E+03
0.382920260000000E+02,-0.101604191000000E+03
0.383354480000000E+02,-0.101604043000000E+03
0.383353790000000E+02,-0.101641013000000E+03
0.384582050000000E+02,-0.101641195000000E+03
0.384689430000000E+02,-0.101567165000000E+03
0.384689430000000E+02,-0.101567165000000E+03
0.383500750000000E+02,-0.101567158000000E+03
0.383501210000000E+02,-0.101548885000000E+03
0.383356630000000E+02,-0.101549003000000E+03
0.383357060000000E+02,-0.101530444000000E+03
0.383501650000000E+02,-0.101530466000000E+03
0.383506740000000E+02,-0.101420831000000E+03
0.382927200000000E+02,-0.101420233000000E+03
0.382926530000000E+02,-0.101438550000000E+03
0.382780790000000E+02,-0.101438463000000E+03
0.382781920000000E+02,-0.101420004000000E+03
0.382648300000000E+02,-0.101419862000000E+03
0.382636400000000E+02,-0.101418788000000E+03
0.382641130000000E+02,-0.101268132000000E+03
0.382641130000000E+02,-0.101268132000000E+03
0.382495410000000E+02,-0.101268146000000E+03
0.382494760000000E+02,-0.101304908000000E+03
0.381914490000000E+02,-0.101304708000000E+03
0.381913240000000E+02,-0.101359124000000E+03
0.381189260000000E+02,-0.101358851000000E+03
0.381186820000000E+02,-0.101431635000000E+03
0.381186820000000E+02,-0.101431635000000E+03
0.381911270000000E+02,-0.101431942000000E+03
0.381910100000000E+02,-0.101450554000000E+03
0.382055400000000E+02,-0.101450904000000E+03
0.382051450000000E+02,-0.101524268000000E+03
0.382342930000000E+02,-0.101524458000000E+03
0.382343190000000E+02,-0.101542295000000E+03
0.381328740000000E+02,-0.101541655000000E+03
0.381329450000000E+02,-0.101559642000000E+03
0.381474500000000E+02,-0.101559786000000E+03
0.381472430000000E+02,-0.101578385000000E+03
0.381038720000000E+02,-0.101578003000000E+03
0.381046490000000E+02,-0.101614802000000E+03
0.380890800000000E+02,-0.101614704000000E+03
0.380893200000000E+02,-0.101583992000000E+03
0.380646110000000E+02,-0.101584591000000E+03
0.380600590000000E+02,-0.101578137000000E+03
0.380456690000000E+02,-0.101578163000000E+03
0.380455500000000E+02,-0.101596677000000E+03
0.379873780000000E+02,-0.101596424000000E+03
0.379873440000000E+02,-0.101587106000000E+03
0.379795700000000E+02,-0.101586708000000E+03
0.379733270000000E+02,-0.101587320000000E+03
0.379626700000000E+02,-0.101593522000000E+03
0.379593510000000E+02,-0.101596236000000E+03
0.379577730000000E+02,-0.101596929000000E+03
0.379524190000000E+02,-0.101597706000000E+03
0.379515040000000E+02,-0.101597099000000E+03
0.379473170000000E+02,-0.101596952000000E+03
0.379473170000000E+02,-0.101596952000000E+03
0.379530970000000E+02,-0.101625512000000E+03
0.379540550000000E+02,-0.101633186000000E+03
0.379578280000000E+02,-0.101652213000000E+03
0.380450710000000E+02,-0.101651556000000E+03
0.380453380000000E+02,-0.101633417000000E+03
0.380743720000000E+02,-0.101633223000000E+03
0.380741300000000E+02,-0.101688382000000E+03
0.381031150000000E+02,-0.101688182000000E+03
0.381464450000000E+02,-0.101688699000000E+03
0.381465810000000E+02,-0.101670420000000E+03
0.381609940000000E+02,-0.101670474000000E+03
0.381610170000000E+02,-0.101688872000000E+03
0.382044610000000E+02,-0.101689397000000E+03
0.382044600000000E+02,-0.101698587000000E+03
0.382189190000000E+02,-0.101698619000000E+03
0.382188480000000E+02,-0.101707724000000E+03
0.382333750000000E+02,-0.101707729000000E+03
0.382335090000000E+02,-0.101780732000000E+03
0.382623860000000E+02,-0.101780598000000E+03
0.382624830425497E+02,-0.102044510718955E+03
0.382624830425497E+02,-0.102044510718955E+03
0.382688190000000E+02,-0.102044568000000E+03
0.382688190000000E+02,-0.102044568000000E+03
0.383123240000000E+02,-0.102044613000000E+03
0.383444852283627E+02,-0.102044760657488E+03
0.383844190000000E+02,-0.102044944000000E+03
0.383888233183992E+02,-0.102044873548869E+03
0.383929278966642E+02,-0.102044807892358E+03
END,END
0.380338290000000E+02,-0.101963006000000E+03
0.380358100000000E+02,-0.101961872000000E+03
0.380392640000000E+02,-0.101961208000000E+03
0.380419170000000E+02,-0.101961758000000E+03
0.380458970000000E+02,-0.101961644000000E+03
0.380476590000000E+02,-0.101959909000000E+03
0.380590280000000E+02,-0.101954793000000E+03
0.380590240000000E+02,-0.101970472000000E+03
0.380574900000000E+02,-0.101975159000000E+03
0.380558430000000E+02,-0.101975274000000E+03
0.380523420000000E+02,-0.101979813000000E+03
0.380518140000000E+02,-0.101985193000000E+03
0.380497080000000E+02,-0.101987939000000E+03
0.380450150000000E+02,-0.101996179000000E+03
0.380446260000000E+02,-0.101997307000000E+03
0.380445590000000E+02,-0.102007486000000E+03
0.380529750000000E+02,-0.102005223000000E+03
0.380611620000000E+02,-0.102000043000000E+03
0.382042560000000E+02,-0.102000060000000E+03
0.382042560000000E+02,-0.102000060000000E+03
0.382042820000000E+02,-0.101871944000000E+03
0.381316760000000E+02,-0.101872115000000E+03
0.381316170000000E+02,-0.101890663000000E+03
0.381260360000000E+02,-0.101890811000000E+03
0.381237830000000E+02,-0.101894671000000E+03
