LAT,LON
0.368180570000000E+02,-0.855960830000000E+02
0.368083140000000E+02,-0.855942720000000E+02
0.367961180000000E+02,-0.855920060000000E+02
0.367943590000000E+02,-0.855916790000000E+02
0.367841860000000E+02,-0.855897890000000E+02
0.367773330000000E+02,-0.855885170000000E+02
0.367770510000000E+02,-0.855846050000000E+02
0.367783110000000E+02,-0.855817340000000E+02
0.367780900000000E+02,-0.855760290000000E+02
0.367773690000000E+02,-0.855752320000000E+02
0.367760870000000E+02,-0.855755780000000E+02
0.367723040000000E+02,-0.855741970000000E+02
0.367705750000000E+02,-0.855684230000000E+02
0.367726350000000E+02,-0.855603980000000E+02
0.367732820000000E+02,-0.855580820000000E+02
0.367720140000000E+02,-0.855561900000000E+02
0.367721610000000E+02,-0.855543290000000E+02
0.367735360000000E+02,-0.855500800000000E+02
0.367746480000000E+02,-0.855422900000000E+02
0.367722160000000E+02,-0.855390320000000E+02
0.367704970000000E+02,-0.855391520000000E+02
0.367701540000000E+02,-0.855402640000000E+02
0.367692760000000E+02,-0.855407990000000E+02
0.367642400000000E+02,-0.855408760000000E+02
0.367587240000000E+02,-0.855391980000000E+02
0.367576710000000E+02,-0.855381930000000E+02
0.367578320000000E+02,-0.855359100000000E+02
0.367559670000000E+02,-0.855315360000000E+02
0.367511990000000E+02,-0.855277180000000E+02
0.367362920000000E+02,-0.855216960000000E+02
0.367319690000000E+02,-0.855189620000000E+02
0.367311720000000E+02,-0.855133640000000E+02
0.367315600000000E+02,-0.855120800000000E+02
0.367327950000000E+02,-0.855110060000000E+02
0.367345370000000E+02,-0.855115960000000E+02
0.367352390000000E+02,-0.855113650000000E+02
0.367368130000000E+02,-0.855083840000000E+02
0.367338550000000E+02,-0.854991030000000E+02
0.367338550000000E+02,-0.854991030000000E+02
0.367337160000000E+02,-0.854959100000000E+02
0.367350480000000E+02,-0.854851040000000E+02
0.367349590000000E+02,-0.854797270000000E+02
0.367333580000000E+02,-0.854723030000000E+02
0.367320770000000E+02,-0.854706820000000E+02
0.367302910000000E+02,-0.854705100000000E+02
0.367273830000000E+02,-0.854717610000000E+02
0.367212240000000E+02,-0.854774750000000E+02
0.367148350000000E+02,-0.854807700000000E+02
0.367078740000000E+02,-0.854861120000000E+02
0.366928290000000E+02,-0.854956540000000E+02
0.366883170000000E+02,-0.854996060000000E+02
0.366846990000000E+02,-0.855036880000000E+02
0.366831670000000E+02,-0.855066730000000E+02
0.366828710000000E+02,-0.855106810000000E+02
0.366837200000000E+02,-0.855147450000000E+02
0.366871810000000E+02,-0.855241230000000E+02
0.366884400000000E+02,-0.855261970000000E+02
0.366919900000000E+02,-0.855298920000000E+02
0.366943710000000E+02,-0.855314540000000E+02
0.367026820000000E+02,-0.855353740000000E+02
0.367061390000000E+02,-0.855379030000000E+02
0.367098720000000E+02,-0.855419390000000E+02
0.367127800000000E+02,-0.855459190000000E+02
0.367147040000000E+02,-0.855496720000000E+02
0.367165820000000E+02,-0.855557000000000E+02
0.367167650000000E+02,-0.855590550000000E+02
0.367162160000000E+02,-0.855624100000000E+02
0.367125980000000E+02,-0.855701160000000E+02
0.367102630000000E+02,-0.855719940000000E+02
0.367068520000000E+02,-0.855734150000000E+02
0.367028230000000E+02,-0.855738130000000E+02
0.366991830000000E+02,-0.855729590000000E+02
0.366932530000000E+02,-0.855693200000000E+02
0.366831570000000E+02,-0.855648570000000E+02
0.366831570000000E+02,-0.855648570000000E+02
0.366846910000000E+02,-0.855690350000000E+02
0.366867950000000E+02,-0.855879380000000E+02
0.366843190000000E+02,-0.856002450000000E+02
0.366824360000000E+02,-0.856131770000000E+02
0.366767540000000E+02,-0.856235200000000E+02
0.366748970000000E+02,-0.856254860000000E+02
0.366719450000000E+02,-0.856272220000000E+02
0.366546920000000E+02,-0.856297370000000E+02
0.366536530000000E+02,-0.856287140000000E+02
0.366535370000000E+02,-0.856261570000000E+02
0.366555340000000E+02,-0.856174510000000E+02
0.366571820000000E+02,-0.856132540000000E+02
0.366452840000000E+02,-0.856090490000000E+02
0.366450080000000E+02,-0.856075010000000E+02
0.366465200000000E+02,-0.856045470000000E+02
0.366470010000000E+02,-0.856023870000000E+02
0.366439570000000E+02,-0.855989480000000E+02
0.366382580000000E+02,-0.855941450000000E+02
0.366325580000000E+02,-0.855923240000000E+02
0.366268340000000E+02,-0.855916120000000E+02
0.366197870000000E+02,-0.855863810000000E+02
0.366168100000000E+02,-0.855850450000000E+02
0.366164292128507E+02,-0.855862912124886E+02
0.366164292128507E+02,-0.855862912124886E+02
0.366181570000000E+02,-0.856777890000000E+02
0.366204290000000E+02,-0.857318620000000E+02
0.366207543119184E+02,-0.857448981232608E+02
