LAT,LON
0.379024450000000E+02,-0.874992110000000E+02
0.379022840000000E+02,-0.874740920000000E+02
0.379021110000000E+02,-0.874700490000000E+02
0.379012760000000E+02,-0.874660760000000E+02
0.378999780000000E+02,-0.874632400000000E+02
0.378930880000000E+02,-0.874610230000000E+02
0.378906670000000E+02,-0.874591240000000E+02
0.378887240000000E+02,-0.874550160000000E+02
0.378874910000000E+02,-0.874506940000000E+02
0.378868270000000E+02,-0.874504570000000E+02
0.378868270000000E+02,-0.874504570000000E+02
0.378873550000000E+02,-0.874530170000000E+02
0.378909550000000E+02,-0.874601690000000E+02
0.378927310000000E+02,-0.874615450000000E+02
0.378954990000000E+02,-0.874627930000000E+02
0.378985710000000E+02,-0.874632250000000E+02
0.379004110000000E+02,-0.874654490000000E+02
0.379012910000000E+02,-0.874691300000000E+02
0.379015940000000E+02,-0.874733380000000E+02
0.379017060000000E+02,-0.875000430000000E+02
0.379024450000000E+02,-0.874992110000000E+02
END,END
0.379017220638118E+02,-0.879270782465930E+02
0.378963450000000E+02,-0.879227510000000E+02
0.378963450000000E+02,-0.879227510000000E+02
0.378941340000000E+02,-0.879229970000000E+02
0.378754990000000E+02,-0.879217300000000E+02
0.378677980000000E+02,-0.879202900000000E+02
0.378649820000000E+02,-0.879188180000000E+02
0.378594870000000E+02,-0.879143140000000E+02
0.378540830000000E+02,-0.879086860000000E+02
0.378495720000000E+02,-0.879047900000000E+02
0.378436420000000E+02,-0.879017330000000E+02
0.378413300000000E+02,-0.879008390000000E+02
0.378269300000000E+02,-0.878975560000000E+02
0.378247780000000E+02,-0.878965460000000E+02
0.378191920000000E+02,-0.878959710000000E+02
0.378152320000000E+02,-0.878966950000000E+02
0.378129200000000E+02,-0.878973890000000E+02
0.378090290000000E+02,-0.878994970000000E+02
0.378067630000000E+02,-0.879013170000000E+02
0.378041310000000E+02,-0.879043760000000E+02
0.378014080000000E+02,-0.879092530000000E+02
0.377962830000000E+02,-0.879234480000000E+02
0.377938340000000E+02,-0.879277480000000E+02
0.377912700000000E+02,-0.879303150000000E+02
0.377871720000000E+02,-0.879327960000000E+02
0.377735290000000E+02,-0.879396600000000E+02
0.377732770000000E+02,-0.879386800000000E+02
0.377723150000000E+02,-0.879390550000000E+02
0.377697280000000E+02,-0.879439280000000E+02
0.377686060000000E+02,-0.879488300000000E+02
0.377686060000000E+02,-0.879488300000000E+02
0.377680790000000E+02,-0.879533590000000E+02
0.377686270000000E+02,-0.879600200000000E+02
0.377716480000000E+02,-0.879676920000000E+02
0.377733650000000E+02,-0.879702300000000E+02
