LAT,LON
0.294304260000000E+02,-0.907228970000000E+02
0.293876900000000E+02,-0.907299960000000E+02
0.293620590000000E+02,-0.907331710000000E+02
0.293531000000000E+02,-0.907352860000000E+02
0.293432950000000E+02,-0.907357790000000E+02
0.293422620000000E+02,-0.907399890000000E+02
0.293424210000000E+02,-0.907432840000000E+02
0.293432230000000E+02,-0.907445650000000E+02
0.293432230000000E+02,-0.907445650000000E+02
0.293443680000000E+02,-0.907465270000000E+02
0.293452140000000E+02,-0.907493520000000E+02
0.293451420000000E+02,-0.907511610000000E+02
0.293413860000000E+02,-0.907557150000000E+02
0.293378580000000E+02,-0.907554290000000E+02
0.293341220000000E+02,-0.907525280000000E+02
0.293328160000000E+02,-0.907526600000000E+02
0.293302040000000E+02,-0.907543870000000E+02
0.293275290000000E+02,-0.907666780000000E+02
0.293276000000000E+02,-0.907715670000000E+02
0.293350700000000E+02,-0.907749110000000E+02
0.293379100000000E+02,-0.907744650000000E+02
0.293427910000000E+02,-0.907749860000000E+02
0.293468240000000E+02,-0.907783570000000E+02
0.293464810000000E+02,-0.907799530000000E+02
0.293429780000000E+02,-0.907815610000000E+02
0.293392410000000E+02,-0.907816550000000E+02
0.293375610000000E+02,-0.907841150000000E+02
0.293423350000000E+02,-0.907840340000000E+02
0.293423740000000E+02,-0.907887090000000E+02
0.293417120000000E+02,-0.907889780000000E+02
0.293375700000000E+02,-0.907881410000000E+02
0.293351420000000E+02,-0.907898680000000E+02
0.293353960000000E+02,-0.907984030000000E+02
0.293326870000000E+02,-0.907983850000000E+02
0.293317430000000E+02,-0.908040160000000E+02
0.293318990000000E+02,-0.908103380000000E+02
0.293267130000000E+02,-0.908199640000000E+02
0.293268050000000E+02,-0.908225270000000E+02
0.293285700000000E+02,-0.908237030000000E+02
0.293344350000000E+02,-0.908245150000000E+02
0.293345940000000E+02,-0.908325680000000E+02
0.293307220000000E+02,-0.908358620000000E+02
0.293291180000000E+02,-0.908363590000000E+02
0.293276510000000E+02,-0.908360450000000E+02
0.293229310000000E+02,-0.908332200000000E+02
0.293187850000000E+02,-0.908285920000000E+02
0.293162180000000E+02,-0.908275200000000E+02
0.293136980000000E+02,-0.908280160000000E+02
0.293073290000000E+02,-0.908259770000000E+02
0.293073290000000E+02,-0.908259770000000E+02
0.293043280000000E+02,-0.908265780000000E+02
0.293029980000000E+02,-0.908277800000000E+02
0.293025860000000E+02,-0.908287730000000E+02
0.293027000000000E+02,-0.908305510000000E+02
0.293055870000000E+02,-0.908302110000000E+02
0.293027920000000E+02,-0.908315180000000E+02
0.293023340000000E+02,-0.908314390000000E+02
0.293016690000000E+02,-0.908300800000000E+02
0.293003170000000E+02,-0.908298710000000E+02
0.292985300000000E+02,-0.908288250000000E+02
0.292946810000000E+02,-0.908281970000000E+02
0.292937640000000E+02,-0.908286410000000E+02
0.292911750000000E+02,-0.908324050000000E+02
0.292916100000000E+02,-0.908334240000000E+02
0.292934200000000E+02,-0.908349140000000E+02
0.292941300000000E+02,-0.908363780000000E+02
0.292943130000000E+02,-0.908371880000000E+02
0.292938550000000E+02,-0.908381290000000E+02
0.292921820000000E+02,-0.908377890000000E+02
0.292913573516113E+02,-0.908349915673828E+02
0.292891895169922E+02,-0.908368629884766E+02
0.292875671169922E+02,-0.908363451884766E+02
0.292892447169922E+02,-0.908364081884766E+02
0.292890660000000E+02,-0.908356190000000E+02
0.292882870000000E+02,-0.908353310000000E+02
0.292887690000000E+02,-0.908343380000000E+02
0.292906020000000E+02,-0.908336850000000E+02
0.292907160000000E+02,-0.908330060000000E+02
0.292901890000000E+02,-0.908323000000000E+02
0.292837970000000E+02,-0.908320640000000E+02
0.292839110000000E+02,-0.908339190000000E+02
0.292847820000000E+02,-0.908342850000000E+02
0.292845750000000E+02,-0.908347030000000E+02
0.292831780000000E+02,-0.908345730000000E+02
0.292831090000000E+02,-0.908327430000000E+02
0.292827200000000E+02,-0.908326380000000E+02
0.292816650000000E+02,-0.908344680000000E+02
0.292807020000000E+02,-0.908379430000000E+02
0.292838650000000E+02,-0.908374740000000E+02
0.292877370000000E+02,-0.908393820000000E+02
0.292887450000000E+02,-0.908394350000000E+02
0.292910130000000E+02,-0.908411870000000E+02
0.292929830000000E+02,-0.908416840000000E+02
0.292952290000000E+02,-0.908412660000000E+02
0.292959390000000E+02,-0.908418410000000E+02
0.292962370000000E+02,-0.908434100000000E+02
0.292967410000000E+02,-0.908437760000000E+02
0.292981620000000E+02,-0.908430440000000E+02
0.293000170000000E+02,-0.908428100000000E+02
0.293025600000000E+02,-0.908434900000000E+02
0.292995120000000E+02,-0.908446130000000E+02
0.292978180000000E+02,-0.908442200000000E+02
0.292981370000000E+02,-0.908458930000000E+02
0.293009770000000E+02,-0.908501550000000E+02
0.292981360000000E+02,-0.908486900000000E+02
0.292957760000000E+02,-0.908502320000000E+02
0.292920650000000E+02,-0.908513280000000E+02
0.292901860000000E+02,-0.908514580000000E+02
0.292888110000000E+02,-0.908503600000000E+02
0.292877570000000E+02,-0.908505690000000E+02
0.292880540000000E+02,-0.908533390000000E+02
0.292849600000000E+02,-0.908552200000000E+02
0.292837460000000E+02,-0.908551410000000E+02
0.292820490000000E+02,-0.908580950000000E+02
0.292842490000000E+02,-0.908567630000000E+02
0.292862430000000E+02,-0.908562930000000E+02
0.292877090000000E+02,-0.908571040000000E+02
0.292890840000000E+02,-0.908569470000000E+02
0.292879380000000E+02,-0.908583580000000E+02
0.292852800000000E+02,-0.908586970000000E+02
0.292838820000000E+02,-0.908582000000000E+02
0.292829200000000E+02,-0.908594280000000E+02
0.292822780000000E+02,-0.908594010000000E+02
0.292809950000000E+02,-0.908583550000000E+02
0.292818660000000E+02,-0.908569180000000E+02
0.292804460000000E+02,-0.908563690000000E+02
0.292781310000000E+02,-0.908595040000000E+02
0.292754490000000E+02,-0.908607830000000E+02
0.292750820000000E+02,-0.908622990000000E+02
0.292700860000000E+02,-0.908646220000000E+02
0.292684370000000E+02,-0.908626360000000E+02
0.292696616584473E+02,-0.908594998958984E+02
0.292687590000000E+02,-0.908598140000000E+02
0.292687140000000E+02,-0.908579060000000E+02
0.292693320000000E+02,-0.908577490000000E+02
0.292705470000000E+02,-0.908584030000000E+02
0.292741910000000E+02,-0.908549800000000E+02
0.292764820000000E+02,-0.908543020000000E+02
0.292800340000000E+02,-0.908541460000000E+02
0.292783390000000E+02,-0.908508530000000E+02
0.292752460000000E+02,-0.908495710000000E+02
0.292763470000000E+02,-0.908449200000000E+02
0.292773330000000E+02,-0.908437700000000E+02
0.292787540000000E+02,-0.908436920000000E+02
0.292789830000000E+02,-0.908431170000000E+02
0.292780900000000E+02,-0.908409480000000E+02
0.292755470000000E+02,-0.908397980000000E+02
0.292746530000000E+02,-0.908407120000000E+02
0.292743090000000E+02,-0.908432990000000E+02
0.292734600000000E+02,-0.908445530000000E+02
0.292742850000000E+02,-0.908465660000000E+02
0.292742610000000E+02,-0.908492830000000E+02
0.292701590000000E+02,-0.908518430000000E+02
0.292671570000000E+02,-0.908520510000000E+02
0.292658510000000E+02,-0.908513970000000E+02
0.292639720000000E+02,-0.908517620000000E+02
0.292625050000000E+02,-0.908538520000000E+02
0.292616340000000E+02,-0.908563080000000E+02
0.292633300000000E+02,-0.908540880000000E+02
0.292649110000000E+02,-0.908545060000000E+02
0.292651400000000E+02,-0.908549510000000E+02
0.292641770000000E+02,-0.908583480000000E+02
0.292634200000000E+02,-0.908585830000000E+02
0.292619540000000E+02,-0.908579540000000E+02
0.292618390000000E+02,-0.908582690000000E+02
0.292624350000000E+02,-0.908599150000000E+02
0.292637630000000E+02,-0.908606740000000E+02
0.292641980000000E+02,-0.908625550000000E+02
0.292637160000000E+02,-0.908637570000000E+02
0.292625700000000E+02,-0.908648800000000E+02
0.292610580000000E+02,-0.908653500000000E+02
0.292600260000000E+02,-0.908667600000000E+02
0.292583990000000E+02,-0.908670990000000E+02
0.292573230000000E+02,-0.908649300000000E+02
0.292558100000000E+02,-0.908674630000000E+02
0.292523720000000E+02,-0.908679060000000E+02
0.292465950000000E+02,-0.908644750000000E+02
0.292418520000000E+02,-0.908640810000000E+02
0.292440740000000E+02,-0.908679490000000E+02
0.292470290000000E+02,-0.908688910000000E+02
0.292491350000000E+02,-0.908711120000000E+02
0.292486100000000E+02,-0.908692570000000E+02
0.292473270000000E+02,-0.908682380000000E+02
0.292475110000000E+02,-0.908676630000000E+02
0.292493210000000E+02,-0.908671670000000E+02
0.292513640000000E+02,-0.908684280000000E+02
