LAT,LON
0.308770580000000E+02,-0.902016330000000E+02
0.308778820000000E+02,-0.902025890000000E+02
0.308795770000000E+02,-0.902022440000000E+02
0.308815010000000E+02,-0.902025890000000E+02
0.308830120000000E+02,-0.902048460000000E+02
0.308846150000000E+02,-0.902059620000000E+02
0.308872710000000E+02,-0.902035460000000E+02
0.308888290000000E+02,-0.902012100000000E+02
0.308941420000000E+02,-0.902015560000000E+02
0.308945760000000E+02,-0.902040520000000E+02
0.308964540000000E+02,-0.902047170000000E+02
0.308983090000000E+02,-0.902036550000000E+02
0.308986990000000E+02,-0.902027520000000E+02
0.308982640000000E+02,-0.902005210000000E+02
0.308991340000000E+02,-0.901994050000000E+02
0.309003020000000E+02,-0.901990070000000E+02
0.309018590000000E+02,-0.901991930000000E+02
0.309066910000000E+02,-0.901973890000000E+02
0.309113850000000E+02,-0.902008680000000E+02
0.309184830000000E+02,-0.901973900000000E+02
0.309202700000000E+02,-0.901986650000000E+02
0.309199720000000E+02,-0.901994620000000E+02
0.309183920000000E+02,-0.901996210000000E+02
0.309177050000000E+02,-0.902002050000000E+02
0.309173380000000E+02,-0.902022240000000E+02
0.309182310000000E+02,-0.902031000000000E+02
0.309199030000000E+02,-0.902033130000000E+02
0.309229710000000E+02,-0.902051460000000E+02
0.309245970000000E+02,-0.902054380000000E+02
0.309267270000000E+02,-0.902044030000000E+02
0.309293600000000E+02,-0.902041370000000E+02
0.309326580000000E+02,-0.902050680000000E+02
0.309348340000000E+02,-0.902037130000000E+02
0.309359330000000E+02,-0.902047490000000E+02
0.309372830000000E+02,-0.902073530000000E+02
0.309395280000000E+02,-0.902083640000000E+02
0.309412910000000E+02,-0.902078060000000E+02
0.309449320000000E+02,-0.902037150000000E+02
0.309458940000000E+02,-0.902006860000000E+02
0.309467420000000E+02,-0.902000210000000E+02
0.309478410000000E+02,-0.901999950000000E+02
0.309502220000000E+02,-0.902023080000000E+02
0.309527630000000E+02,-0.902024410000000E+02
0.309545720000000E+02,-0.902016700000000E+02
0.309566110000000E+02,-0.902000230000000E+02
0.309590380000000E+02,-0.902003160000000E+02
0.309614190000000E+02,-0.901995450000000E+02
0.309626790000000E+02,-0.901983760000000E+02
0.309640530000000E+02,-0.901960110000000E+02
0.309649230000000E+02,-0.901955060000000E+02
0.309657020000000E+02,-0.901954530000000E+02
0.309688850000000E+02,-0.901972600000000E+02
0.309714040000000E+02,-0.902010600000000E+02
0.309729610000000E+02,-0.902013790000000E+02
0.309741520000000E+02,-0.902009280000000E+02
0.309765560000000E+02,-0.901988810000000E+02
0.309805640000000E+02,-0.901995720000000E+02
0.309808610000000E+02,-0.901971540000000E+02
0.309819380000000E+02,-0.901960380000000E+02
0.309851660000000E+02,-0.901974730000000E+02
0.309865860000000E+02,-0.901975000000000E+02
0.309942810000000E+02,-0.901943630000000E+02
0.309991800000000E+02,-0.901931400000000E+02
0.310001790000000E+02,-0.901937780000000E+02
0.310001790000000E+02,-0.901937780000000E+02
0.310001790000000E+02,-0.901927410000000E+02
0.309985850000000E+02,-0.901925550000000E+02
0.309918760000000E+02,-0.901940970000000E+02
0.309863800000000E+02,-0.901965690000000E+02
0.309848460000000E+02,-0.901965160000000E+02
0.309817320000000E+02,-0.901951080000000E+02
0.309803800000000E+02,-0.901964100000000E+02
0.309800140000000E+02,-0.901980580000000E+02
0.309763500000000E+02,-0.901979510000000E+02
0.309749300000000E+02,-0.901987480000000E+02
0.309736480000000E+02,-0.902003430000000E+02
0.309724800000000E+02,-0.902006880000000E+02
0.309717700000000E+02,-0.902002100000000E+02
0.309703280000000E+02,-0.901974200000000E+02
0.309661370000000E+02,-0.901947890000000E+02
0.309641450000000E+02,-0.901949750000000E+02
0.309610760000000E+02,-0.901989070000000E+02
0.309590380000000E+02,-0.901994390000000E+02
0.309563130000000E+02,-0.901994120000000E+02
0.309548010000000E+02,-0.902008470000000E+02
0.309520090000000E+02,-0.902018300000000E+02
0.309507260000000E+02,-0.902017500000000E+02
0.309477950000000E+02,-0.901991980000000E+02
0.309462150000000E+02,-0.901995170000000E+02
0.309451840000000E+02,-0.902009250000000E+02
0.309445660000000E+02,-0.902035030000000E+02
0.309425510000000E+02,-0.902049640000000E+02
0.309408100000000E+02,-0.902074610000000E+02
0.309397340000000E+02,-0.902078060000000E+02
0.309378560000000E+02,-0.902071410000000E+02
0.309350850000000E+02,-0.902030220000000E+02
0.309270700000000E+02,-0.902035790000000E+02
0.309239790000000E+02,-0.902047740000000E+02
0.309202010000000E+02,-0.902027020000000E+02
0.309200400000000E+02,-0.902003110000000E+02
0.309209340000000E+02,-0.901984260000000E+02
0.309189410000000E+02,-0.901969380000000E+02
0.309179110000000E+02,-0.901968850000000E+02
0.309113620000000E+02,-0.902002040000000E+02
0.309076530000000E+02,-0.901975480000000E+02
0.309060040000000E+02,-0.901951310000000E+02
0.309050190000000E+02,-0.901948380000000E+02
0.309043780000000E+02,-0.901955820000000E+02
0.309043550000000E+02,-0.901977870000000E+02
0.309039660000000E+02,-0.901983450000000E+02
0.308995920000000E+02,-0.901986090000000E+02
0.308983550000000E+02,-0.901993520000000E+02
0.308977830000000E+02,-0.902004680000000E+02
0.308981490000000E+02,-0.902028580000000E+02
0.308977370000000E+02,-0.902036280000000E+02
0.308965690000000E+02,-0.902041590000000E+02
0.308952180000000E+02,-0.902038670000000E+02
0.308945770000000E+02,-0.902016620000000E+02
0.308959050000000E+02,-0.902005470000000E+02
0.308960650000000E+02,-0.901994850000000E+02
0.308955840000000E+02,-0.901988740000000E+02
0.308943020000000E+02,-0.901988740000000E+02
0.308922640000000E+02,-0.902006000000000E+02
0.308887140000000E+02,-0.902006790000000E+02
0.308846150000000E+02,-0.902050860000000E+02
0.308840880000000E+02,-0.902051650000000E+02
0.308816610000000E+02,-0.902020050000000E+02
0.308783180000000E+02,-0.902019520000000E+02
0.308775850000000E+02,-0.902015000000000E+02
0.308774250000000E+02,-0.902004920000000E+02
0.308788680000000E+02,-0.901982620000000E+02
