LAT,LON
0.308556480000000E+02,-0.898795880000000E+02
0.308545260000000E+02,-0.898799330000000E+02
0.308444050000000E+02,-0.898799120000000E+02
0.308303230000000E+02,-0.898791230000000E+02
0.308289890000000E+02,-0.898819890000000E+02
0.308295490000000E+02,-0.898934780000000E+02
0.308302600000000E+02,-0.898964500000000E+02
0.308320910000000E+02,-0.898984400000000E+02
0.308342450000000E+02,-0.899019690000000E+02
0.308347030000000E+02,-0.899036670000000E+02
0.308340200000000E+02,-0.899059760000000E+02
0.308157210000000E+02,-0.899058730000000E+02
0.308144180000000E+02,-0.899147350000000E+02
0.308111210000000E+02,-0.899235960000000E+02
0.308115790000000E+02,-0.899304940000000E+02
0.308101370000000E+02,-0.899328010000000E+02
0.308038170000000E+02,-0.899372840000000E+02
0.308024080000000E+02,-0.899376990000000E+02
0.307992140000000E+02,-0.899340750000000E+02
0.307977950000000E+02,-0.899331200000000E+02
0.307937650000000E+02,-0.899328280000000E+02
0.307854750000000E+02,-0.899268880000000E+02
0.307822830000000E+02,-0.899272580000000E+02
0.307824960000000E+02,-0.899462780000000E+02
0.307898710000000E+02,-0.899487680000000E+02
0.307959160000000E+02,-0.899486630000000E+02
0.307984120000000E+02,-0.899495910000000E+02
0.308055540000000E+02,-0.899593020000000E+02
0.308069740000000E+02,-0.899601780000000E+02
0.308120800000000E+02,-0.899612670000000E+02
0.308144830000000E+02,-0.899627000000000E+02
0.308221980000000E+02,-0.899694160000000E+02
0.308216930000000E+02,-0.899729710000000E+02
0.308198370000000E+02,-0.899774000000000E+02
0.308198370000000E+02,-0.899774000000000E+02
0.308197450000000E+02,-0.899786470000000E+02
0.308202940000000E+02,-0.899789390000000E+02
0.308225840000000E+02,-0.899783830000000E+02
0.308246680000000E+02,-0.899785960000000E+02
0.308264300000000E+02,-0.899798970000000E+02
0.308283530000000E+02,-0.899825780000000E+02
0.308328850000000E+02,-0.899843580000000E+02
0.308335270000000E+02,-0.899829520000000E+02
0.308366870000000E+02,-0.899825560000000E+02
0.308383580000000E+02,-0.899834320000000E+02
0.308476980000000E+02,-0.899895690000000E+02
0.308480130000000E+02,-0.899979810000000E+02
0.308539430000000E+02,-0.899985690000000E+02
0.308589200000000E+02,-0.900012530000000E+02
0.308599560000000E+02,-0.900006450000000E+02
0.308608350000000E+02,-0.899987070000000E+02
0.308586410000000E+02,-0.899910620000000E+02
0.308548420000000E+02,-0.899865210000000E+02
0.308521640000000E+02,-0.899843700000000E+02
0.308576860000000E+02,-0.899748440000000E+02
0.308600220000000E+02,-0.899740230000000E+02
0.308613720000000E+02,-0.899760150000000E+02
0.308625860000000E+02,-0.899752990000000E+02
0.308609160000000E+02,-0.899709440000000E+02
0.308512360000000E+02,-0.899510100000000E+02
0.308520150000000E+02,-0.899508510000000E+02
0.308524270000000E+02,-0.899500280000000E+02
0.308522900000000E+02,-0.899481160000000E+02
0.308421020000000E+02,-0.899355360000000E+02
0.308385530000000E+02,-0.899322460000000E+02
0.308448950000000E+02,-0.899199580000000E+02
0.308481460000000E+02,-0.899182860000000E+02
0.308489020000000E+02,-0.899198790000000E+02
0.308530700000000E+02,-0.899250270000000E+02
0.308569860000000E+02,-0.899288230000000E+02
0.308585430000000E+02,-0.899328570000000E+02
0.308606030000000E+02,-0.899348210000000E+02
0.308657780000000E+02,-0.899347420000000E+02
0.308702200000000E+02,-0.899310260000000E+02
0.308781880000000E+02,-0.899297180000000E+02
0.308845080000000E+02,-0.899317890000000E+02
0.308845080000000E+02,-0.899317890000000E+02
0.308878730000000E+02,-0.899229210000000E+02
0.308732190000000E+02,-0.899230890000000E+02
0.308729670000000E+02,-0.899187090000000E+02
0.308657320000000E+02,-0.899187630000000E+02
0.308611980000000E+02,-0.899102950000000E+02
0.308610140000000E+02,-0.899066860000000E+02
0.308624340000000E+02,-0.899091800000000E+02
0.308650670000000E+02,-0.899097370000000E+02
0.308660980000000E+02,-0.899094190000000E+02
0.308710170000000E+02,-0.899056270000000E+02
0.308713400000000E+02,-0.899024890000000E+02
0.308698050000000E+02,-0.898949510000000E+02
0.308686360000000E+02,-0.898929080000000E+02
0.308645130000000E+02,-0.898881840000000E+02
0.308591990000000E+02,-0.898841260000000E+02
0.308580530000000E+02,-0.898809400000000E+02
0.308556480000000E+02,-0.898795880000000E+02
END,END
0.304436030000000E+02,-0.898637620000000E+02
0.304436060000000E+02,-0.898583440000000E+02
0.304430340000000E+02,-0.898558600000000E+02
0.304398290000000E+02,-0.898539540000000E+02
0.304439060000000E+02,-0.898507060000000E+02
0.304482350000000E+02,-0.898497820000000E+02
0.304525850000000E+02,-0.898520850000000E+02
0.304637370000000E+02,-0.898538080000000E+02
0.304653400000000E+02,-0.898536240000000E+02
0.304664490000000E+02,-0.898525770000000E+02
0.304664490000000E+02,-0.898525770000000E+02
0.303688770000000E+02,-0.898116300000000E+02
0.303702830000000E+02,-0.898098230000000E+02
0.303680840000000E+02,-0.898080010000000E+02
0.303631380000000E+02,-0.898058610000000E+02
0.303578020000000E+02,-0.898049890000000E+02
0.303565420000000E+02,-0.897991800000000E+02
0.303514110000000E+02,-0.897907040000000E+02
0.303475870000000E+02,-0.897890150000000E+02
0.303434870000000E+02,-0.897881690000000E+02
0.303410130000000E+02,-0.897848700000000E+02
0.303410130000000E+02,-0.897848700000000E+02
0.303398460000000E+02,-0.897880640000000E+02
0.303395720000000E+02,-0.898009500000000E+02
0.303431220000000E+02,-0.898013190000000E+02
0.303592440000000E+02,-0.898081050000000E+02
0.303665490000000E+02,-0.898186170000000E+02
0.303677620000000E+02,-0.898226320000000E+02
0.303650140000000E+02,-0.898228160000000E+02
0.303591050000000E+02,-0.898262740000000E+02
0.303563790000000E+02,-0.898318450000000E+02
0.303564010000000E+02,-0.898353310000000E+02
0.303579800000000E+02,-0.898374970000000E+02
0.303601540000000E+02,-0.898432550000000E+02
0.303602460000000E+02,-0.898443900000000E+02
0.303593290000000E+02,-0.898469250000000E+02
0.303520470000000E+02,-0.898470010000000E+02
0.303408200000000E+02,-0.898414650000000E+02
0.303338430000000E+02,-0.898409470000000E+02
0.303182940000000E+02,-0.898354770000000E+02
0.303166840000000E+02,-0.898356440000000E+02
0.303243560000000E+02,-0.898573370000000E+02
0.303226850000000E+02,-0.898567290000000E+02
0.303227080000000E+02,-0.898570460000000E+02
0.303261170000000E+02,-0.898642010000000E+02
0.303297750000000E+02,-0.898763020000000E+02
0.303297750000000E+02,-0.898763020000000E+02
0.303431320000000E+02,-0.898754690000000E+02
0.303456130000000E+02,-0.898766610000000E+02
0.303474210000000E+02,-0.898961200000000E+02
0.303524140000000E+02,-0.898964350000000E+02
0.303585430000000E+02,-0.898919460000000E+02
0.303584860000000E+02,-0.898733370000000E+02
0.303720090000000E+02,-0.898770170000000E+02
0.303739560000000E+02,-0.898788390000000E+02
0.303765080000000E+02,-0.898800990000000E+02
0.303809970000000E+02,-0.898800960000000E+02
0.303800190000000E+02,-0.898750680000000E+02
0.303800090000000E+02,-0.898653110000000E+02
0.304021520000000E+02,-0.898700780000000E+02
0.304051230000000E+02,-0.898620450000000E+02
0.304110410000000E+02,-0.898623430000000E+02
0.304128980000000E+02,-0.898610830000000E+02
0.304150080000000E+02,-0.898557210000000E+02
0.304207990000000E+02,-0.898555040000000E+02
0.304248270000000E+02,-0.898585190000000E+02
0.304436030000000E+02,-0.898637620000000E+02
END,END
0.304640201870448E+02,-0.896982791111111E+02
0.304632690000000E+02,-0.896958640000000E+02
0.304596570000000E+02,-0.896901020000000E+02
0.304517930000000E+02,-0.896834100000000E+02
0.304458100000000E+02,-0.896828290000000E+02
0.304456221647003E+02,-0.896828882520623E+02
0.304455569100039E+02,-0.896829088364538E+02
0.304408128736441E+02,-0.896844053279995E+02
0.304402980000962E+02,-0.896845677432622E+02
0.304397245149023E+02,-0.896847486473867E+02
0.304395110000000E+02,-0.896848160000000E+02
0.304381823900028E+02,-0.896844380232982E+02
0.304369859120193E+02,-0.896840976368772E+02
0.304361609523449E+02,-0.896838629438240E+02
0.304354905013217E+02,-0.896836722069885E+02
0.304349870849342E+02,-0.896835289898923E+02
0.304349590000000E+02,-0.896835210000000E+02
0.304340730000000E+02,-0.896819460000000E+02
0.304340454778485E+02,-0.896819383510975E+02
0.304337685923086E+02,-0.896818613996103E+02
0.304295561479212E+02,-0.896806906853127E+02
0.304289240000000E+02,-0.896805150000000E+02
0.304287209578760E+02,-0.896804877543395E+02
0.304270912377991E+02,-0.896802690667138E+02
0.304267494823973E+02,-0.896802232075025E+02
0.304256106602968E+02,-0.896800703921174E+02
0.304253053246512E+02,-0.896800294199723E+02
0.304186682920572E+02,-0.896791388149414E+02
0.304183795321855E+02,-0.896791000670536E+02
0.304171794125266E+02,-0.896789390263188E+02
0.304169825435585E+02,-0.896789126090169E+02
0.304140120000000E+02,-0.896785140000000E+02
0.304114000000000E+02,-0.896801340000000E+02
0.304114920000000E+02,-0.896811650000000E+02
0.304129910000000E+02,-0.896823200000000E+02
0.304126460000000E+02,-0.896841180000000E+02
0.304118278219065E+02,-0.896840658144195E+02
0.304114773708735E+02,-0.896840434617182E+02
0.304094347305008E+02,-0.896839131766686E+02
0.304088360590668E+02,-0.896838749918082E+02
0.304058730000000E+02,-0.896836860000000E+02
0.304036228215437E+02,-0.896819518859329E+02
0.304031027742063E+02,-0.896815511082076E+02
0.304027386808496E+02,-0.896812705173905E+02
0.304005361641537E+02,-0.896795731341565E+02
0.303999910000000E+02,-0.896791530000000E+02
0.303981296455097E+02,-0.896780427884696E+02
0.303972921367518E+02,-0.896775432533813E+02
0.303965397211824E+02,-0.896770944724290E+02
0.303929964908807E+02,-0.896749811000671E+02
0.303927568171879E+02,-0.896748381458374E+02
0.303905243837502E+02,-0.896735066029443E+02
0.303892760000000E+02,-0.896727620000000E+02
0.303883085979997E+02,-0.896723906939599E+02
0.303866211163786E+02,-0.896717430085940E+02
0.303824290000000E+02,-0.896701340000000E+02
0.303810662781836E+02,-0.896691658595230E+02
0.303748105242881E+02,-0.896647214832113E+02
0.303744175619874E+02,-0.896644423046551E+02
0.303716602448389E+02,-0.896624833792844E+02
0.303712670000000E+02,-0.896622040000000E+02
0.303709666452100E+02,-0.896621294903927E+02
0.303649710164062E+02,-0.896606421428874E+02
0.303646575901656E+02,-0.896605643906195E+02
0.303635170721280E+02,-0.896602814600523E+02
0.303634870000000E+02,-0.896602740000000E+02
0.303632096141832E+02,-0.896601513407239E+02
0.303617448083752E+02,-0.896595036074614E+02
0.303608339475086E+02,-0.896591008271900E+02
0.303592535979561E+02,-0.896584020007887E+02
0.303586863752553E+02,-0.896581511764074E+02
0.303568411308827E+02,-0.896573352142156E+02
0.303565150000000E+02,-0.896571910000000E+02
0.303559447217105E+02,-0.896545708654277E+02
0.303555360000000E+02,-0.896526930000000E+02
0.303554416305234E+02,-0.896525067166425E+02
0.303553540103976E+02,-0.896523337563614E+02
0.303548433037098E+02,-0.896513256321255E+02
0.303545031454531E+02,-0.896506541668973E+02
0.303525000000000E+02,-0.896467000000000E+02
0.303521167602872E+02,-0.896463500433314E+02
0.303517120481790E+02,-0.896459804790707E+02
0.303513140000000E+02,-0.896456170000000E+02
0.303481260000000E+02,-0.896451990000000E+02
0.303477000000000E+02,-0.896442867285852E+02
0.303468970803882E+02,-0.896425672905330E+02
0.303465784588442E+02,-0.896418849681697E+02
0.303462094965111E+02,-0.896410948419029E+02
0.303457462574566E+02,-0.896401028237161E+02
0.303441649003569E+02,-0.896367163756440E+02
0.303439700000000E+02,-0.896362990000000E+02
0.303423774106825E+02,-0.896340640017095E+02
0.303394544144672E+02,-0.896299619450947E+02
0.303394299755482E+02,-0.896299276481535E+02
0.303392870000000E+02,-0.896297270000000E+02
0.303391627973816E+02,-0.896297401356877E+02
0.303380408013312E+02,-0.896298587981595E+02
0.303329330000000E+02,-0.896303990000000E+02
0.303269333910216E+02,-0.896301361772502E+02
0.303263880639313E+02,-0.896301122882991E+02
0.303253993557625E+02,-0.896300689763098E+02
0.303248402157251E+02,-0.896300444822598E+02
0.303225366785227E+02,-0.896299435720199E+02
0.303210443433589E+02,-0.896298781978209E+02
0.303210170000000E+02,-0.896298770000000E+02
0.303154570000000E+02,-0.896266060000000E+02
0.303142550000000E+02,-0.896262210000000E+02
0.303093320000000E+02,-0.896316430000000E+02
0.303082560000000E+02,-0.896342080000000E+02
0.303072810000000E+02,-0.896398720000000E+02
0.303067550000000E+02,-0.896404010000000E+02
0.303037990000000E+02,-0.896417050000000E+02
0.303025565379963E+02,-0.896418387514163E+02
0.303025565379963E+02,-0.896418387514163E+02
0.303031410000000E+02,-0.896420330000000E+02
0.302984760000000E+02,-0.896633290000000E+02
0.302984760000000E+02,-0.896633290000000E+02
0.302997910000000E+02,-0.896673940000000E+02
0.303017150000000E+02,-0.896685810000000E+02
0.303024250000000E+02,-0.896698740000000E+02
0.303030670000000E+02,-0.896732000000000E+02
0.303013950000000E+02,-0.896742560000000E+02
0.303030900000000E+02,-0.896782410000000E+02
0.303037310000000E+02,-0.896789800000000E+02
0.303063650000000E+02,-0.896783730000000E+02
0.303069380000000E+02,-0.896787950000000E+02
0.303068460000000E+02,-0.896800360000000E+02
0.303051690921387E+02,-0.896811244972656E+02
0.303063420000000E+02,-0.896826500000000E+02
0.303083120000000E+02,-0.896825440000000E+02
0.303101440000000E+02,-0.896837320000000E+02
0.303110830000000E+02,-0.896868730000000E+02
0.303104880000000E+02,-0.896877180000000E+02
0.303086780000000E+02,-0.896880350000000E+02
0.303109680000000E+02,-0.896902520000000E+02
0.303148620000000E+02,-0.896891170000000E+02
0.303175880000000E+02,-0.896869790000000E+02
0.303194200000000E+02,-0.896863190000000E+02
0.303248240000000E+02,-0.896853960000000E+02
0.303272060000000E+02,-0.896859500000000E+02
0.303290150000000E+02,-0.896872170000000E+02
0.303324050000000E+02,-0.896871650000000E+02
0.303343520000000E+02,-0.896853700000000E+02
0.303339630000000E+02,-0.896836010000000E+02
0.303378790000000E+02,-0.896856870000000E+02
0.303384145963867E+02,-0.896871824005859E+02
0.303392300000000E+02,-0.896875610000000E+02
0.303402150000000E+02,-0.896872710000000E+02
0.303409020000000E+02,-0.896859510000000E+02
0.303425280000000E+02,-0.896869540000000E+02
0.303426200000000E+02,-0.896872450000000E+02
0.303401920000000E+02,-0.896880100000000E+02
0.303387490000000E+02,-0.896881420000000E+02
0.303363900000000E+02,-0.896857390000000E+02
0.303347870000000E+02,-0.896850530000000E+02
0.303343520000000E+02,-0.896862670000000E+02
0.303322910000000E+02,-0.896877720000000E+02
0.303288320000000E+02,-0.896877190000000E+02
0.303270690000000E+02,-0.896864250000000E+02
0.303246870000000E+02,-0.896861080000000E+02
0.303174730000000E+02,-0.896876650000000E+02
0.303156410000000E+02,-0.896891700000000E+02
0.303164650000000E+02,-0.896904900000000E+02
0.303161670000000E+02,-0.896933940000000E+02
0.303166710000000E+02,-0.896946870000000E+02
0.303191440000000E+02,-0.896945290000000E+02
0.303210220000000E+02,-0.896928400000000E+02
0.303220980000000E+02,-0.896935000000000E+02
0.303221440000000E+02,-0.896948200000000E+02
