LAT,LON
0.425038910000000E+02,-0.732411160000000E+02
0.425026830000000E+02,-0.732406480000000E+02
0.425010830000000E+02,-0.732410480000000E+02
0.424987830000000E+02,-0.732398480000000E+02
0.424944830000000E+02,-0.732388480000000E+02
0.424938830000000E+02,-0.732395480000000E+02
0.424938830000000E+02,-0.732395480000000E+02
0.424921830000000E+02,-0.732433480000000E+02
0.424868350000000E+02,-0.732482520000000E+02
0.424858750000000E+02,-0.732482040000000E+02
0.424866830000000E+02,-0.732514480000000E+02
0.424892830000000E+02,-0.732569490000000E+02
0.424905830000000E+02,-0.732576490000000E+02
0.424959830000000E+02,-0.732564480000000E+02
0.424997830000000E+02,-0.732542480000000E+02
0.425001830000000E+02,-0.732529480000000E+02
0.425036830000000E+02,-0.732528480000000E+02
0.425046830000000E+02,-0.732545480000000E+02
0.425037830000000E+02,-0.732569480000000E+02
0.425022830000000E+02,-0.732586490000000E+02
0.425026830000000E+02,-0.732610490000000E+02
0.425063830000000E+02,-0.732579490000000E+02
0.425069830000000E+02,-0.732560490000000E+02
0.425041830000000E+02,-0.732524480000000E+02
0.424995830000000E+02,-0.732449480000000E+02
0.425026830000000E+02,-0.732416480000000E+02
0.425038910000000E+02,-0.732411160000000E+02
END,END
0.423412110000000E+02,-0.733136760000000E+02
0.423361830000000E+02,-0.733105100000000E+02
0.423361830000000E+02,-0.733105100000000E+02
0.423342620000000E+02,-0.733147950000000E+02
0.423303510000000E+02,-0.733155040000000E+02
0.423268290000000E+02,-0.733170760000000E+02
0.423262110000000E+02,-0.733212980000000E+02
0.423270800000000E+02,-0.733220070000000E+02
0.423268970000000E+02,-0.733258280000000E+02
0.423237860000000E+02,-0.733261050000000E+02
0.423226200000000E+02,-0.733253040000000E+02
0.423208820000000E+02,-0.733269060000000E+02
0.423198750000000E+02,-0.733292170000000E+02
0.423267370000000E+02,-0.733267220000000E+02
0.423280170000000E+02,-0.733255510000000E+02
0.423284980000000E+02,-0.733243800000000E+02
0.423311740000000E+02,-0.733234250000000E+02
0.423374400000000E+02,-0.733230560000000E+02
0.423405740000000E+02,-0.733240120000000E+02
0.423419230000000E+02,-0.733233340000000E+02
0.423439360000000E+02,-0.733206210000000E+02
0.423440960000000E+02,-0.733183400000000E+02
0.423412110000000E+02,-0.733136760000000E+02
END,END
0.423272330000000E+02,-0.732733720000000E+02
0.423294980000000E+02,-0.732745420000000E+02
0.423300690000000E+02,-0.732743870000000E+02
0.423296560000000E+02,-0.732689930000000E+02
0.423283970000000E+02,-0.732683160000000E+02
0.423285580000000E+02,-0.732698570000000E+02
0.423285580000000E+02,-0.732698570000000E+02
0.423281470000000E+02,-0.732699800000000E+02
0.423273230000000E+02,-0.732686550000000E+02
0.423274590000000E+02,-0.732668370000000E+02
0.423264510000000E+02,-0.732634780000000E+02
0.423239810000000E+02,-0.732616310000000E+02
0.423215100000000E+02,-0.732605860000000E+02
0.423215110000000E+02,-0.732621260000000E+02
0.423230660000000E+02,-0.732627720000000E+02
0.423237760000000E+02,-0.732643440000000E+02
0.423235930000000E+02,-0.732652070000000E+02
0.423219700000000E+02,-0.732669950000000E+02
0.423224060000000E+02,-0.732701080000000E+02
0.423242600000000E+02,-0.732751610000000E+02
0.423256340000000E+02,-0.732776570000000E+02
0.423263200000000E+02,-0.732776560000000E+02
0.423272330000000E+02,-0.732733720000000E+02
END,END
0.421661240000000E+02,-0.732673800000000E+02
0.421654110000000E+02,-0.732659130000000E+02
0.421641080000000E+02,-0.732654830000000E+02
0.421620950000000E+02,-0.732668060000000E+02
0.421634920000000E+02,-0.732696030000000E+02
0.421658480000000E+02,-0.732717220000000E+02
0.421683200000000E+02,-0.732756560000000E+02
0.421702430000000E+02,-0.732846620000000E+02
0.421734910000000E+02,-0.732853370000000E+02
0.421749550000000E+02,-0.732845370000000E+02
0.421756180000000E+02,-0.732830000000000E+02
0.421758000000000E+02,-0.732808170000000E+02
0.421754800000000E+02,-0.732801400000000E+02
0.421747340000000E+02,-0.732800180000000E+02
0.421747340000000E+02,-0.732800180000000E+02
0.421717970000000E+02,-0.732787900000000E+02
0.421705610000000E+02,-0.732763000000000E+02
0.421695640000000E+02,-0.732710490000000E+02
0.421680880000000E+02,-0.732677550000000E+02
0.421661240000000E+02,-0.732673800000000E+02
END,END
