LAT,LON
0.423733970000000E+02,-0.710729950000000E+02
0.423725970000000E+02,-0.710725950000000E+02
0.423718970000000E+02,-0.710670950000000E+02
0.423718970000000E+02,-0.710670950000000E+02
0.423689970000000E+02,-0.710640950000000E+02
0.423689970000000E+02,-0.710640950000000E+02
0.423672340000000E+02,-0.710715710000000E+02
0.423672340000000E+02,-0.710715710000000E+02
0.423684820000000E+02,-0.710739760000000E+02
0.423670970000000E+02,-0.710818960000000E+02
0.423675970000000E+02,-0.710859960000000E+02
0.423672970000000E+02,-0.710881960000000E+02
0.423664970000000E+02,-0.710882960000000E+02
0.423664970000000E+02,-0.710882960000000E+02
0.423677970000000E+02,-0.710911960000000E+02
0.423663970000000E+02,-0.710920960000000E+02
0.423704970000000E+02,-0.710970960000000E+02
0.423741970000000E+02,-0.710949960000000E+02
0.423741970000000E+02,-0.710949960000000E+02
0.423739970000000E+02,-0.710896960000000E+02
0.423729970000000E+02,-0.710868960000000E+02
0.423742970000000E+02,-0.710794960000000E+02
0.423733970000000E+02,-0.710729950000000E+02
END,END
