LAT,LON
0.397213049433471E+02,-0.762415939878615E+02
0.397213050000000E+02,-0.762332770000000E+02
0.397213050000000E+02,-0.762332770000000E+02
0.397091050000000E+02,-0.762292770000000E+02
0.397029050000000E+02,-0.762242770000000E+02
0.397029050000000E+02,-0.762242770000000E+02
0.396996050000000E+02,-0.762388770000000E+02
0.396996050000000E+02,-0.762388770000000E+02
0.397029050000000E+02,-0.762362770000000E+02
0.397156050000000E+02,-0.762420780000000E+02
0.397213049433471E+02,-0.762415939878615E+02
END,END
0.396855030000000E+02,-0.767728960000000E+02
0.396841030000000E+02,-0.767694960000000E+02
0.396809030000000E+02,-0.767700960000000E+02
0.396768030000000E+02,-0.767673960000000E+02
0.396678030000000E+02,-0.767585960000000E+02
0.396714030000000E+02,-0.767573960000000E+02
0.396714030000000E+02,-0.767573960000000E+02
0.396705030000000E+02,-0.767563960000000E+02
0.396672030000000E+02,-0.767578960000000E+02
0.396649030000000E+02,-0.767548960000000E+02
0.396670030000000E+02,-0.767515960000000E+02
0.396666030000000E+02,-0.767504960000000E+02
0.396597030000000E+02,-0.767545960000000E+02
0.396568030000000E+02,-0.767578960000000E+02
0.396563030000000E+02,-0.767628960000000E+02
0.396545030000000E+02,-0.767613960000000E+02
0.396515030000000E+02,-0.767552960000000E+02
0.396482030000000E+02,-0.767545960000000E+02
0.396482030000000E+02,-0.767545960000000E+02
0.396475040000000E+02,-0.767510960000000E+02
0.396463040000000E+02,-0.767484960000000E+02
0.396522040000000E+02,-0.767448960000000E+02
0.396549030000000E+02,-0.767426960000000E+02
0.396549030000000E+02,-0.767426960000000E+02
0.396561030000000E+02,-0.767400960000000E+02
0.396561030000000E+02,-0.767400960000000E+02
0.396546030000000E+02,-0.767415960000000E+02
0.396546030000000E+02,-0.767415960000000E+02
0.396519040000000E+02,-0.767423960000000E+02
0.396508040000000E+02,-0.767397960000000E+02
0.396515040000000E+02,-0.767431960000000E+02
0.396463040000000E+02,-0.767448960000000E+02
0.396461040000000E+02,-0.767430960000000E+02
0.396482040000000E+02,-0.767421960000000E+02
0.396479040000000E+02,-0.767395960000000E+02
0.396453040000000E+02,-0.767420960000000E+02
0.396445040000000E+02,-0.767400960000000E+02
0.396451040000000E+02,-0.767387960000000E+02
0.396377040000000E+02,-0.767362960000000E+02
0.396383040000000E+02,-0.767340950000000E+02
0.396358040000000E+02,-0.767309950000000E+02
0.396390040000000E+02,-0.767312950000000E+02
0.396386040000000E+02,-0.767286950000000E+02
0.396449040000000E+02,-0.767215950000000E+02
0.396403040000000E+02,-0.767237950000000E+02
0.396383040000000E+02,-0.767253950000000E+02
0.396367040000000E+02,-0.767282950000000E+02
0.396342040000000E+02,-0.767293950000000E+02
0.396303040000000E+02,-0.767253950000000E+02
0.396284040000000E+02,-0.767258950000000E+02
0.396265040000000E+02,-0.767234950000000E+02
0.396276040000000E+02,-0.767171950000000E+02
0.396290040000000E+02,-0.767175950000000E+02
0.396305040000000E+02,-0.767132950000000E+02
0.396286040000000E+02,-0.767141950000000E+02
0.396266040000000E+02,-0.767161950000000E+02
0.396258040000000E+02,-0.767126950000000E+02
0.396239040000000E+02,-0.767102950000000E+02
0.396216040000000E+02,-0.767092950000000E+02
0.396202040000000E+02,-0.767068950000000E+02
0.396192040000000E+02,-0.767067950000000E+02
0.396184040000000E+02,-0.767122950000000E+02
0.396174040000000E+02,-0.767126950000000E+02
0.396156040000000E+02,-0.767161950000000E+02
0.396168040000000E+02,-0.767189950000000E+02
0.396180040000000E+02,-0.767200950000000E+02
0.396168040000000E+02,-0.767225950000000E+02
0.396197040000000E+02,-0.767196950000000E+02
0.396205040000000E+02,-0.767231950000000E+02
0.396199040000000E+02,-0.767301950000000E+02
0.396177040000000E+02,-0.767318960000000E+02
0.396186040000000E+02,-0.767324960000000E+02
0.396207040000000E+02,-0.767307950000000E+02
0.396215040000000E+02,-0.767260950000000E+02
0.396196040000000E+02,-0.767182950000000E+02
0.396183040000000E+02,-0.767184950000000E+02
0.396169040000000E+02,-0.767166950000000E+02
0.396184040000000E+02,-0.767141950000000E+02
0.396190040000000E+02,-0.767155950000000E+02
0.396215040000000E+02,-0.767146950000000E+02
0.396229040000000E+02,-0.767120950000000E+02
0.396251040000000E+02,-0.767176950000000E+02
0.396267040000000E+02,-0.767277950000000E+02
0.396306040000000E+02,-0.767271950000000E+02
0.396329040000000E+02,-0.767323950000000E+02
0.396294040000000E+02,-0.767331960000000E+02
0.396274040000000E+02,-0.767323950000000E+02
0.396284040000000E+02,-0.767341960000000E+02
0.396273040000000E+02,-0.767365960000000E+02
0.396245040000000E+02,-0.767361960000000E+02
0.396240040000000E+02,-0.767351960000000E+02
0.396225040000000E+02,-0.767359960000000E+02
0.396232040000000E+02,-0.767370960000000E+02
0.396248040000000E+02,-0.767373960000000E+02
0.396256040000000E+02,-0.767381960000000E+02
0.396264040000000E+02,-0.767398960000000E+02
0.396245040000000E+02,-0.767408960000000E+02
0.396234040000000E+02,-0.767399960000000E+02
0.396225040000000E+02,-0.767438960000000E+02
0.396242040000000E+02,-0.767428960000000E+02
0.396256040000000E+02,-0.767446960000000E+02
0.396268040000000E+02,-0.767474960000000E+02
0.396264040000000E+02,-0.767505960000000E+02
0.396275040000000E+02,-0.767506960000000E+02
0.396291040000000E+02,-0.767517960000000E+02
0.396268040000000E+02,-0.767549960000000E+02
0.396301040000000E+02,-0.767534960000000E+02
0.396305040000000E+02,-0.767525960000000E+02
0.396341040000000E+02,-0.767579960000000E+02
0.396332040000000E+02,-0.767586960000000E+02
0.396319040000000E+02,-0.767611960000000E+02
0.396325030000000E+02,-0.767667970000000E+02
0.396337030000000E+02,-0.767678970000000E+02
0.396355030000000E+02,-0.767660970000000E+02
0.396380030000000E+02,-0.767659970000000E+02
0.396383030000000E+02,-0.767723970000000E+02
