LAT,LON
0.397229293323378E+02,-0.788115989591680E+02
0.397229496811182E+02,-0.787958326785113E+02
0.397229496811182E+02,-0.787958326785113E+02
0.397208990000000E+02,-0.787952010000000E+02
0.397189450000000E+02,-0.787928810000000E+02
0.397166200000000E+02,-0.787888220000000E+02
0.397162230000000E+02,-0.787839090000000E+02
0.397073960000000E+02,-0.787790260000000E+02
0.397025970000000E+02,-0.787804000000000E+02
0.397025970000000E+02,-0.787804000000000E+02
0.396951500000000E+02,-0.787863660000000E+02
0.396932660000000E+02,-0.787890670000000E+02
0.396915950000000E+02,-0.788010450000000E+02
0.396919310000000E+02,-0.788035470000000E+02
0.396919310000000E+02,-0.788035470000000E+02
0.396935560000000E+02,-0.788084000000000E+02
0.396974470000000E+02,-0.788137260000000E+02
0.396980420000000E+02,-0.788168230000000E+02
0.396977600000000E+02,-0.788220720000000E+02
0.396987290000000E+02,-0.788248650000000E+02
0.397056030000000E+02,-0.788231250000000E+02
0.397057480000000E+02,-0.788203790000000E+02
0.397072120000000E+02,-0.788173880000000E+02
0.397148710000000E+02,-0.788113300000000E+02
0.397159170000000E+02,-0.788110400000000E+02
0.397207690000000E+02,-0.788123980000000E+02
0.397229293323378E+02,-0.788115989591680E+02
END,END
