LAT,LON
0.465736300000000E+02,-0.698928870000000E+02
0.465725750000000E+02,-0.698948210000000E+02
0.465714100000000E+02,-0.698955190000000E+02
0.465683230000000E+02,-0.698939630000000E+02
0.465648930000000E+02,-0.698904530000000E+02
0.465637490000000E+02,-0.698865430000000E+02
0.465635880000000E+02,-0.698842240000000E+02
0.465640440000000E+02,-0.698824670000000E+02
0.465660550000000E+02,-0.698805760000000E+02
0.465735440000000E+02,-0.698790340000000E+02
0.465735440000000E+02,-0.698790340000000E+02
0.465735310000000E+02,-0.698773230000000E+02
0.465735310000000E+02,-0.698773230000000E+02
0.465715160000000E+02,-0.698780190000000E+02
0.465666480000000E+02,-0.698782560000000E+02
0.465651170000000E+02,-0.698790860000000E+02
0.465620560000000E+02,-0.698840930000000E+02
0.465583780000000E+02,-0.698876420000000E+02
0.465569840000000E+02,-0.698873780000000E+02
0.465547420000000E+02,-0.698844310000000E+02
0.465532790000000E+02,-0.698833060000000E+02
0.465477470000000E+02,-0.698819860000000E+02
0.465399370000000E+02,-0.698745130000000E+02
0.465355830000000E+02,-0.698718280000000E+02
0.465341210000000E+02,-0.698703360000000E+02
0.465312440000000E+02,-0.698647690000000E+02
0.465295770000000E+02,-0.698591380000000E+02
0.465283670000000E+02,-0.698569180000000E+02
0.465269730000000E+02,-0.698562540000000E+02
0.465237730000000E+02,-0.698568480000000E+02
0.465184930000000E+02,-0.698543930000000E+02
0.465177170000000E+02,-0.698515780000000E+02
0.465176270000000E+02,-0.698462800000000E+02
0.465152970000000E+02,-0.698413450000000E+02
0.465122130000000E+02,-0.698324370000000E+02
0.465111610000000E+02,-0.698307820000000E+02
0.465093780000000E+02,-0.698308140000000E+02
0.465077330000000E+02,-0.698316080000000E+02
0.465067040000000E+02,-0.698336600000000E+02
0.465068630000000E+02,-0.698390890000000E+02
0.465062910000000E+02,-0.698424650000000E+02
0.465035470000000E+02,-0.698462710000000E+02
0.465019010000000E+02,-0.698476930000000E+02
0.465000310000000E+02,-0.698485870000000E+02
0.464990070000000E+02,-0.698485200000000E+02
0.464975680000000E+02,-0.698465340000000E+02
0.464956480000000E+02,-0.698457380000000E+02
