LAT,LON
0.445652280000000E+02,-0.689383220000000E+02
0.445639480000000E+02,-0.689385530000000E+02
0.445639480000000E+02,-0.689385530000000E+02
0.445643970000000E+02,-0.689395380000000E+02
0.445637340000000E+02,-0.689412330000000E+02
0.445619040000000E+02,-0.689426400000000E+02
0.445610580000000E+02,-0.689431200000000E+02
0.445578800000000E+02,-0.689425120000000E+02
0.445551130000000E+02,-0.689403690000000E+02
0.445502200000000E+02,-0.689349960000000E+02
0.445503570000000E+02,-0.689330780000000E+02
0.445523240000000E+02,-0.689327580000000E+02
0.445523240000000E+02,-0.689327580000000E+02
0.445170023906191E+02,-0.689324864255326E+02
0.445290280000000E+02,-0.689253930000000E+02
0.445273750000000E+02,-0.689244800000000E+02
0.445136460000000E+02,-0.689201260000000E+02
0.445139290000000E+02,-0.689186340000000E+02
0.445092860000000E+02,-0.689125320000000E+02
0.445051230000000E+02,-0.689081880000000E+02
0.445018550000000E+02,-0.689073910000000E+02
0.445045940000000E+02,-0.688858090000000E+02
0.444901370000000E+02,-0.688814410000000E+02
0.444915420000000E+02,-0.688793210000000E+02
0.444854690000000E+02,-0.688662220000000E+02
0.444414552335364E+02,-0.688633822174655E+02
0.444414552335364E+02,-0.688633822174655E+02
0.444362556438895E+02,-0.688699634362215E+02
0.444282028842652E+02,-0.688801559660701E+02
0.444281120000000E+02,-0.688802710000000E+02
0.444285238334563E+02,-0.688812700655608E+02
0.444306760000000E+02,-0.688864910000000E+02
0.444376084477989E+02,-0.688905970474393E+02
0.444379950000000E+02,-0.688908260000000E+02
0.444434150000000E+02,-0.688928000000000E+02
0.444450750000000E+02,-0.688920730000000E+02
0.444452304733204E+02,-0.688922134788568E+02
0.444506430000000E+02,-0.688971040000000E+02
0.444520620000000E+02,-0.689009340000000E+02
0.444480390000000E+02,-0.689274520000000E+02
0.444397441028490E+02,-0.689314286530143E+02
0.444389874960542E+02,-0.689317913775468E+02
0.444386900000000E+02,-0.689319340000000E+02
0.444383169766841E+02,-0.689325042406107E+02
0.444291080000000E+02,-0.689465820000000E+02
0.444282078381089E+02,-0.689576654557318E+02
0.444282078381089E+02,-0.689576654557318E+02
0.444578500000000E+02,-0.689662640000000E+02
0.444574140000000E+02,-0.689694150000000E+02
0.444665240000000E+02,-0.689714820000000E+02
0.444662200000000E+02,-0.689744460000000E+02
0.444749980000000E+02,-0.689768710000000E+02
0.444762510000000E+02,-0.689779380000000E+02
0.444788330000000E+02,-0.689789970000000E+02
0.444874590000000E+02,-0.689813150000000E+02
0.444920210000000E+02,-0.689811290000000E+02
0.444991250000000E+02,-0.689656800000000E+02
0.445226830000000E+02,-0.689725210000000E+02
0.445220180000000E+02,-0.689779540000000E+02
0.445233440000000E+02,-0.689792650000000E+02
0.445313690000000E+02,-0.689815090000000E+02
0.445390970000000E+02,-0.689848720000000E+02
0.445406520000000E+02,-0.689837220000000E+02
0.445438080000000E+02,-0.689781690000000E+02
0.445459140000000E+02,-0.689787700000000E+02
0.445459140000000E+02,-0.689787700000000E+02
0.445460050000000E+02,-0.689776830000000E+02
0.445475120000000E+02,-0.689752870000000E+02
0.445561150000000E+02,-0.689656650000000E+02
0.445607980000000E+02,-0.689680270000000E+02
0.445607980000000E+02,-0.689680270000000E+02
0.445608480000000E+02,-0.689680350000000E+02
0.445609030000000E+02,-0.689672880000000E+02
0.445609030000000E+02,-0.689672880000000E+02
0.445652280000000E+02,-0.689383220000000E+02
END,END
