LAT,LON
0.455341020000000E+02,-0.699960850000000E+02
0.455359820000000E+02,-0.699968920000000E+02
0.455368740000000E+02,-0.699966000000000E+02
0.455382460000000E+02,-0.699957230000000E+02
0.455417690000000E+02,-0.699917900000000E+02
0.455459000000000E+02,-0.699819080000000E+02
0.455459000000000E+02,-0.699819080000000E+02
0.455457530000000E+02,-0.699721560000000E+02
0.455387170000000E+02,-0.699585410000000E+02
0.455374140000000E+02,-0.699574010000000E+02
0.455330010000000E+02,-0.699581800000000E+02
0.455308720000000E+02,-0.699529860000000E+02
0.455312130000000E+02,-0.699499490000000E+02
0.455292420000000E+02,-0.699359640000000E+02
0.455286400000000E+02,-0.699348320000000E+02
0.455223870000000E+02,-0.699277320000000E+02
0.455160390000000E+02,-0.699232170000000E+02
0.455141420000000E+02,-0.699228270000000E+02
0.455118790000000E+02,-0.699231850000000E+02
0.455100130000000E+02,-0.699240760000000E+02
0.455100130000000E+02,-0.699240760000000E+02
0.455081990000000E+02,-0.699258850000000E+02
0.455000470000000E+02,-0.699371700000000E+02
0.454815010000000E+02,-0.699644670000000E+02
0.454675720000000E+02,-0.699854490000000E+02
0.454587650000000E+02,-0.700008720000000E+02
0.454474550000000E+02,-0.700122840000000E+02
0.454399620000000E+02,-0.700286240000000E+02
0.454296100000000E+02,-0.700485990000000E+02
0.454299070000000E+02,-0.700510010000000E+02
0.454299070000000E+02,-0.700510010000000E+02
0.454399890000000E+02,-0.700552530000000E+02
0.454458650000000E+02,-0.700550900000000E+02
0.454483340000000E+02,-0.700544730000000E+02
0.454526770000000E+02,-0.700542450000000E+02
0.454573400000000E+02,-0.700550570000000E+02
0.454611810000000E+02,-0.700565180000000E+02
0.454637190000000E+02,-0.700585320000000E+02
0.454678790000000E+02,-0.700636980000000E+02
0.454699190000000E+02,-0.700683830000000E+02
0.454737550000000E+02,-0.700640880000000E+02
0.454729770000000E+02,-0.700525860000000E+02
0.454736400000000E+02,-0.700507990000000E+02
0.454763600000000E+02,-0.700500180000000E+02
0.454857570000000E+02,-0.700510890000000E+02
0.454878370000000E+02,-0.700496590000000E+02
0.454911280000000E+02,-0.700463430000000E+02
0.454927060000000E+02,-0.700440350000000E+02
0.454933220000000E+02,-0.700397760000000E+02
0.454915380000000E+02,-0.700335680000000E+02
0.454915370000000E+02,-0.700315530000000E+02
0.454920390000000E+02,-0.700286280000000E+02
0.454935930000000E+02,-0.700255390000000E+02
0.454943700000000E+02,-0.700251160000000E+02
0.455025480000000E+02,-0.700243600000000E+02
0.455053830000000E+02,-0.700255290000000E+02
0.455072960000000E+02,-0.700255640000000E+02
0.455164880000000E+02,-0.700166150000000E+02
0.455232870000000E+02,-0.700068070000000E+02
0.455258310000000E+02,-0.700003260000000E+02
0.455285070000000E+02,-0.699972420000000E+02
0.455304970000000E+02,-0.699959750000000E+02
0.455328050000000E+02,-0.699956520000000E+02
0.455341020000000E+02,-0.699960850000000E+02
END,END
0.454451620000000E+02,-0.704995140000000E+02
