LAT,LON
0.435826350000000E+02,-0.828115940000000E+02
0.435820390000000E+02,-0.828094160000000E+02
0.435812160000000E+02,-0.828082520000000E+02
0.435683840000000E+02,-0.828019660000000E+02
0.435696110000000E+02,-0.827559560000000E+02
0.435994720000000E+02,-0.827568420000000E+02
0.435998630000000E+02,-0.827374580000000E+02
0.435845200000000E+02,-0.827368780000000E+02
0.435852130000000E+02,-0.827169990000000E+02
0.436002360000000E+02,-0.827174470000000E+02
0.436007200000000E+02,-0.826978460000000E+02
0.435857440000000E+02,-0.826972440000000E+02
0.435862480000000E+02,-0.826774280000000E+02
0.435870680000000E+02,-0.826574520000000E+02
0.436018850000000E+02,-0.826576970000000E+02
0.436024730000000E+02,-0.826379680000000E+02
0.435878850000000E+02,-0.826372560000000E+02
0.435888960000000E+02,-0.825980050000000E+02
0.435847770000000E+02,-0.825962440000000E+02
0.435848869307786E+02,-0.825954355596435E+02
0.435848869307786E+02,-0.825954355596435E+02
0.435816694967879E+02,-0.825938827309330E+02
0.435814670000000E+02,-0.825937850000000E+02
0.435811544163133E+02,-0.825937172199062E+02
0.435671515024214E+02,-0.825906808528238E+02
0.435649887762032E+02,-0.825902118910957E+02
0.435439690000000E+02,-0.825856540000000E+02
0.435144233263759E+02,-0.825712909102019E+02
0.435144233263759E+02,-0.825712909102019E+02
0.435169280000000E+02,-0.825739340000000E+02
0.435163670000000E+02,-0.825951330000000E+02
0.435015490000000E+02,-0.825949990000000E+02
0.435008800000000E+02,-0.826344990000000E+02
0.434991160000000E+02,-0.826742090000000E+02
0.434847340000000E+02,-0.826737710000000E+02
0.434840690000000E+02,-0.826937750000000E+02
0.434696190000000E+02,-0.826932390000000E+02
0.434680310000000E+02,-0.827328280000000E+02
0.434536020000000E+02,-0.827323460000000E+02
0.434527510000000E+02,-0.827523300000000E+02
0.434527510000000E+02,-0.827523300000000E+02
0.434672250000000E+02,-0.827529440000000E+02
0.434659380000000E+02,-0.827879420000000E+02
0.434719710000000E+02,-0.827879780000000E+02
0.434768400000000E+02,-0.827893270000000E+02
0.434767490000000E+02,-0.827932650000000E+02
0.434874800000000E+02,-0.827935240000000E+02
0.434873610000000E+02,-0.827981740000000E+02
0.434841650000000E+02,-0.827980250000000E+02
0.434838150000000E+02,-0.827989650000000E+02
0.434838610000000E+02,-0.828010060000000E+02
0.434875200000000E+02,-0.828010990000000E+02
0.434871770000000E+02,-0.828133100000000E+02
0.435243280000000E+02,-0.828146020000000E+02
0.435232910000000E+02,-0.828546020000000E+02
0.435232910000000E+02,-0.828546020000000E+02
0.435524660000000E+02,-0.828555970000000E+02
0.435519330000000E+02,-0.828753790000000E+02
0.435664980000000E+02,-0.828759970000000E+02
0.435668250000000E+02,-0.828559850000000E+02
0.435813650000000E+02,-0.828561860000000E+02
0.435813650000000E+02,-0.828561860000000E+02
0.435826350000000E+02,-0.828115940000000E+02
END,END
