LAT,LON
0.446304350000000E+02,-0.944220060000000E+02
0.446302660000000E+02,-0.944177760000000E+02
0.446302770000000E+02,-0.944145910000000E+02
0.446302930000000E+02,-0.944098180000000E+02
0.446303070000000E+02,-0.944058890000000E+02
0.446303810000000E+02,-0.943092870000000E+02
0.446303810000000E+02,-0.943092870000000E+02
0.446297040000000E+02,-0.943091690000000E+02
0.446272350000000E+02,-0.943068000000000E+02
0.446246230000000E+02,-0.943008170000000E+02
0.446238460000000E+02,-0.942971030000000E+02
0.446224280000000E+02,-0.942934540000000E+02
0.446194780000000E+02,-0.942904450000000E+02
0.446196800000000E+02,-0.942751670000000E+02
0.445795320000000E+02,-0.942748470000000E+02
0.445793740000000E+02,-0.942861280000000E+02
0.445445120000000E+02,-0.942867960000000E+02
0.445439600000000E+02,-0.942950740000000E+02
0.445432290000000E+02,-0.942950100000000E+02
0.445431570000000E+02,-0.942808160000000E+02
0.445382630000000E+02,-0.942808920000000E+02
0.445348110000000E+02,-0.942769850000000E+02
0.445333590000000E+02,-0.942706590000000E+02
0.444567040000000E+02,-0.942710290000000E+02
0.444567040000000E+02,-0.942710290000000E+02
0.444567780000000E+02,-0.943157230000000E+02
0.444567770000000E+02,-0.943239010000000E+02
0.444568220000000E+02,-0.943366310000000E+02
0.444857900000000E+02,-0.943368360000000E+02
0.444857540000000E+02,-0.943716810000000E+02
0.444887030000000E+02,-0.943724190000000E+02
0.444879530000000E+02,-0.943842920000000E+02
0.444856670000000E+02,-0.943847410000000E+02
0.444856700000000E+02,-0.943919550000000E+02
0.444965070000000E+02,-0.943920150000000E+02
0.444966720000000E+02,-0.944120440000000E+02
0.444712480000000E+02,-0.944120920000000E+02
0.444712950000000E+02,-0.944209290000000E+02
0.444725300000000E+02,-0.944270590000000E+02
0.444743140000000E+02,-0.944304120000000E+02
0.444747600000000E+02,-0.944323590000000E+02
0.444711580000000E+02,-0.944322960000000E+02
0.444709290000000E+02,-0.944523480000000E+02
0.444564560000000E+02,-0.944522790000000E+02
0.444564510000000E+02,-0.944724540000000E+02
0.444564510000000E+02,-0.944724540000000E+02
0.445288430000000E+02,-0.944730090000000E+02
0.445347030000000E+02,-0.944725750000000E+02
0.445337640000000E+02,-0.944920780000000E+02
0.445359450000000E+02,-0.944920640000000E+02
0.445359940000000E+02,-0.944860550000000E+02
0.445364750000000E+02,-0.944836260000000E+02
0.445423090000000E+02,-0.944721860000000E+02
0.445429970000000E+02,-0.944670400000000E+02
0.445865270000000E+02,-0.944672240000000E+02
0.445866670000000E+02,-0.944570830000000E+02
0.446227900000000E+02,-0.944574160000000E+02
0.446227920000000E+02,-0.944420830000000E+02
0.446299790000000E+02,-0.944413760000000E+02
0.446299790000000E+02,-0.944413760000000E+02
0.446304350000000E+02,-0.944220060000000E+02
END,END
