LAT,LON
0.476172210000000E+02,-0.955535440000000E+02
0.476161580000000E+02,-0.955569190000000E+02
0.476139190000000E+02,-0.955582040000000E+02
0.476133940000000E+02,-0.955598260000000E+02
0.476141930000000E+02,-0.955633050000000E+02
0.476159980000000E+02,-0.955678660000000E+02
0.476173680000000E+02,-0.955688130000000E+02
0.476187390000000E+02,-0.955656030000000E+02
0.476198130000000E+02,-0.955557370000000E+02
0.476196630000000E+02,-0.955535480000000E+02
0.476196630000000E+02,-0.955535480000000E+02
0.476172210000000E+02,-0.955535440000000E+02
END,END
0.474991840000000E+02,-0.957414700000000E+02
0.474991370000000E+02,-0.957511270000000E+02
0.475043490000000E+02,-0.957507910000000E+02
0.475072730000000E+02,-0.957435290000000E+02
0.475096250000000E+02,-0.957440710000000E+02
0.475147180000000E+02,-0.957469420000000E+02
0.475151290000000E+02,-0.957479200000000E+02
0.475157000000000E+02,-0.957477190000000E+02
0.475166140000000E+02,-0.957461350000000E+02
0.475170060000000E+02,-0.957399300000000E+02
0.475189260000000E+02,-0.957377740000000E+02
0.475190630000000E+02,-0.957369310000000E+02
0.475172140000000E+02,-0.957344680000000E+02
0.475162090000000E+02,-0.957339280000000E+02
0.475110690000000E+02,-0.957339910000000E+02
0.475081900000000E+02,-0.957354380000000E+02
0.475041680000000E+02,-0.957389750000000E+02
0.474991840000000E+02,-0.957414700000000E+02
END,END
0.474992010000000E+02,-0.957718270000000E+02
0.474992200000000E+02,-0.957759320000000E+02
0.474999590000000E+02,-0.957749510000000E+02
0.475021210000000E+02,-0.957748150000000E+02
0.475028060000000E+02,-0.957756910000000E+02
0.475047020000000E+02,-0.957760940000000E+02
0.475053870000000E+02,-0.957753850000000E+02
0.475059350000000E+02,-0.957731600000000E+02
0.475054090000000E+02,-0.957723180000000E+02
0.475016850000000E+02,-0.957700960000000E+02
0.474995760000000E+02,-0.957707780000000E+02
0.474992010000000E+02,-0.957718270000000E+02
END,END
0.473238270000000E+02,-0.955513490000000E+02
0.473087500000000E+02,-0.955513920000000E+02
0.473087500000000E+02,-0.955513920000000E+02
0.473104190000000E+02,-0.955546400000000E+02
0.473196030000000E+02,-0.955670690000000E+02
0.473207220000000E+02,-0.955672370000000E+02
0.473221610000000E+02,-0.955661620000000E+02
0.473246060000000E+02,-0.955629710000000E+02
0.473252390000000E+02,-0.955612240000000E+02
0.473252390000000E+02,-0.955612240000000E+02
0.473260000000000E+02,-0.955575280000000E+02
0.473238270000000E+02,-0.955513490000000E+02
END,END
0.472653480000000E+02,-0.956744500000000E+02
0.472655540000000E+02,-0.956765980000000E+02
0.472638630000000E+02,-0.956788800000000E+02
0.472637490000000E+02,-0.956798200000000E+02
0.472674500000000E+02,-0.956901890000000E+02
0.472684550000000E+02,-0.956912630000000E+02
0.472714020000000E+02,-0.956924050000000E+02
0.472742120000000E+02,-0.956921030000000E+02
0.472748970000000E+02,-0.956912640000000E+02
0.472748970000000E+02,-0.956912640000000E+02
0.472738240000000E+02,-0.956887800000000E+02
0.472730930000000E+02,-0.956844840000000E+02
0.472677240000000E+02,-0.956835110000000E+02
0.472672900000000E+02,-0.956839470000000E+02
0.472656910000000E+02,-0.956818330000000E+02
0.472649370000000E+02,-0.956797860000000E+02
0.472681486346680E+02,-0.956777597986328E+02
0.472706250000000E+02,-0.956773690000000E+02
0.472716760000000E+02,-0.956764630000000E+02
0.472722700000000E+02,-0.956748510000000E+02
0.472720640000000E+02,-0.956728710000000E+02
0.472706470000000E+02,-0.956716970000000E+02
0.472695050000000E+02,-0.956718320000000E+02
0.472689110000000E+02,-0.956729060000000E+02
0.472687970000000E+02,-0.956754560000000E+02
0.472670973464844E+02,-0.956764112457031E+02
0.472663300000000E+02,-0.956764970000000E+02
0.472653480000000E+02,-0.956744500000000E+02
END,END
0.472595080000000E+02,-0.956287480000000E+02
0.472569260000000E+02,-0.956278450000000E+02
0.472553500000000E+02,-0.956281480000000E+02
0.472531580000000E+02,-0.956291240000000E+02
0.472512850000000E+02,-0.956306700000000E+02
0.472512860000000E+02,-0.956329850000000E+02
0.472499590000000E+02,-0.956377710000000E+02
0.472484400000000E+02,-0.956392340000000E+02
0.472465230000000E+02,-0.956434630000000E+02
0.472459530000000E+02,-0.956490990000000E+02
0.472462510000000E+02,-0.956513460000000E+02
0.472495690000000E+02,-0.956573510000000E+02
0.472546540000000E+02,-0.956603950000000E+02
0.472570530000000E+02,-0.956599240000000E+02
0.472576460000000E+02,-0.956588150000000E+02
0.472599540000000E+02,-0.956586800000000E+02
0.472604340000000E+02,-0.956599210000000E+02
0.472604340000000E+02,-0.956599210000000E+02
0.472643160000000E+02,-0.956537110000000E+02
0.472662780000000E+02,-0.956475010000000E+02
0.472666420000000E+02,-0.956432390000000E+02
0.472658640000000E+02,-0.956399500000000E+02
0.472613140000000E+02,-0.956302220000000E+02
0.472604450000000E+02,-0.956291160000000E+02
0.472595080000000E+02,-0.956287480000000E+02
END,END
0.471313890000000E+02,-0.957721100000000E+02
0.471320960000000E+02,-0.957714410000000E+02
0.471348830000000E+02,-0.957715390000000E+02
0.471397040000000E+02,-0.957744480000000E+02
0.471475160000000E+02,-0.957731360000000E+02
0.471490240000000E+02,-0.957718290000000E+02
0.471506250000000E+02,-0.957679910000000E+02
0.471505650000000E+02,-0.957657200000000E+02
0.471481980000000E+02,-0.957629900000000E+02
0.471411840000000E+02,-0.957618580000000E+02
0.471397900000000E+02,-0.957610220000000E+02
0.471395610000000E+02,-0.957603860000000E+02
0.471390580000000E+02,-0.957576420000000E+02
0.471400370000000E+02,-0.957524510000000E+02
0.471422980000000E+02,-0.957514440000000E+02
0.471424820000000E+02,-0.957538880000000E+02
0.471460700000000E+02,-0.957554250000000E+02
0.471475310000000E+02,-0.957531130000000E+02
0.471478950000000E+02,-0.957510020000000E+02
0.471463850000000E+02,-0.957484830000000E+02
0.471383920000000E+02,-0.957431840000000E+02
0.471365870000000E+02,-0.957438180000000E+02
0.471362210000000E+02,-0.957451580000000E+02
0.471348720000000E+02,-0.957464620000000E+02
0.471331820000000E+02,-0.957468620000000E+02
0.471318340000000E+02,-0.957466260000000E+02
0.471307840000000E+02,-0.957453200000000E+02
0.471318140000000E+02,-0.957402650000000E+02
0.471315180000000E+02,-0.957382900000000E+02
0.471315180000000E+02,-0.957382900000000E+02
0.471301710000000E+02,-0.957361130000000E+02
0.471281390000000E+02,-0.957346380000000E+02
0.471261520000000E+02,-0.957343020000000E+02
0.471245760000000E+02,-0.957355120000000E+02
0.471238700000000E+02,-0.957378210000000E+02
0.471211510000000E+02,-0.957391240000000E+02
0.471178860000000E+02,-0.957344350000000E+02
0.471177960000000E+02,-0.957325280000000E+02
0.471167910000000E+02,-0.957311200000000E+02
0.471140720000000E+02,-0.957326910000000E+02
0.471141150000000E+02,-0.957389820000000E+02
0.471150730000000E+02,-0.957413930000000E+02
0.471114830000000E+02,-0.957487840000000E+02
0.471102510000000E+02,-0.957507830000000E+02
0.471092010000000E+02,-0.957512530000000E+02
0.471086300000000E+02,-0.957522580000000E+02
0.471050500000000E+02,-0.957666150000000E+02
0.471091420000000E+02,-0.957753110000000E+02
0.471105580000000E+02,-0.957749090000000E+02
0.471126360000000E+02,-0.957714280000000E+02
0.471126810000000E+02,-0.957699220000000E+02
0.471111720000000E+02,-0.957656400000000E+02
0.471096180000000E+02,-0.957639350000000E+02
0.471109640000000E+02,-0.957614910000000E+02
0.471158750000000E+02,-0.957597470000000E+02
0.471200100000000E+02,-0.957592400000000E+02
0.471208320000000E+02,-0.957595740000000E+02
0.471253380000000E+02,-0.957651540000000E+02
0.471255380000000E+02,-0.957680320000000E+02
0.471262010000000E+02,-0.957694710000000E+02
0.471289900000000E+02,-0.957725140000000E+02
0.471313890000000E+02,-0.957721100000000E+02
END,END
0.471200930000000E+02,-0.954592920000000E+02
0.471314980000000E+02,-0.954651870000000E+02
0.471406150000000E+02,-0.954613750000000E+02
0.471413230000000E+02,-0.954603700000000E+02
0.471409350000000E+02,-0.954582270000000E+02
0.471297870000000E+02,-0.954504230000000E+02
0.471282110000000E+02,-0.954520300000000E+02
0.471256520000000E+02,-0.954531670000000E+02
0.471256520000000E+02,-0.954531670000000E+02
0.471245840000000E+02,-0.954538750000000E+02
0.471187240000000E+02,-0.954539070000000E+02
0.471181060000000E+02,-0.954574210000000E+02
0.471183800000000E+02,-0.954593950000000E+02
0.471200930000000E+02,-0.954592920000000E+02
END,END
0.470589360000000E+02,-0.955364960000000E+02
0.470555750000000E+02,-0.955389080000000E+02
0.470550730000000E+02,-0.955425180000000E+02
0.470566950000000E+02,-0.955450250000000E+02
0.470598480000000E+02,-0.955474310000000E+02
0.470615620000000E+02,-0.955477980000000E+02
0.470628870000000E+02,-0.955468950000000E+02
0.470648280000000E+02,-0.955441520000000E+02
0.470667240000000E+02,-0.955394040000000E+02
0.470683690000000E+02,-0.955421780000000E+02
0.470669760000000E+02,-0.955448540000000E+02
0.470662460000000E+02,-0.955548850000000E+02
0.470664060000000E+02,-0.955561560000000E+02
0.470674790000000E+02,-0.955574600000000E+02
0.470723000000000E+02,-0.955547180000000E+02
0.470731680000000E+02,-0.955523250000000E+02
0.470747900000000E+02,-0.955506030000000E+02
0.470829000000000E+02,-0.955469560000000E+02
0.470848880000000E+02,-0.955472570000000E+02
0.470874240000000E+02,-0.955495980000000E+02
0.470899830000000E+02,-0.955494970000000E+02
0.470899830000000E+02,-0.955494970000000E+02
0.470907820000000E+02,-0.955476570000000E+02
0.470906440000000E+02,-0.955428070000000E+02
