LAT,LON
0.391748830000000E+02,-0.922463800000000E+02
0.391747930000000E+02,-0.922488660000000E+02
0.391758690000000E+02,-0.922488970000000E+02
0.391770830000000E+02,-0.922554870000000E+02
0.391749110000000E+02,-0.922604280000000E+02
0.391703350000000E+02,-0.922636360000000E+02
0.391697630000000E+02,-0.922646070000000E+02
0.391684150000000E+02,-0.922707820000000E+02
0.391688280000000E+02,-0.922724580000000E+02
0.391704070000000E+02,-0.922738390000000E+02
0.391705150000000E+02,-0.922743920000000E+02
0.391698580000000E+02,-0.922747510000000E+02
0.391678670000000E+02,-0.922744870000000E+02
0.391643190000000E+02,-0.922726960000000E+02
0.391630600000000E+02,-0.922713440000000E+02
0.391620290000000E+02,-0.922683460000000E+02
0.391568550000000E+02,-0.922652640000000E+02
0.391513840000000E+02,-0.922638860000000E+02
0.391297690000000E+02,-0.922645930000000E+02
0.391294130000000E+02,-0.922671630000000E+02
0.391302830000000E+02,-0.922674560000000E+02
0.391329850000000E+02,-0.922715100000000E+02
0.391375450000000E+02,-0.922896980000000E+02
0.391373390000000E+02,-0.922915200000000E+02
0.391361490000000E+02,-0.922918730000000E+02
0.391355090000000E+02,-0.922932250000000E+02
0.391382550000000E+02,-0.922973390000000E+02
0.391399030000000E+02,-0.922977790000000E+02
0.391487600000000E+02,-0.922974250000000E+02
0.391490820000000E+02,-0.923068300000000E+02
0.391464270000000E+02,-0.923124150000000E+02
0.391423990000000E+02,-0.923128850000000E+02
0.391419640000000E+02,-0.923182640000000E+02
0.391389420000000E+02,-0.923232590000000E+02
0.391375230000000E+02,-0.923244350000000E+02
0.391355550000000E+02,-0.923241110000000E+02
0.391365830000000E+02,-0.923320170000000E+02
0.391386890000000E+02,-0.923319580000000E+02
0.391387120000000E+02,-0.923330160000000E+02
0.391360570000000E+02,-0.923332510000000E+02
0.391360570000000E+02,-0.923332510000000E+02
0.391335850000000E+02,-0.923353080000000E+02
0.391326220000000E+02,-0.923408910000000E+02
0.391339930000000E+02,-0.923482680000000E+02
0.391332360000000E+02,-0.923546150000000E+02
0.391344010000000E+02,-0.923592590000000E+02
0.391331170000000E+02,-0.923649590000000E+02
0.391331170000000E+02,-0.923649590000000E+02
0.391340790000000E+02,-0.923633430000000E+02
