LAT,LON
0.339788035804871E+02,-0.909614499233629E+02
0.339782220000000E+02,-0.909579440000000E+02
0.339784050000000E+02,-0.909542050000000E+02
0.339773440000000E+02,-0.909494840000000E+02
0.339752460000000E+02,-0.909432940000000E+02
0.339738490000000E+02,-0.909419190000000E+02
0.339637510000000E+02,-0.909388690000000E+02
0.339566760000000E+02,-0.909395840000000E+02
0.339517300000000E+02,-0.909425790000000E+02
0.339453410000000E+02,-0.909494200000000E+02
0.339331340000000E+02,-0.909652420000000E+02
0.339314840000000E+02,-0.909698850000000E+02
0.339297410000000E+02,-0.909777680000000E+02
0.339296020000000E+02,-0.909845530000000E+02
0.339314540000000E+02,-0.909892510000000E+02
0.339310620000000E+02,-0.909956530000000E+02
0.339306950000000E+02,-0.909967510000000E+02
0.339279920000000E+02,-0.909992490000000E+02
0.339279920000000E+02,-0.909992490000000E+02
0.339288590000000E+02,-0.910016250000000E+02
0.339282805913900E+02,-0.910101912006839E+02
0.339282805913900E+02,-0.910101912006839E+02
0.339293520000000E+02,-0.910103180000000E+02
0.339322760000000E+02,-0.910129940000000E+02
0.339371270000000E+02,-0.910200970000000E+02
0.339437580000000E+02,-0.910359610000000E+02
0.339474060000000E+02,-0.910467250000000E+02
0.339540600000000E+02,-0.910784960000000E+02
0.339561790000000E+02,-0.910840950000000E+02
0.339582700000000E+02,-0.910867580000000E+02
0.339611018461352E+02,-0.910885491611652E+02
0.339613340000000E+02,-0.910886960000000E+02
0.339617513674724E+02,-0.910887935049063E+02
0.339653684121673E+02,-0.910896385147055E+02
0.339660040000000E+02,-0.910897870000000E+02
0.339664393369067E+02,-0.910897833692644E+02
0.339685512930634E+02,-0.910897657554251E+02
0.339697210000000E+02,-0.910897560000000E+02
0.339726530000000E+02,-0.910891190000000E+02
0.339753350000000E+02,-0.910879210000000E+02
0.339798650000000E+02,-0.910831870000000E+02
0.339821010000000E+02,-0.910792540000000E+02
0.339835860000000E+02,-0.910753780000000E+02
0.339844730000000E+02,-0.910712030000000E+02
0.339850830000000E+02,-0.910622640000000E+02
0.339850780000000E+02,-0.910483670000000E+02
0.339868110000000E+02,-0.910427510000000E+02
0.339892970000000E+02,-0.910395890000000E+02
0.339953230000000E+02,-0.910337650000000E+02
0.340031510000000E+02,-0.910188900000000E+02
0.339944950000000E+02,-0.910136100000000E+02
0.339770110000000E+02,-0.910049810000000E+02
0.339709020000000E+02,-0.910029860000000E+02
0.339664280000000E+02,-0.910001080000000E+02
0.339638633939711E+02,-0.909960387217934E+02
0.339631180000000E+02,-0.909948560000000E+02
0.339628259661538E+02,-0.909939512603035E+02
0.339614808196932E+02,-0.909897839097851E+02
0.339607930000000E+02,-0.909876530000000E+02
0.339601860000000E+02,-0.909833590000000E+02
0.339605030000000E+02,-0.909768640000000E+02
0.339618680000000E+02,-0.909708560000000E+02
0.339633240000000E+02,-0.909676320000000E+02
0.339654610000000E+02,-0.909651870000000E+02
0.339676880000000E+02,-0.909637200000000E+02
0.339751071698707E+02,-0.909615301044149E+02
0.339761510000000E+02,-0.909612220000000E+02
0.339780930531848E+02,-0.909613888712014E+02
0.339788035804871E+02,-0.909614499233629E+02
END,END
0.335294160000000E+02,-0.908627910000000E+02
0.335084420000000E+02,-0.908624310000000E+02
0.335072320000000E+02,-0.908635760000000E+02
0.335079370000000E+02,-0.908655740000000E+02
0.335078910000000E+02,-0.908670770000000E+02
0.335063780000000E+02,-0.908711210000000E+02
0.335016160000000E+02,-0.908678110000000E+02
0.335001150000000E+02,-0.908678480000000E+02
0.334800970000000E+02,-0.908742970000000E+02
0.334776310000000E+02,-0.908752390000000E+02
0.334800950000000E+02,-0.908796660000000E+02
0.334800950000000E+02,-0.908796660000000E+02
0.334877040000000E+02,-0.908922320000000E+02
0.334877040000000E+02,-0.908922320000000E+02
0.334881610000000E+02,-0.908917680000000E+02
0.334893980000000E+02,-0.908919850000000E+02
0.334936820000000E+02,-0.908955630000000E+02
0.334895020000000E+02,-0.908947950000000E+02
0.334909230000000E+02,-0.909013550000000E+02
0.334912240000000E+02,-0.909108170000000E+02
0.334907540000000E+02,-0.909120070000000E+02
0.334910100000000E+02,-0.909201070000000E+02
0.334913760000000E+02,-0.909207090000000E+02
0.334950630000000E+02,-0.909225930000000E+02
0.334969180000000E+02,-0.909230580000000E+02
0.334997210000000E+02,-0.909229200000000E+02
0.335033870000000E+02,-0.909197260000000E+02
0.335035230000000E+02,-0.909140680000000E+02
0.335043930000000E+02,-0.909131930000000E+02
0.335053550000000E+02,-0.909137130000000E+02
0.335062490000000E+02,-0.909159810000000E+02
0.335084020000000E+02,-0.909180310000000E+02
0.335172550000000E+02,-0.909204590000000E+02
0.335172890000000E+02,-0.909213600000000E+02
0.335172890000000E+02,-0.909213600000000E+02
0.335199890000000E+02,-0.909231130000000E+02
0.335235610000000E+02,-0.909234950000000E+02
0.335275000000000E+02,-0.909228930000000E+02
0.335302940000000E+02,-0.909206500000000E+02
0.335302940000000E+02,-0.909206500000000E+02
0.335304430000000E+02,-0.908844210000000E+02
0.335293900000000E+02,-0.908743630000000E+02
0.335294160000000E+02,-0.908627910000000E+02
END,END
0.333066120000000E+02,-0.908161980000000E+02
0.333065890000000E+02,-0.908272700000000E+02
0.332990780000000E+02,-0.908275420000000E+02
0.332987550000000E+02,-0.908431950000000E+02
0.332989820000000E+02,-0.908495760000000E+02
0.332994860000000E+02,-0.908506120000000E+02
0.333025310000000E+02,-0.908525220000000E+02
0.333054850000000E+02,-0.908528230000000E+02
0.333073850000000E+02,-0.908537520000000E+02
0.333073850000000E+02,-0.908537520000000E+02
0.333100420000000E+02,-0.908516530000000E+02
0.333115540000000E+02,-0.908521990000000E+02
0.333115790000000E+02,-0.908423800000000E+02
0.333148310000000E+02,-0.908421620000000E+02
