LAT,LON
0.349955589233667E+02,-0.882498935664670E+02
0.349925520000000E+02,-0.882445610000000E+02
0.349933110000000E+02,-0.882368810000000E+02
0.349943190000000E+02,-0.882359070000000E+02
0.349955799037734E+02,-0.882359685338316E+02
0.349955799037734E+02,-0.882359685338316E+02
0.349955816457760E+02,-0.882348123387133E+02
0.349955816457760E+02,-0.882348123387133E+02
0.349927620000000E+02,-0.882359340000000E+02
0.349888000000000E+02,-0.882347350000000E+02
0.349893750000000E+02,-0.882296710000000E+02
0.349925630000000E+02,-0.882135870000000E+02
0.349956201163066E+02,-0.882092788301235E+02
0.349956201163066E+02,-0.882092788301235E+02
0.349956340000000E+02,-0.882000640000000E+02
0.349956340000000E+02,-0.882000640000000E+02
0.349911920000000E+02,-0.881988110000000E+02
0.349749090000000E+02,-0.881874290000000E+02
0.349674660000000E+02,-0.881799730000000E+02
0.349625190000000E+02,-0.881761060000000E+02
0.349552130000000E+02,-0.881721020000000E+02
0.349334560000000E+02,-0.881615940000000E+02
0.349239062311830E+02,-0.881555718798774E+02
0.349223920000000E+02,-0.881546170000000E+02
0.349216510722514E+02,-0.881538516765260E+02
0.349143740000000E+02,-0.881463350000000E+02
0.349096310000000E+02,-0.881397210000000E+02
0.349075920000000E+02,-0.881366920000000E+02
0.349022270000000E+02,-0.881250380000000E+02
0.348940950000000E+02,-0.880999990000000E+02
0.348922020000000E+02,-0.880978880000000E+02
0.348922020000000E+02,-0.880978880000000E+02
0.348501662289683E+02,-0.881029339202400E+02
0.348501662289683E+02,-0.881029339202400E+02
0.348507230000000E+02,-0.881030210000000E+02
0.348623600000000E+02,-0.881137460000000E+02
0.348637340000000E+02,-0.881140530000000E+02
0.348646740000000E+02,-0.881113580000000E+02
0.348703780000000E+02,-0.881096110000000E+02
0.348726680000000E+02,-0.881095020000000E+02
0.348754670000000E+02,-0.881082780000000E+02
0.348824470000000E+02,-0.881026680000000E+02
0.348828820000000E+02,-0.881039190000000E+02
0.348830400000000E+02,-0.881090330000000E+02
0.348849440000000E+02,-0.881001950000000E+02
0.348856770000000E+02,-0.880993060000000E+02
0.348874180000000E+02,-0.880993070000000E+02
0.348887460000000E+02,-0.880999190000000E+02
0.348904160000000E+02,-0.881050060000000E+02
0.348912840000000E+02,-0.881115390000000E+02
0.348925650000000E+02,-0.881164870000000E+02
0.348962500000000E+02,-0.881263870000000E+02
0.349026680000000E+02,-0.881381410000000E+02
0.349160020000000E+02,-0.881520630000000E+02
0.349262640000000E+02,-0.881617630000000E+02
0.349253490000000E+02,-0.881645160000000E+02
0.349236770000000E+02,-0.881655730000000E+02
0.349182040000000E+02,-0.881657970000000E+02
0.349150200000000E+02,-0.881652970000000E+02
0.349126380000000E+02,-0.881643800000000E+02
0.349029050000000E+02,-0.881672740000000E+02
0.348935630000000E+02,-0.881727510000000E+02
0.348919600000000E+02,-0.881744470000000E+02
0.348920060000000E+02,-0.881751990000000E+02
0.348941590000000E+02,-0.881750580000000E+02
0.348956690000000E+02,-0.881766710000000E+02
0.349052420000000E+02,-0.881738060000000E+02
0.349101430000000E+02,-0.881730820000000E+02
0.349115400000000E+02,-0.881722480000000E+02
0.349137160000000E+02,-0.881723870000000E+02
0.349140820000000E+02,-0.881728590000000E+02
