LAT,LON
0.324440460000000E+02,-0.902008720000000E+02
0.324453740000000E+02,-0.901996080000000E+02
0.324467980000000E+02,-0.901943590000000E+02
0.324496620000000E+02,-0.901924870000000E+02
0.324531820000000E+02,-0.901924710000000E+02
0.324546060000000E+02,-0.901913830000000E+02
0.324548460000000E+02,-0.901748990000000E+02
0.324557420000000E+02,-0.901729350000000E+02
0.324581260000000E+02,-0.901699750000000E+02
0.324590540000000E+02,-0.901664550000000E+02
0.324586930000000E+02,-0.901634030000000E+02
0.324520720000000E+02,-0.901631460000000E+02
0.324516860000000E+02,-0.901568540000000E+02
0.324541620000000E+02,-0.901569160000000E+02
0.324541540000000E+02,-0.901556570000000E+02
0.324516260000000E+02,-0.901530290000000E+02
0.324501390000000E+02,-0.901521480000000E+02
0.324472710000000E+02,-0.901521060000000E+02
0.324399550000000E+02,-0.901479050000000E+02
0.324400140000000E+02,-0.901443740000000E+02
0.324506540000000E+02,-0.901447260000000E+02
0.324505740000000E+02,-0.901407900000000E+02
0.324579980000000E+02,-0.901408540000000E+02
0.324579180000000E+02,-0.901299420000000E+02
0.324545740000000E+02,-0.901255740000000E+02
0.324519180000000E+02,-0.901203420000000E+02
0.324382060000000E+02,-0.901270620000000E+02
0.324371020000000E+02,-0.901230780000000E+02
0.324375980000000E+02,-0.901210140000000E+02
0.324363980000000E+02,-0.901099730000000E+02
0.324270860000000E+02,-0.901049330000000E+02
0.324245740000000E+02,-0.900890290000000E+02
0.324286060000000E+02,-0.900768530000000E+02
0.324286060000000E+02,-0.900768530000000E+02
0.324278060000000E+02,-0.900763570000000E+02
0.324263180000000E+02,-0.900765330000000E+02
0.324235020000000E+02,-0.900816210000000E+02
0.324205260000000E+02,-0.900904370000000E+02
0.324204620000000E+02,-0.900939570000000E+02
0.324172790000000E+02,-0.900940530000000E+02
0.324157750000000E+02,-0.900925970000000E+02
0.323995430000000E+02,-0.900674840000000E+02
0.323995430000000E+02,-0.900674840000000E+02
0.323997430000000E+02,-0.901440860000000E+02
0.323997430000000E+02,-0.901440860000000E+02
0.323996430000000E+02,-0.901451860000000E+02
0.324035510000000E+02,-0.901452380000000E+02
0.324116950000000E+02,-0.901484380000000E+02
0.324124630000000E+02,-0.901491740000000E+02
0.324121110000000E+02,-0.901561350000000E+02
0.324104560000000E+02,-0.901624230000000E+02
0.324104560000000E+02,-0.901624230000000E+02
0.324004430000000E+02,-0.901763870000000E+02
0.324004430000000E+02,-0.901763870000000E+02
0.324003430000000E+02,-0.901805870000000E+02
0.324003430000000E+02,-0.901805870000000E+02
0.324003430000000E+02,-0.901922880000000E+02
0.324002510000000E+02,-0.901954820000000E+02
0.323999430000000E+02,-0.902434890000000E+02
0.324409580000000E+02,-0.902437850000000E+02
0.324401580000000E+02,-0.902405370000000E+02
0.324379980000000E+02,-0.902373210000000E+02
0.324346380000000E+02,-0.902264880000000E+02
0.324344780000000E+02,-0.902222480000000E+02
0.324357260000000E+02,-0.902194000000000E+02
0.324365900000000E+02,-0.902131120000000E+02
0.324365420000000E+02,-0.902046320000000E+02
0.324223350000000E+02,-0.902047120000000E+02
0.324219030000000E+02,-0.901996240000000E+02
0.324255340000000E+02,-0.901985200000000E+02
0.324346380000000E+02,-0.901985200000000E+02
0.324393420000000E+02,-0.902011600000000E+02
0.324440460000000E+02,-0.902008720000000E+02
END,END
