LAT,LON
0.468943050000000E+02,-0.111923722000000E+03
0.468909450000000E+02,-0.111920522000000E+03
0.468853210000000E+02,-0.111917524000000E+03
0.468837210000000E+02,-0.111917758000000E+03
0.468790120000000E+02,-0.111914026000000E+03
0.468778460000000E+02,-0.111913627000000E+03
0.468740730000000E+02,-0.111905431000000E+03
0.468718330000000E+02,-0.111903266000000E+03
0.468697750000000E+02,-0.111902068000000E+03
0.468678780000000E+02,-0.111902535000000E+03
0.468608400000000E+02,-0.111907438000000E+03
0.468577550000000E+02,-0.111907606000000E+03
0.468528870000000E+02,-0.111910607000000E+03
0.468510360000000E+02,-0.111911041000000E+03
0.468489330000000E+02,-0.111912375000000E+03
0.468478360000000E+02,-0.111913609000000E+03
0.468465110000000E+02,-0.111916574000000E+03
0.468439290000000E+02,-0.111919739000000E+03
0.468379630000000E+02,-0.111923971000000E+03
0.468356780000000E+02,-0.111926436000000E+03
0.468319290000000E+02,-0.111928535000000E+03
0.468301240000000E+02,-0.111932666000000E+03
0.468296210000000E+02,-0.111935263000000E+03
0.468288210000000E+02,-0.111935630000000E+03
0.468266960000000E+02,-0.111935497000000E+03
0.468253700000000E+02,-0.111936196000000E+03
0.468246610000000E+02,-0.111939426000000E+03
0.468224440000000E+02,-0.111941357000000E+03
0.468205930000000E+02,-0.111944353000000E+03
0.468144680000000E+02,-0.111940824000000E+03
0.468087080000000E+02,-0.111933499000000E+03
0.468047990000000E+02,-0.111924545000000E+03
0.468009120000000E+02,-0.111919853000000E+03
0.467987410000000E+02,-0.111919254000000E+03
0.467952670000000E+02,-0.111920521000000E+03
0.467936440000000E+02,-0.111919888000000E+03
0.467931410000000E+02,-0.111918524000000E+03
0.467927510000000E+02,-0.111913399000000E+03
0.467929780000000E+02,-0.111906144000000E+03
0.467920630000000E+02,-0.111903981000000E+03
0.467903490000000E+02,-0.111902484000000E+03
0.467864390000000E+02,-0.111901954000000E+03
0.467829640000000E+02,-0.111900659000000E+03
0.467800850000000E+02,-0.111901360000000E+03
0.467767480000000E+02,-0.111903092000000E+03
0.467759940000000E+02,-0.111902826000000E+03
0.467698420000000E+02,-0.111891953000000E+03
0.467671210000000E+02,-0.111891190000000E+03
0.467663210000000E+02,-0.111890092000000E+03
0.467657020000000E+02,-0.111885303000000E+03
0.467646720000000E+02,-0.111883109000000E+03
0.467629800000000E+02,-0.111882578000000E+03
0.467598040000000E+02,-0.111884078000000E+03
0.467591420000000E+02,-0.111884977000000E+03
0.467578160000000E+02,-0.111884978000000E+03
0.467550950000000E+02,-0.111883052000000E+03
0.467545000000000E+02,-0.111881789000000E+03
0.467479200000000E+02,-0.111879171000000E+03
0.467456550000000E+02,-0.111876185000000E+03
0.467421810000000E+02,-0.111873933000000E+03
0.467377470000000E+02,-0.111871834000000E+03
0.467374720000000E+02,-0.111872365000000E+03
0.467385690000000E+02,-0.111873430000000E+03
0.467346610000000E+02,-0.111871431000000E+03
0.467307780000000E+02,-0.111867738000000E+03
0.467302070000000E+02,-0.111865909000000E+03
0.467321260000000E+02,-0.111868736000000E+03
