LAT,LON
0.458357590000000E+02,-0.113984825000000E+03
0.458342670000000E+02,-0.113986850000000E+03
0.458353150000000E+02,-0.113993159000000E+03
0.458364560000000E+02,-0.113994631000000E+03
0.458391290000000E+02,-0.113995091000000E+03
0.458415730000000E+02,-0.113996467000000E+03
0.458435810000000E+02,-0.114000392000000E+03
0.458441090000000E+02,-0.114005585000000E+03
0.458474230000000E+02,-0.114007870000000E+03
0.458485440000000E+02,-0.114009895000000E+03
0.458493920000000E+02,-0.114016401000000E+03
0.458503520000000E+02,-0.114017937000000E+03
0.458549000000000E+02,-0.114020777000000E+03
0.458571300000000E+02,-0.114021275000000E+03
0.458587400000000E+02,-0.114024828000000E+03
0.458582150000000E+02,-0.114026333000000E+03
0.458533040000000E+02,-0.114030390000000E+03
0.458485990000000E+02,-0.114033924000000E+03
0.458462220000000E+02,-0.114035149000000E+03
0.458440390000000E+02,-0.114038368000000E+03
0.458438020000000E+02,-0.114040302000000E+03
0.458402850000000E+02,-0.114045174000000E+03
0.458333860000000E+02,-0.114053086000000E+03
0.458313760000000E+02,-0.114054099000000E+03
0.458303930000000E+02,-0.114054067000000E+03
0.458284740000000E+02,-0.114055996000000E+03
0.458255730000000E+02,-0.114062368000000E+03
0.458220090000000E+02,-0.114066519000000E+03
0.458196120000000E+02,-0.114067470000000E+03
0.458229690000000E+02,-0.114071944000000E+03
0.458317880000000E+02,-0.114075965000000E+03
0.458345280000000E+02,-0.114085411000000E+03
0.458343450000000E+02,-0.114089594000000E+03
0.458310980000000E+02,-0.114099005000000E+03
0.458303440000000E+02,-0.114098972000000E+03
0.458299350000000E+02,-0.114091815000000E+03
0.458262090000000E+02,-0.114099199000000E+03
0.458241980000000E+02,-0.114100276000000E+03
0.458242660000000E+02,-0.114100603000000E+03
0.458273960000000E+02,-0.114100441000000E+03
0.458315320000000E+02,-0.114099430000000E+03
0.458340690000000E+02,-0.114097536000000E+03
0.458386180000000E+02,-0.114084203000000E+03
0.458462720000000E+02,-0.114080020000000E+03
0.458563940000000E+02,-0.114075837000000E+03
0.458589760000000E+02,-0.114077930000000E+03
0.458590670000000E+02,-0.114081625000000E+03
0.458599110000000E+02,-0.114085222000000E+03
0.458641830000000E+02,-0.114089607000000E+03
0.458652570000000E+02,-0.114089999000000E+03
0.458679980000000E+02,-0.114093761000000E+03
0.458700300000000E+02,-0.114098668000000E+03
