LAT,LON
0.359964900000000E+02,-0.786503130000000E+02
0.359934010000000E+02,-0.786501850000000E+02
0.359902920000000E+02,-0.786557790000000E+02
0.359902390000000E+02,-0.786573390000000E+02
0.359940570000000E+02,-0.786598070000000E+02
0.359976050000000E+02,-0.786594240000000E+02
0.359995170000000E+02,-0.786640300000000E+02
0.360005030000000E+02,-0.786648000000000E+02
0.360019570000000E+02,-0.786646020000000E+02
0.360019570000000E+02,-0.786646020000000E+02
0.359988460000000E+02,-0.786569620000000E+02
0.359982130000000E+02,-0.786520590000000E+02
0.359964900000000E+02,-0.786503130000000E+02
END,END
0.359418660000000E+02,-0.785827540000000E+02
0.359367760000000E+02,-0.785880750000000E+02
0.359367760000000E+02,-0.785880750000000E+02
0.359349900000000E+02,-0.785892290000000E+02
0.359363770000000E+02,-0.785919520000000E+02
0.359360400000000E+02,-0.785951150000000E+02
0.359297280000000E+02,-0.785981780000000E+02
0.359284270000000E+02,-0.786070890000000E+02
0.359287010000000E+02,-0.786077770000000E+02
0.359295730000000E+02,-0.786076530000000E+02
0.359309810000000E+02,-0.786036790000000E+02
0.359332976917969E+02,-0.785997609404297E+02
0.359387380000000E+02,-0.785958840000000E+02
0.359411820000000E+02,-0.785952030000000E+02
0.359425220000000E+02,-0.785975180000000E+02
0.359451090000000E+02,-0.785987110000000E+02
0.359465340000000E+02,-0.785952720000000E+02
0.359459720000000E+02,-0.785929360000000E+02
0.359415660000000E+02,-0.785900350000000E+02
0.359414080000000E+02,-0.785871780000000E+02
0.359415340000000E+02,-0.785867790000000E+02
0.359496220000000E+02,-0.785837550000000E+02
0.359562620000000E+02,-0.785871950000000E+02
0.359568610000000E+02,-0.785921750000000E+02
0.359563030000000E+02,-0.786006640000000E+02
0.359548720000000E+02,-0.786006970000000E+02
0.359532360000000E+02,-0.785999780000000E+02
0.359520180000000E+02,-0.786004110000000E+02
0.359548030000000E+02,-0.786024930000000E+02
0.359566840000000E+02,-0.786029110000000E+02
0.359568150000000E+02,-0.786036040000000E+02
0.359546080000000E+02,-0.786097310000000E+02
0.359527010000000E+02,-0.786122300000000E+02
0.359487550000000E+02,-0.786120230000000E+02
0.359474190000000E+02,-0.786131080000000E+02
0.359462570000000E+02,-0.786155000000000E+02
0.359443880000000E+02,-0.786220170000000E+02
0.359471930000000E+02,-0.786206710000000E+02
0.359479170000000E+02,-0.786196570000000E+02
0.359478170000000E+02,-0.786180880000000E+02
0.359493540000000E+02,-0.786157240000000E+02
0.359568890000000E+02,-0.786085560000000E+02
0.359588410000000E+02,-0.786051040000000E+02
0.359597640000000E+02,-0.786047970000000E+02
0.359623200000000E+02,-0.786070430000000E+02
0.359625690000000E+02,-0.786082130000000E+02
0.359617340000000E+02,-0.786090920000000E+02
0.359615920000000E+02,-0.786108330000000E+02
0.359625750000000E+02,-0.786142460000000E+02
0.359646640000000E+02,-0.786177330000000E+02
0.359674420000000E+02,-0.786244700000000E+02
0.359684980000000E+02,-0.786282530000000E+02
0.359681720000000E+02,-0.786320160000000E+02
0.359616310000000E+02,-0.786405610000000E+02
0.359579508042969E+02,-0.786464795187500E+02
0.359574570042969E+02,-0.786504029187500E+02
0.359543990000000E+02,-0.786568500000000E+02
0.359551660000000E+02,-0.786569060000000E+02
0.359572320000000E+02,-0.786557220000000E+02
0.359581770000000E+02,-0.786545440000000E+02
0.359589500000000E+02,-0.786463260000000E+02
0.359599540000000E+02,-0.786443320000000E+02
0.359636060000000E+02,-0.786429690000000E+02
0.359657090000000E+02,-0.786405780000000E+02
0.359685220000000E+02,-0.786360740000000E+02
0.359699600000000E+02,-0.786355320000000E+02
