LAT,LON
0.358001760000000E+02,-0.774518270000000E+02
0.357948880000000E+02,-0.774545540000000E+02
0.357938100000000E+02,-0.774514370000000E+02
0.357939950000000E+02,-0.774470470000000E+02
0.357936540000000E+02,-0.774470220000000E+02
0.357856200000000E+02,-0.774510930000000E+02
0.357791420000000E+02,-0.774554180000000E+02
0.357777240000000E+02,-0.774428620000000E+02
0.357749320000000E+02,-0.774376100000000E+02
0.357699650000000E+02,-0.774349700000000E+02
0.357708800000000E+02,-0.774248310000000E+02
0.357615540000000E+02,-0.774246490000000E+02
0.357617210000000E+02,-0.774176260000000E+02
0.357586340000000E+02,-0.774174480000000E+02
0.357511710000000E+02,-0.774124230000000E+02
0.357474810000000E+02,-0.774125700000000E+02
0.357385310000000E+02,-0.774079400000000E+02
0.357432430000000E+02,-0.773967090000000E+02
0.357406100000000E+02,-0.773941560000000E+02
0.357402430000000E+02,-0.773889060000000E+02
0.357462150000000E+02,-0.773863200000000E+02
0.357523760000000E+02,-0.773858330000000E+02
0.357629700000000E+02,-0.773777660000000E+02
0.357661040000000E+02,-0.773663030000000E+02
0.357601770000000E+02,-0.773646140000000E+02
0.357601770000000E+02,-0.773646140000000E+02
0.357517770000000E+02,-0.773623900000000E+02
0.357517770000000E+02,-0.773623900000000E+02
0.357329410000000E+02,-0.773573580000000E+02
0.357192970000000E+02,-0.773617560000000E+02
0.357105280000000E+02,-0.773663520000000E+02
0.357089940000000E+02,-0.773667440000000E+02
0.357034090000000E+02,-0.773665990000000E+02
0.357018780000000E+02,-0.773626690000000E+02
0.356879640000000E+02,-0.773558420000000E+02
0.356916740000000E+02,-0.773493070000000E+02
0.356916740000000E+02,-0.773493070000000E+02
0.356874880000000E+02,-0.773411120000000E+02
0.356808290000000E+02,-0.773362550000000E+02
0.356759780000000E+02,-0.773320180000000E+02
0.356778780000000E+02,-0.773293530000000E+02
0.356816320000000E+02,-0.773278960000000E+02
0.356864620000000E+02,-0.773251750000000E+02
0.356893700000000E+02,-0.773193680000000E+02
0.356887630000000E+02,-0.773187370000000E+02
0.356864400000000E+02,-0.773208550000000E+02
0.356831440000000E+02,-0.773199560000000E+02
0.356788410000000E+02,-0.773135320000000E+02
0.356733700000000E+02,-0.773105300000000E+02
0.356670070000000E+02,-0.773096040000000E+02
