LAT,LON
0.487325810000000E+02,-0.993290490000000E+02
0.487327160000000E+02,-0.994165400000000E+02
0.487182750000000E+02,-0.994166490000000E+02
0.487183450000000E+02,-0.994497300000000E+02
0.487040870000000E+02,-0.994497950000000E+02
0.487041270000000E+02,-0.994716470000000E+02
0.486898030000000E+02,-0.994715840000000E+02
0.486897320000000E+02,-0.994931390000000E+02
0.486897320000000E+02,-0.994931390000000E+02
0.487183780000000E+02,-0.994931710000000E+02
0.487183390000000E+02,-0.995262850000000E+02
0.487183390000000E+02,-0.995262850000000E+02
0.488195080000000E+02,-0.995258990000000E+02
0.488195360000000E+02,-0.994604780000000E+02
0.488195360000000E+02,-0.994604780000000E+02
0.487762350000000E+02,-0.994603560000000E+02
0.487761000000000E+02,-0.994387150000000E+02
0.487761150000000E+02,-0.993946710000000E+02
0.488048360000000E+02,-0.993947800000000E+02
0.488050130000000E+02,-0.993727940000000E+02
0.488194770000000E+02,-0.993727410000000E+02
0.488194220000000E+02,-0.993290740000000E+02
0.488050960000000E+02,-0.993288290000000E+02
0.488050220000000E+02,-0.993507590000000E+02
0.487500050000000E+02,-0.993509280000000E+02
0.487471080000000E+02,-0.993508560000000E+02
0.487470910000000E+02,-0.993289150000000E+02
0.487325810000000E+02,-0.993290490000000E+02
END,END
