LAT,LON
0.489998770000000E+02,-0.104048736000000E+03
0.489995670000000E+02,-0.103992467000000E+03
0.489995800000000E+02,-0.103988925000000E+03
0.489995960762664E+02,-0.103985482669453E+03
0.489996040000000E+02,-0.103983786000000E+03
0.489996150000000E+02,-0.103982361000000E+03
0.489995810000000E+02,-0.103980868000000E+03
0.489996050000000E+02,-0.103976459000000E+03
0.489995250000000E+02,-0.103969479000000E+03
0.489995250000000E+02,-0.103969479000000E+03
0.489817410000000E+02,-0.103968891000000E+03
0.489816610000000E+02,-0.103962492000000E+03
0.489828500000000E+02,-0.103958119000000E+03
0.489809550000000E+02,-0.103949509000000E+03
0.489802920000000E+02,-0.103948294000000E+03
0.489791270000000E+02,-0.103947426000000E+03
0.489672240000000E+02,-0.103947320000000E+03
0.489673100000000E+02,-0.103969217000000E+03
0.489236730000000E+02,-0.103969399000000E+03
0.489239280000000E+02,-0.103947278000000E+03
0.489091680000000E+02,-0.103947276000000E+03
0.489087110000000E+02,-0.103925439000000E+03
0.489087110000000E+02,-0.103925439000000E+03
0.488513870000000E+02,-0.103925313000000E+03
0.488513090000000E+02,-0.103947205000000E+03
0.488397800000000E+02,-0.103946950000000E+03
0.488394600000000E+02,-0.103946189000000E+03
0.488399620000000E+02,-0.103945220000000E+03
0.488429780000000E+02,-0.103942832000000E+03
0.488426810000000E+02,-0.103941032000000E+03
0.488365580000000E+02,-0.103944043000000E+03
0.488363530000000E+02,-0.103944942000000E+03
0.488375180000000E+02,-0.103945842000000E+03
0.488378920000000E+02,-0.103947085000000E+03
0.488215690000000E+02,-0.103946938000000E+03
0.488077240000000E+02,-0.103944835000000E+03
0.488077890000000E+02,-0.103925456000000E+03
0.487863160000000E+02,-0.103925435000000E+03
0.487823180000000E+02,-0.103928134000000E+03
0.487811300000000E+02,-0.103927823000000E+03
0.487793240000000E+02,-0.103926370000000E+03
0.487767880000000E+02,-0.103925610000000E+03
0.487495760000000E+02,-0.103925580000000E+03
0.487494720000000E+02,-0.103997931000000E+03
0.487465920000000E+02,-0.104002078000000E+03
0.487458410000000E+02,-0.104008782000000E+03
0.487436270000000E+02,-0.104012964000000E+03
0.487208240000000E+02,-0.104012815000000E+03
0.487210395435761E+02,-0.104048196228333E+03
0.487210395435761E+02,-0.104048196228333E+03
0.487395216568420E+02,-0.104048298062455E+03
0.487412586297034E+02,-0.104048307632958E+03
0.487447319831291E+02,-0.104048326770699E+03
0.487471330000000E+02,-0.104048340000000E+03
0.487513560000000E+02,-0.104048548000000E+03
0.487656360000000E+02,-0.104048233000000E+03
0.487885520000000E+02,-0.104048537000000E+03
0.487970520000000E+02,-0.104048569000000E+03
0.488473870000000E+02,-0.104048900000000E+03
0.488652253159925E+02,-0.104048658875982E+03
0.488657340000000E+02,-0.104048652000000E+03
0.488658334487089E+02,-0.104048661476553E+03
0.488675390000000E+02,-0.104048824000000E+03
0.488740080000000E+02,-0.104048883000000E+03
0.488757390000000E+02,-0.104048893000000E+03
0.488798617308626E+02,-0.104048721466004E+03
0.488799210000000E+02,-0.104048719000000E+03
0.489026090000000E+02,-0.104048643000000E+03
0.489068580000000E+02,-0.104048746000000E+03
0.489121130000000E+02,-0.104048744000000E+03
0.489336360000000E+02,-0.104048807000000E+03
0.489403310000000E+02,-0.104048701000000E+03
0.489427083734705E+02,-0.104048756231909E+03
0.489433010000000E+02,-0.104048770000000E+03
0.489496300000000E+02,-0.104048872000000E+03
0.489518230000000E+02,-0.104048698000000E+03
0.489567654862412E+02,-0.104048631801825E+03
0.489571240000000E+02,-0.104048627000000E+03
0.489571400877259E+02,-0.104048628485946E+03
0.489589970000000E+02,-0.104048800000000E+03
0.489634238395524E+02,-0.104048572863730E+03
0.489637720000000E+02,-0.104048555000000E+03
0.489642742382042E+02,-0.104048565336211E+03
0.489667360000000E+02,-0.104048616000000E+03
0.489870070000000E+02,-0.104048478000000E+03
0.489998770000000E+02,-0.104048736000000E+03
END,END
