LAT,LON
0.419785784902500E+02,-0.961692622344321E+02
0.419786578437123E+02,-0.961690358239672E+02
0.419789960000000E+02,-0.961680710000000E+02
0.419801140000000E+02,-0.961606800000000E+02
0.419801173195883E+02,-0.961600821854471E+02
0.419801213135282E+02,-0.961593629289723E+02
0.419801213135282E+02,-0.961593629289723E+02
0.419795410000000E+02,-0.961546420000000E+02
0.419785110000000E+02,-0.961512420000000E+02
0.419756510000000E+02,-0.961453910000000E+02
0.419731120000000E+02,-0.961419620000000E+02
0.419689453142578E+02,-0.961386567621094E+02
0.419614720000000E+02,-0.961346200000000E+02
0.419566710000000E+02,-0.961335530000000E+02
0.419580190000000E+02,-0.961329080000000E+02
0.419675070000000E+02,-0.961334810000000E+02
0.419699310000000E+02,-0.961345510000000E+02
0.419719900000000E+02,-0.961372140000000E+02
0.419715320000000E+02,-0.961356830000000E+02
0.419689240000000E+02,-0.961326830000000E+02
0.419669580000000E+02,-0.961323180000000E+02
0.419642830000000E+02,-0.961329940000000E+02
0.419619730000000E+02,-0.961316490000000E+02
0.419632760000000E+02,-0.961301460000000E+02
0.419687056149259E+02,-0.961289636279963E+02
0.419687056149259E+02,-0.961289636279963E+02
0.419651360000000E+02,-0.961291860000000E+02
0.419557320000000E+02,-0.961333180000000E+02
0.419522230000000E+02,-0.961353930000000E+02
0.419459080000000E+02,-0.961425970000000E+02
0.419445120000000E+02,-0.961436030000000E+02
0.419415440000000E+02,-0.961445830000000E+02
0.419373870000000E+02,-0.961434930000000E+02
0.419271670000000E+02,-0.961366130000000E+02
0.419235300000000E+02,-0.961361330000000E+02
0.419208260000000E+02,-0.961367430000000E+02
0.419202436095147E+02,-0.961371679639699E+02
0.419168380000000E+02,-0.961396530000000E+02
0.419153790000000E+02,-0.961422650000000E+02
0.419124210000000E+02,-0.961543010000000E+02
0.419103556776316E+02,-0.961584919269886E+02
0.419100570000000E+02,-0.961590980000000E+02
0.419094060297702E+02,-0.961596377264349E+02
0.419086626301103E+02,-0.961602540871068E+02
0.419080440000000E+02,-0.961607670000000E+02
0.419055530000000E+02,-0.961619880000000E+02
0.419023244238624E+02,-0.961617873491390E+02
0.419018200000000E+02,-0.961617560000000E+02
0.419013857219510E+02,-0.961614240534474E+02
0.418971730000000E+02,-0.961582040000000E+02
0.418920850000000E+02,-0.961521790000000E+02
0.418881320000000E+02,-0.961488260000000E+02
0.418848110000000E+02,-0.961473500000000E+02
0.418775380000000E+02,-0.961467570000000E+02
0.418749880000000E+02,-0.961460830000000E+02
0.418718540000000E+02,-0.961444830000000E+02
0.418707688091314E+02,-0.961435978560262E+02
0.418695996286577E+02,-0.961426442053086E+02
0.418688650000000E+02,-0.961420450000000E+02
0.418678540122525E+02,-0.961408480976502E+02
0.418631280000000E+02,-0.961352530000000E+02
0.418617590449138E+02,-0.961325180414340E+02
0.418608090000000E+02,-0.961306200000000E+02
0.418585800000000E+02,-0.961232150000000E+02
0.418552342309212E+02,-0.961168922086906E+02
0.418548690000000E+02,-0.961162020000000E+02
0.418531020000000E+02,-0.961139620000000E+02
0.418488500000000E+02,-0.961102460000000E+02
0.418443970000000E+02,-0.961080290000000E+02
0.418403390000000E+02,-0.961079110000000E+02
0.418308180000000E+02,-0.961109070000000E+02
0.418281720000000E+02,-0.961108100000000E+02
0.418237350000000E+02,-0.961093470000000E+02
0.418233512420643E+02,-0.961091261819092E+02
0.418219243347456E+02,-0.961083051254028E+02
0.418206850000000E+02,-0.961075920000000E+02
0.418200107138020E+02,-0.961068587566896E+02
0.418183895282231E+02,-0.961050958205890E+02
0.418171510000000E+02,-0.961037490000000E+02
0.418167977704539E+02,-0.961030918371195E+02
0.418142060000000E+02,-0.960982700000000E+02
0.418127850000000E+02,-0.960938350000000E+02
0.418101440000000E+02,-0.960810260000000E+02
0.418078110000000E+02,-0.960755480000000E+02
0.418069078933567E+02,-0.960743123687349E+02
0.418046715207868E+02,-0.960712525619133E+02
0.418035090000000E+02,-0.960696620000000E+02
0.418032572232539E+02,-0.960694581141449E+02
0.418012091117781E+02,-0.960677995775003E+02
0.418006280000000E+02,-0.960673290000000E+02
0.418003689632996E+02,-0.960671846980637E+02
0.417962300000000E+02,-0.960648790000000E+02
0.417930020000000E+02,-0.960645370000000E+02
0.417918947969885E+02,-0.960650449757519E+02
0.417918947969885E+02,-0.960650449757519E+02
0.417930040000000E+02,-0.960657850000000E+02
0.417951530000000E+02,-0.960662740000000E+02
0.417952450000000E+02,-0.960653880000000E+02
0.417958620000000E+02,-0.960651440000000E+02
0.417978510000000E+02,-0.960675880000000E+02
0.418009140000000E+02,-0.960687180000000E+02
0.418073610000000E+02,-0.960752580000000E+02
0.418109260000000E+02,-0.960870540000000E+02
0.418114960000000E+02,-0.960918210000000E+02
0.418106500000000E+02,-0.960928590000000E+02
0.418104900000000E+02,-0.960939590000000E+02
0.418114260000000E+02,-0.960998270000000E+02
0.418134590000000E+02,-0.961052680000000E+02
0.418167720000000E+02,-0.961090900000000E+02
0.418203610000000E+02,-0.961114760000000E+02
0.418238130000000E+02,-0.961125180000000E+02
0.418199950000000E+02,-0.961107730000000E+02
0.418189670000000E+02,-0.961092440000000E+02
0.418160870000000E+02,-0.961079280000000E+02
0.418140990000000E+02,-0.961056660000000E+02
0.418140990000000E+02,-0.961049320000000E+02
0.418156300000000E+02,-0.961057580000000E+02
0.418140990000000E+02,-0.961044120000000E+02
0.418127280000000E+02,-0.961018440000000E+02
0.418113590000000E+02,-0.960950290000000E+02
0.418113130000000E+02,-0.960936240000000E+02
0.418117020000000E+02,-0.960933180000000E+02
0.418136210000000E+02,-0.960991560000000E+02
0.418164310000000E+02,-0.961046280000000E+02
0.418194930000000E+02,-0.961082360000000E+02
0.418224650000000E+02,-0.961103470000000E+02
0.418292310000000E+02,-0.961117880000000E+02
0.418339180000000E+02,-0.961112410000000E+02
0.418395880000000E+02,-0.961090440000000E+02
0.418448690000000E+02,-0.961092920000000E+02
0.418468350000000E+02,-0.961103020000000E+02
0.418502410000000E+02,-0.961130560000000E+02
0.418548790000000E+02,-0.961184410000000E+02
0.418606370000000E+02,-0.961320710000000E+02
0.418633830000000E+02,-0.961369310000000E+02
0.418668150000000E+02,-0.961411480000000E+02
0.418716630000000E+02,-0.961451210000000E+02
0.418749880000000E+02,-0.961469720000000E+02
0.418888480000000E+02,-0.961506540000000E+02
0.418934450000000E+02,-0.961557000000000E+02
0.418955260000000E+02,-0.961586670000000E+02
0.418978810000000E+02,-0.961607160000000E+02
0.419020900000000E+02,-0.961624640000000E+02
0.419020900000000E+02,-0.961624640000000E+02
0.419064090000000E+02,-0.961634970000000E+02
0.419081470000000E+02,-0.961634350000000E+02
0.419092210000000E+02,-0.961625160000000E+02
0.419125350000000E+02,-0.961567300000000E+02
0.419141320000000E+02,-0.961499960000000E+02
0.419179690000000E+02,-0.961406890000000E+02
