LAT,LON
0.420030280000000E+02,-0.103362989000000E+03
0.418302480000000E+02,-0.103361492000000E+03
0.418301050000000E+02,-0.103380988000000E+03
0.418019490000000E+02,-0.103381870000000E+03
0.418016240000000E+02,-0.103392001000000E+03
0.418009540000000E+02,-0.103398402666667E+03
0.417999440000000E+02,-0.103401680000000E+03
0.417999930000000E+02,-0.103411431000000E+03
0.417964480000000E+02,-0.103411555000000E+03
0.417964950000000E+02,-0.103421152000000E+03
0.417650910000000E+02,-0.103421589000000E+03
0.417645420000000E+02,-0.103421314000000E+03
0.417633060000000E+02,-0.103417587000000E+03
0.417618350000000E+02,-0.103417651000000E+03
0.417633070000000E+02,-0.103423117000000E+03
0.417643140000000E+02,-0.103424430000000E+03
0.417645200000000E+02,-0.103428311000000E+03
0.417621420000000E+02,-0.103444930000000E+03
0.417636970000000E+02,-0.103449299000000E+03
0.417653660000000E+02,-0.103452079000000E+03
0.417666470000000E+02,-0.103453088000000E+03
0.417784670000000E+02,-0.103474542000000E+03
0.417785970000000E+02,-0.103493427000000E+03
0.417839670000000E+02,-0.103501418000000E+03
0.417873080000000E+02,-0.103505021000000E+03
0.417879730000000E+02,-0.103507251000000E+03
0.417878620000000E+02,-0.103515595000000E+03
0.417899570000000E+02,-0.103519252000000E+03
0.417899570000000E+02,-0.103519252000000E+03
0.417924150000000E+02,-0.103519260000000E+03
0.417958290000000E+02,-0.103535335000000E+03
0.418011160000000E+02,-0.103547897000000E+03
0.418036780000000E+02,-0.103555294000000E+03
0.418077040000000E+02,-0.103559054000000E+03
0.418169220000000E+02,-0.103572935000000E+03
0.418179970000000E+02,-0.103577429000000E+03
0.418217020000000E+02,-0.103584983000000E+03
0.418260470000000E+02,-0.103589938000000E+03
0.418309760000000E+02,-0.103598857000000E+03
0.418336690000000E+02,-0.103595886000000E+03
0.418351970000000E+02,-0.103591991000000E+03
0.418351970000000E+02,-0.103591991000000E+03
0.418355350000000E+02,-0.103591130000000E+03
0.418253200000000E+02,-0.103558249000000E+03
0.418746410000000E+02,-0.103558128000000E+03
0.418744460000000E+02,-0.103538327000000E+03
0.419039020000000E+02,-0.103537829000000E+03
0.419065100000000E+02,-0.103540798000000E+03
0.419120680000000E+02,-0.103538040000000E+03
0.419138980000000E+02,-0.103538377000000E+03
0.419158420000000E+02,-0.103539693000000E+03
0.419162760000000E+02,-0.103535466000000E+03
0.419144680000000E+02,-0.103533507000000E+03
0.419108310000000E+02,-0.103532345000000E+03
0.419089090000000E+02,-0.103529193000000E+03
0.419093890000000E+02,-0.103527998000000E+03
0.419129340000000E+02,-0.103528027000000E+03
0.419170520000000E+02,-0.103528851000000E+03
0.419205060000000E+02,-0.103530411000000E+03
0.419218100000000E+02,-0.103531973000000E+03
0.419260410000000E+02,-0.103531878000000E+03
0.419273210000000E+02,-0.103530285000000E+03
0.419282820000000E+02,-0.103530254000000E+03
0.419314390000000E+02,-0.103533101000000E+03
0.419315320000000E+02,-0.103539135000000E+03
0.419465830000000E+02,-0.103538761000000E+03
0.419494420000000E+02,-0.103539067000000E+03
0.419528960000000E+02,-0.103540413000000E+03
0.419544520000000E+02,-0.103542527000000E+03
0.419590720000000E+02,-0.103542158000000E+03
0.419627090000000E+02,-0.103540471000000E+03
0.419642840000000E+02,-0.103538398000000E+03
0.419740260000000E+02,-0.103538204000000E+03
0.419742350000000E+02,-0.103535624000000E+03
0.419754700000000E+02,-0.103533968000000E+03
0.419809130000000E+02,-0.103531635000000E+03
0.419847100000000E+02,-0.103530897000000E+03
0.419869730000000E+02,-0.103527186000000E+03
0.419870640000000E+02,-0.103525775000000E+03
0.419932150000000E+02,-0.103521816000000E+03
0.419971840000000E+02,-0.103519707000000E+03
0.420037330000000E+02,-0.103519315000000E+03
0.420037330000000E+02,-0.103519315000000E+03
0.420037740000000E+02,-0.103514605000000E+03
0.420038240000000E+02,-0.103508910000000E+03
0.420040730000000E+02,-0.103479658000000E+03
0.420041060000000E+02,-0.103469365000000E+03
0.420041210000000E+02,-0.103464791000000E+03
0.420041350000000E+02,-0.103460448000000E+03
0.420040410000000E+02,-0.103420177000000E+03
0.420036580000000E+02,-0.103403323000000E+03
0.420036280000000E+02,-0.103401635000000E+03
0.420030280000000E+02,-0.103362989000000E+03
END,END
