LAT,LON
0.443492610000000E+02,-0.714375870000000E+02
0.442736050000000E+02,-0.714236140000000E+02
0.442703710000000E+02,-0.714407510000000E+02
0.442640960000000E+02,-0.714417120000000E+02
0.442604780000000E+02,-0.714390570000000E+02
0.442597510000000E+02,-0.714463770000000E+02
0.442582950000000E+02,-0.714458610000000E+02
0.442566030000000E+02,-0.714437300000000E+02
0.442560320000000E+02,-0.714437300000000E+02
0.442545350000000E+02,-0.714496010000000E+02
0.442569680000000E+02,-0.714515550000000E+02
0.442586820000000E+02,-0.714519690000000E+02
0.442651500000000E+02,-0.714588470000000E+02
0.442700500000000E+02,-0.714713590000000E+02
0.442695210000000E+02,-0.714716040000000E+02
0.442632070000000E+02,-0.714577590000000E+02
0.442609680000000E+02,-0.714564540000000E+02
0.442575390000000E+02,-0.714556890000000E+02
0.442547030000000E+02,-0.714521160000000E+02
0.442547030000000E+02,-0.714521160000000E+02
0.442544540000000E+02,-0.714535890000000E+02
0.442511020000000E+02,-0.714476740000000E+02
0.442600140000000E+02,-0.714696810000000E+02
0.442556640000000E+02,-0.715049050000000E+02
0.442556640000000E+02,-0.715049050000000E+02
0.442555700000000E+02,-0.715057520000000E+02
0.442629940000000E+02,-0.715073370000000E+02
0.442546990000000E+02,-0.715757520000000E+02
0.442634340000000E+02,-0.715777310000000E+02
0.442634340000000E+02,-0.715777310000000E+02
0.442718030000000E+02,-0.715796300000000E+02
0.442718030000000E+02,-0.715796300000000E+02
0.443047860000000E+02,-0.715871130000000E+02
0.443047860000000E+02,-0.715871130000000E+02
0.443469570000000E+02,-0.715963410000000E+02
0.443519980000000E+02,-0.715536030000000E+02
0.443486560000000E+02,-0.715524510000000E+02
0.443471260000000E+02,-0.715531240000000E+02
0.443422870000000E+02,-0.715575020000000E+02
0.443406640000000E+02,-0.715576660000000E+02
0.443328830000000E+02,-0.715511300000000E+02
0.443286750000000E+02,-0.715496780000000E+02
0.443225650000000E+02,-0.715445720000000E+02
0.443194310000000E+02,-0.715429900000000E+02
0.443213310000000E+02,-0.715370020000000E+02
0.443201640000000E+02,-0.715297750000000E+02
0.443206200000000E+02,-0.715262410000000E+02
0.443259230000000E+02,-0.715271930000000E+02
0.443288940000000E+02,-0.715283380000000E+02
0.443306310000000E+02,-0.715282100000000E+02
0.443405730000000E+02,-0.715257840000000E+02
0.443441600000000E+02,-0.715219600000000E+02
0.443441600000000E+02,-0.715219600000000E+02
0.443391260000000E+02,-0.715210910000000E+02
0.443412340000000E+02,-0.714995250000000E+02
0.443450280000000E+02,-0.714733030000000E+02
0.443492610000000E+02,-0.714375870000000E+02
END,END
0.442547030000000E+02,-0.714521160000000E+02
0.442551170000000E+02,-0.714514580000000E+02
0.442509350000000E+02,-0.714424890000000E+02
0.442460280000000E+02,-0.714335590000000E+02
0.442415950000000E+02,-0.714276140000000E+02
0.442372060000000E+02,-0.714233860000000E+02
0.442341430000000E+02,-0.714225910000000E+02
0.442263710000000E+02,-0.714178870000000E+02
0.442239930000000E+02,-0.714145820000000E+02
0.442195350000000E+02,-0.714105470000000E+02
0.442177520000000E+02,-0.714103890000000E+02
0.442175280000000E+02,-0.714111220000000E+02
0.442209010000000E+02,-0.714179020000000E+02
0.442304670000000E+02,-0.714250520000000E+02
0.442316770000000E+02,-0.714262320000000E+02
0.442330900000000E+02,-0.714287480000000E+02
0.442369260000000E+02,-0.714311770000000E+02
0.442404660000000E+02,-0.714323960000000E+02
0.442473110000000E+02,-0.714395410000000E+02
0.442509140000000E+02,-0.714439100000000E+02
0.442547030000000E+02,-0.714521160000000E+02
END,END
