LAT,LON
0.409196570000000E+02,-0.739267540000000E+02
0.409370220000000E+02,-0.739224810000000E+02
0.409401730000000E+02,-0.739199790000000E+02
0.409438040000000E+02,-0.739183460000000E+02
0.409488630000000E+02,-0.739180410000000E+02
0.409548820000000E+02,-0.739164230000000E+02
0.409618480000000E+02,-0.739138140000000E+02
0.409657920000000E+02,-0.739114340000000E+02
0.409668150000000E+02,-0.739103200000000E+02
0.409907620000000E+02,-0.739041700000000E+02
0.409928680000000E+02,-0.739026750000000E+02
0.409972970000000E+02,-0.739026800000000E+02
0.409972970000000E+02,-0.739026800000000E+02
0.409971970000000E+02,-0.738939790000000E+02
0.409971970000000E+02,-0.738939790000000E+02
0.409816970000000E+02,-0.738964790000000E+02
0.409514980000000E+02,-0.739072800000000E+02
0.409248980000000E+02,-0.739155800000000E+02
0.409194980000000E+02,-0.739176800000000E+02
0.409175770000000E+02,-0.739179050000000E+02
0.409175770000000E+02,-0.739179050000000E+02
0.409174770000000E+02,-0.739184050000000E+02
0.409134780000000E+02,-0.739197050000000E+02
0.408895780000000E+02,-0.739290060000000E+02
0.408820780000000E+02,-0.739334060000000E+02
0.408820780000000E+02,-0.739334060000000E+02
0.408746990000000E+02,-0.739380810000000E+02
0.408583990000000E+02,-0.739482810000000E+02
0.408583990000000E+02,-0.739482810000000E+02
0.408611990000000E+02,-0.739536820000000E+02
0.408611990000000E+02,-0.739536820000000E+02
0.408617990000000E+02,-0.739545820000000E+02
0.408617990000000E+02,-0.739545820000000E+02
0.408756800000000E+02,-0.739464200000000E+02
0.408816990000000E+02,-0.739440810000000E+02
0.408880990000000E+02,-0.739403810000000E+02
0.408995990000000E+02,-0.739348810000000E+02
0.409038990000000E+02,-0.739320810000000E+02
0.409152990000000E+02,-0.739276810000000E+02
0.409196570000000E+02,-0.739267540000000E+02
END,END
0.409775020000000E+02,-0.739937420000000E+02
0.409778610000000E+02,-0.739866460000000E+02
0.409769760000000E+02,-0.739841900000000E+02
0.409769760000000E+02,-0.739841900000000E+02
0.409764040000000E+02,-0.739839610000000E+02
0.409746340000000E+02,-0.739860050000000E+02
0.409742900000000E+02,-0.739882180000000E+02
0.409745420000000E+02,-0.739885080000000E+02
0.409752140000000E+02,-0.739881570000000E+02
0.409756560000000E+02,-0.739891490000000E+02
0.409741450000000E+02,-0.739932230000000E+02
0.409719480000000E+02,-0.739946720000000E+02
0.409705150000000E+02,-0.739939700000000E+02
0.409705150000000E+02,-0.739939700000000E+02
0.409696760000000E+02,-0.739935740000000E+02
0.409687450000000E+02,-0.740038740000000E+02
0.409671430000000E+02,-0.740080100000000E+02
0.409657470000000E+02,-0.740099930000000E+02
0.409639230000000E+02,-0.740111070000000E+02
0.409601540000000E+02,-0.740159290000000E+02
0.409579420000000E+02,-0.740197130000000E+02
0.409576980000000E+02,-0.740227830000000E+02
0.409576980000000E+02,-0.740227830000000E+02
0.409584980000000E+02,-0.740268830000000E+02
0.409562980000000E+02,-0.740280830000000E+02
0.409540980000000E+02,-0.740280830000000E+02
0.409539980000000E+02,-0.740288830000000E+02
0.409549980000000E+02,-0.740298830000000E+02
0.409618980000000E+02,-0.740288830000000E+02
0.409615980000000E+02,-0.740233830000000E+02
0.409646980000000E+02,-0.740218830000000E+02
0.409667980000000E+02,-0.740172830000000E+02
0.409677980000000E+02,-0.740162830000000E+02
0.409677980000000E+02,-0.740162830000000E+02
0.409683860000000E+02,-0.740143110000000E+02
0.409734440000000E+02,-0.740052780000000E+02
0.409751140000000E+02,-0.739970680000000E+02
0.409775020000000E+02,-0.739937420000000E+02
END,END
0.409138980000000E+02,-0.740292840000000E+02
0.409128980000000E+02,-0.740267840000000E+02
0.409097980000000E+02,-0.740245830000000E+02
0.409073990000000E+02,-0.740241830000000E+02
0.409025990000000E+02,-0.740278840000000E+02
0.409019990000000E+02,-0.740301840000000E+02
0.408956990000000E+02,-0.740306840000000E+02
0.408917990000000E+02,-0.740355840000000E+02
0.408889990000000E+02,-0.740363840000000E+02
0.408880990000000E+02,-0.740329840000000E+02
0.408867990000000E+02,-0.740323840000000E+02
0.408844310000000E+02,-0.740336250000000E+02
0.408844310000000E+02,-0.740336250000000E+02
0.408806990000000E+02,-0.740366840000000E+02
0.408791990000000E+02,-0.740390840000000E+02
0.408778990000000E+02,-0.740385840000000E+02
0.408774990000000E+02,-0.740352840000000E+02
0.408756990000000E+02,-0.740341840000000E+02
0.408691990000000E+02,-0.740352840000000E+02
0.408666990000000E+02,-0.740345840000000E+02
0.408666990000000E+02,-0.740345840000000E+02
0.408581990000000E+02,-0.740315840000000E+02
0.408555990000000E+02,-0.740287840000000E+02
0.408534990000000E+02,-0.740279840000000E+02
0.408478990000000E+02,-0.740292840000000E+02
0.408467990000000E+02,-0.740277840000000E+02
0.408467990000000E+02,-0.740277840000000E+02
0.408384000000000E+02,-0.740294840000000E+02
0.408330000000000E+02,-0.740281840000000E+02
0.408280000000000E+02,-0.740340840000000E+02
0.408258000000000E+02,-0.740336840000000E+02
0.408172000000000E+02,-0.740290840000000E+02
0.408148000000000E+02,-0.740287840000000E+02
0.408148000000000E+02,-0.740287840000000E+02
0.408128000000000E+02,-0.740286840000000E+02
0.408128000000000E+02,-0.740286840000000E+02
0.408129000000000E+02,-0.740320840000000E+02
0.408188000000000E+02,-0.740303840000000E+02
0.408230000000000E+02,-0.740340840000000E+02
0.408253000000000E+02,-0.740349840000000E+02
0.408260000000000E+02,-0.740368840000000E+02
0.408260000000000E+02,-0.740368840000000E+02
0.408292000000000E+02,-0.740367840000000E+02
0.408292000000000E+02,-0.740367840000000E+02
0.408324000000000E+02,-0.740307840000000E+02
0.408406000000000E+02,-0.740311840000000E+02
0.408528990000000E+02,-0.740291840000000E+02
0.408543990000000E+02,-0.740293840000000E+02
0.408586990000000E+02,-0.740333840000000E+02
0.408586990000000E+02,-0.740333840000000E+02
0.408678990000000E+02,-0.740366840000000E+02
0.408750990000000E+02,-0.740372840000000E+02
0.408777990000000E+02,-0.740401840000000E+02
0.408788990000000E+02,-0.740403840000000E+02
0.408826990000000E+02,-0.740364840000000E+02
0.408864990000000E+02,-0.740335840000000E+02
0.408871990000000E+02,-0.740368840000000E+02
0.408886990000000E+02,-0.740381840000000E+02
0.408926990000000E+02,-0.740362840000000E+02
0.408955990000000E+02,-0.740321840000000E+02
0.409010990000000E+02,-0.740322840000000E+02
0.409079990000000E+02,-0.740257840000000E+02
0.409097980000000E+02,-0.740252840000000E+02
0.409122980000000E+02,-0.740272840000000E+02
0.409130980000000E+02,-0.740297840000000E+02
0.409127980000000E+02,-0.740301840000000E+02
0.409127980000000E+02,-0.740301840000000E+02
0.409138980000000E+02,-0.740300840000000E+02
0.409138980000000E+02,-0.740300840000000E+02
0.409138980000000E+02,-0.740292840000000E+02
END,END
0.408788990000000E+02,-0.739921830000000E+02
0.408739990000000E+02,-0.739931830000000E+02
0.408739990000000E+02,-0.739931830000000E+02
0.408702990000000E+02,-0.739947830000000E+02
0.408652990000000E+02,-0.739992830000000E+02
0.408646990000000E+02,-0.739993830000000E+02
0.408646990000000E+02,-0.740019830000000E+02
0.408638990000000E+02,-0.740002830000000E+02
0.408621990000000E+02,-0.740017830000000E+02
0.408610990000000E+02,-0.740001830000000E+02
0.408575990000000E+02,-0.740039830000000E+02
0.408562990000000E+02,-0.740041830000000E+02
0.408565990000000E+02,-0.740010830000000E+02
0.408554990000000E+02,-0.740014830000000E+02
0.408554990000000E+02,-0.740014830000000E+02
0.408559990000000E+02,-0.740035830000000E+02
0.408556990000000E+02,-0.740041830000000E+02
0.408540990000000E+02,-0.740040830000000E+02
0.408536990000000E+02,-0.740044830000000E+02
0.408521990000000E+02,-0.740081830000000E+02
0.408460000000000E+02,-0.740099830000000E+02
0.408460000000000E+02,-0.740099830000000E+02
0.408397000000000E+02,-0.740111830000000E+02
0.408378000000000E+02,-0.740144830000000E+02
0.408388000000000E+02,-0.740195840000000E+02
0.408410000000000E+02,-0.740242840000000E+02
0.408468000000000E+02,-0.740272840000000E+02
0.408468000000000E+02,-0.740272840000000E+02
0.408471990000000E+02,-0.740273840000000E+02
0.408461000000000E+02,-0.740257840000000E+02
0.408431000000000E+02,-0.740246840000000E+02
0.408406000000000E+02,-0.740214840000000E+02
0.408393000000000E+02,-0.740167840000000E+02
0.408396000000000E+02,-0.740129830000000E+02
0.408443000000000E+02,-0.740114830000000E+02
0.408466000000000E+02,-0.740117830000000E+02
0.408503990000000E+02,-0.740113830000000E+02
0.408533990000000E+02,-0.740098830000000E+02
0.408556990000000E+02,-0.740078830000000E+02
0.408607990000000E+02,-0.740069830000000E+02
0.408607990000000E+02,-0.740069830000000E+02
0.408626990000000E+02,-0.740063830000000E+02
0.408652990000000E+02,-0.740067830000000E+02
0.408668990000000E+02,-0.739991830000000E+02
0.408711990000000E+02,-0.739949830000000E+02
0.408736990000000E+02,-0.739939830000000E+02
0.408766990000000E+02,-0.739937830000000E+02
0.408788990000000E+02,-0.739921830000000E+02
END,END
