LAT,LON
0.396813930000000E+02,-0.753897480000000E+02
0.397057450000000E+02,-0.753670910000000E+02
0.397057450000000E+02,-0.753670910000000E+02
0.397130100000000E+02,-0.753602430000000E+02
0.397116010000000E+02,-0.753551220000000E+02
0.397118730000000E+02,-0.753533140000000E+02
0.397104810000000E+02,-0.753489460000000E+02
0.397091370000000E+02,-0.753481140000000E+02
0.397076490000000E+02,-0.753481460000000E+02
0.397062250000000E+02,-0.753475380000000E+02
0.397057130000000E+02,-0.753464020000000E+02
0.397063050000000E+02,-0.753455700000000E+02
0.397051850000000E+02,-0.753398740000000E+02
0.397038410000000E+02,-0.753359850000000E+02
0.397018730000000E+02,-0.753352970000000E+02
0.396924330000000E+02,-0.753268650000000E+02
0.396905290000000E+02,-0.753230730000000E+02
0.396910890000000E+02,-0.753222090000000E+02
0.396913450000000E+02,-0.753149610000000E+02
0.396883370000000E+02,-0.753021920000000E+02
0.396857610000000E+02,-0.752948800000000E+02
0.396814890000000E+02,-0.752880150000000E+02
0.396801770000000E+02,-0.752870070000000E+02
0.396801770000000E+02,-0.752870070000000E+02
0.396795050000000E+02,-0.752855830000000E+02
0.396820970000000E+02,-0.752663980000000E+02
0.396796030000000E+02,-0.752579500000000E+02
0.396789610000000E+02,-0.752539660000000E+02
0.396769290000000E+02,-0.752516300000000E+02
0.396731370000000E+02,-0.752504780000000E+02
0.396690250000000E+02,-0.752508460000000E+02
0.396659220000000E+02,-0.752487600000000E+02
0.396659220000000E+02,-0.752487600000000E+02
0.396646400000000E+02,-0.752479210000000E+02
0.396614900000000E+02,-0.752341710000000E+02
0.396622990000000E+02,-0.752310890000000E+02
0.396622990000000E+02,-0.752310890000000E+02
0.396618260000000E+02,-0.752306620000000E+02
0.396546320000000E+02,-0.752350260000000E+02
0.396502680000000E+02,-0.752389170000000E+02
0.396523660000000E+02,-0.752463490000000E+02
0.396316340000000E+02,-0.752605430000000E+02
0.396316340000000E+02,-0.752605430000000E+02
0.396333170000000E+02,-0.752641130000000E+02
0.396224800000000E+02,-0.752697100000000E+02
0.396182830000000E+02,-0.752662940000000E+02
0.396169790000000E+02,-0.752680120000000E+02
0.396150720000000E+02,-0.752735320000000E+02
0.395891870000000E+02,-0.752868150000000E+02
0.395912820000000E+02,-0.752901000000000E+02
0.395910920000000E+02,-0.752959520000000E+02
0.395769790000000E+02,-0.752901300000000E+02
0.395761560000000E+02,-0.752926150000000E+02
0.395756300000000E+02,-0.753013690000000E+02
0.395757910000000E+02,-0.753022270000000E+02
0.395788810000000E+02,-0.753059830000000E+02
0.395787050000000E+02,-0.753093840000000E+02
0.395714650000000E+02,-0.753158010000000E+02
0.395697360000000E+02,-0.753163630000000E+02
0.395685510000000E+02,-0.753141120000000E+02
0.395630880000000E+02,-0.753207390000000E+02
0.395616240000000E+02,-0.753215670000000E+02
0.395597930000000E+02,-0.753212120000000E+02
0.395592660000000E+02,-0.753215370000000E+02
0.395581660000000E+02,-0.753251440000000E+02
0.395581660000000E+02,-0.753251440000000E+02
0.395579350000000E+02,-0.753380950000000E+02
0.395588730000000E+02,-0.753398390000000E+02
0.395597640000000E+02,-0.753399440000000E+02
0.395614550000000E+02,-0.753542390000000E+02
0.395614550000000E+02,-0.753542390000000E+02
0.395630800000000E+02,-0.753545660000000E+02
0.395627330000000E+02,-0.753635250000000E+02
0.395627330000000E+02,-0.753635250000000E+02
0.395670350000000E+02,-0.753655990000000E+02
0.395820010000000E+02,-0.753746370000000E+02
0.395842410000000E+02,-0.753764370000000E+02
0.395839530000000E+02,-0.753778130000000E+02
0.395844330000000E+02,-0.753791250000000E+02
0.395858730000000E+02,-0.753821650000000E+02
0.395869610000000E+02,-0.753829330000000E+02
0.395930470000000E+02,-0.753721700000000E+02
0.395954570000000E+02,-0.753754770000000E+02
0.396006890000000E+02,-0.753785010000000E+02
0.396016810000000E+02,-0.753769970000000E+02
0.396023380000000E+02,-0.753746370000000E+02
0.396029880000000E+02,-0.753697680000000E+02
0.396084570000000E+02,-0.753711040000000E+02
0.396151170000000E+02,-0.753707540000000E+02
0.396138190000000E+02,-0.753561950000000E+02
0.396170920000000E+02,-0.753556940000000E+02
0.396251130000000E+02,-0.753659890000000E+02
0.396282410000000E+02,-0.753692200000000E+02
0.396316650000000E+02,-0.753746600000000E+02
0.396365610000000E+02,-0.753828370000000E+02
0.396377770000000E+02,-0.753901970000000E+02
0.396430250000000E+02,-0.753828530000000E+02
0.396460650000000E+02,-0.753883730000000E+02
0.396548650000000E+02,-0.754147420000000E+02
0.396605450000000E+02,-0.754097340000000E+02
0.396605450000000E+02,-0.754097340000000E+02
0.396585770000000E+02,-0.754065500000000E+02
0.396564170000000E+02,-0.753995250000000E+02
0.396568810000000E+02,-0.753933330000000E+02
0.396581610000000E+02,-0.753915090000000E+02
0.396572490000000E+02,-0.753966770000000E+02
0.396575370000000E+02,-0.754016530000000E+02
0.396588170000000E+02,-0.754064220000000E+02
0.396609130000000E+02,-0.754093820000000E+02
0.396609130000000E+02,-0.754093820000000E+02
0.396813930000000E+02,-0.753897480000000E+02
END,END
