LAT,LON
0.400365820000000E+02,-0.745286040000000E+02
0.400373340000000E+02,-0.744956160000000E+02
0.400412520000000E+02,-0.744914310000000E+02
0.400517850000000E+02,-0.744616410000000E+02
0.400504650000000E+02,-0.744582930000000E+02
0.400476880000000E+02,-0.744552810000000E+02
0.400496940000000E+02,-0.744432160000000E+02
0.400447480000000E+02,-0.744412560000000E+02
0.400440010000000E+02,-0.744418100000000E+02
0.400345070000000E+02,-0.744363530000000E+02
0.400338070000000E+02,-0.744349720000000E+02
0.400338070000000E+02,-0.744349720000000E+02
0.400068390000000E+02,-0.744258760000000E+02
0.400002460000000E+02,-0.744211550000000E+02
0.399993530000000E+02,-0.744234830000000E+02
0.399863440000000E+02,-0.744189510000000E+02
0.399877710000000E+02,-0.744120540000000E+02
0.399766400000000E+02,-0.744039960000000E+02
0.399766400000000E+02,-0.744039960000000E+02
0.399774330000000E+02,-0.744072770000000E+02
0.399765410000000E+02,-0.744104350000000E+02
0.399716430000000E+02,-0.744128920000000E+02
0.399704600000000E+02,-0.744129840000000E+02
0.399692010000000E+02,-0.744129530000000E+02
0.399447870000000E+02,-0.744045150000000E+02
0.399482740000000E+02,-0.743926590000000E+02
0.399480450000000E+02,-0.743921100000000E+02
0.399386690000000E+02,-0.743894990000000E+02
0.399328020000000E+02,-0.743947480000000E+02
0.399105700000000E+02,-0.744182170000000E+02
0.399109140000000E+02,-0.744193310000000E+02
0.399116230000000E+02,-0.744196970000000E+02
0.399080600000000E+02,-0.744259990000000E+02
0.399046880000000E+02,-0.744270520000000E+02
0.399030630000000E+02,-0.744266860000000E+02
0.399021090000000E+02,-0.744252520000000E+02
0.399012550000000E+02,-0.744217570000000E+02
0.399010950000000E+02,-0.744145710000000E+02
0.398999350000000E+02,-0.744093830000000E+02
0.398926950000000E+02,-0.743879430000000E+02
0.399248170000000E+02,-0.743478910000000E+02
0.399248170000000E+02,-0.743478910000000E+02
0.399018170000000E+02,-0.743219900000000E+02
0.398988170000000E+02,-0.743262900000000E+02
0.398947700000000E+02,-0.743273180000000E+02
0.398942520000000E+02,-0.743239460000000E+02
0.398958170000000E+02,-0.743193890000000E+02
0.398937180000000E+02,-0.743151890000000E+02
0.398917180000000E+02,-0.743148890000000E+02
0.398899340000000E+02,-0.743155530000000E+02
0.398886180000000E+02,-0.743149890000000E+02
0.398870180000000E+02,-0.743070890000000E+02
0.398751180000000E+02,-0.742975880000000E+02
0.398063110000000E+02,-0.742332520000000E+02
0.398040890000000E+02,-0.742316870000000E+02
0.398040890000000E+02,-0.742316870000000E+02
0.398031060000000E+02,-0.742350900000000E+02
0.398036550000000E+02,-0.742370780000000E+02
0.398031030000000E+02,-0.742423300000000E+02
0.398014540000000E+02,-0.742456520000000E+02
0.397988660000000E+02,-0.742486750000000E+02
0.397983700000000E+02,-0.742504130000000E+02
0.398286070000000E+02,-0.743312330000000E+02
0.398281250000000E+02,-0.743420370000000E+02
0.398272090000000E+02,-0.743425710000000E+02
0.398272090000000E+02,-0.743425710000000E+02
0.398280560000000E+02,-0.743431350000000E+02
0.398231030000000E+02,-0.744171560000000E+02
0.398231030000000E+02,-0.744171560000000E+02
0.398751170000000E+02,-0.744459480000000E+02
0.399223260000000E+02,-0.744706790000000E+02
0.399223260000000E+02,-0.744706790000000E+02
0.399912190000000E+02,-0.745065850000000E+02
0.399912190000000E+02,-0.745065850000000E+02
0.399996050000000E+02,-0.745109560000000E+02
0.400074530000000E+02,-0.745147940000000E+02
0.400365820000000E+02,-0.745286040000000E+02
END,END
