LAT,LON
0.351740440000000E+02,-0.106560380000000E+03
0.351742440000000E+02,-0.106534110000000E+03
0.351594780000000E+02,-0.106534104000000E+03
0.351594780000000E+02,-0.106534104000000E+03
0.351595440000000E+02,-0.106559779000000E+03
0.351553440000000E+02,-0.106561479000000E+03
0.351519440000000E+02,-0.106560879000000E+03
0.351507700000000E+02,-0.106559026000000E+03
0.351512740000000E+02,-0.106557705000000E+03
0.351521440000000E+02,-0.106557679000000E+03
0.351519440000000E+02,-0.106553379000000E+03
0.351485440000000E+02,-0.106554079000000E+03
0.351460450000000E+02,-0.106553779000000E+03
0.351417710000000E+02,-0.106551657000000E+03
0.351283450000000E+02,-0.106551079000000E+03
0.351283450000000E+02,-0.106551079000000E+03
0.351269450000000E+02,-0.106563079000000E+03
0.351281450000000E+02,-0.106564179000000E+03
0.351298450000000E+02,-0.106564179000000E+03
0.351299450000000E+02,-0.106582380000000E+03
0.351284450000000E+02,-0.106582680000000E+03
0.351258450000000E+02,-0.106585380000000E+03
0.351255450000000E+02,-0.106586680000000E+03
0.351309450000000E+02,-0.106586580000000E+03
0.351309450000000E+02,-0.106591780000000E+03
0.351298450000000E+02,-0.106599780000000E+03
0.351292450000000E+02,-0.106602980000000E+03
0.351284450000000E+02,-0.106604180000000E+03
0.351284450000000E+02,-0.106604180000000E+03
0.351309450000000E+02,-0.106604280000000E+03
0.351316450000000E+02,-0.106608380000000E+03
0.351324450000000E+02,-0.106609380000000E+03
0.351361270000000E+02,-0.106605570000000E+03
0.351519420000000E+02,-0.106604970000000E+03
0.351519420000000E+02,-0.106604970000000E+03
0.351745430000000E+02,-0.106605080000000E+03
0.351743430000000E+02,-0.106593680000000E+03
0.351732380000000E+02,-0.106588626000000E+03
0.351741430000000E+02,-0.106584180000000E+03
0.351740440000000E+02,-0.106560380000000E+03
END,END
