LAT,LON
0.358409750000000E+02,-0.103374865000000E+03
0.357400110000000E+02,-0.103374988000000E+03
0.357400110000000E+02,-0.103374988000000E+03
0.356984710000000E+02,-0.103374951000000E+03
0.356812020000000E+02,-0.103374681000000E+03
0.356524490000000E+02,-0.103375294000000E+03
0.356524710000000E+02,-0.103379320000000E+03
0.355809510000000E+02,-0.103379347000000E+03
0.355647510000000E+02,-0.103379475000000E+03
0.355204410000000E+02,-0.103379979000000E+03
0.355204410000000E+02,-0.103379979000000E+03
0.354947370000000E+02,-0.103379235000000E+03
0.354698440000000E+02,-0.103379426000000E+03
0.353979870000000E+02,-0.103379941000000E+03
0.353899660000000E+02,-0.103390311000000E+03
0.353895950000000E+02,-0.103450486000000E+03
0.353898460000000E+02,-0.103521699000000E+03
0.353897770000000E+02,-0.103555329000000E+03
0.353897220000000E+02,-0.103637147000000E+03
0.353375330000000E+02,-0.103637054000000E+03
0.353375330000000E+02,-0.103637054000000E+03
0.352408810000000E+02,-0.103637058000000E+03
0.352416000000000E+02,-0.103750523000000E+03
0.352413640000000E+02,-0.103841957000000E+03
0.352421990000000E+02,-0.103857529000000E+03
0.352640860000000E+02,-0.103857693000000E+03
0.352500530000000E+02,-0.103889935000000E+03
0.351992920000000E+02,-0.104000527000000E+03
0.351615910000000E+02,-0.104081399000000E+03
0.351421830000000E+02,-0.104124841000000E+03
0.351421830000000E+02,-0.104124841000000E+03
0.352156000000000E+02,-0.104124816000000E+03
0.352158870000000E+02,-0.104249218000000E+03
0.352158870000000E+02,-0.104249218000000E+03
0.352369780000000E+02,-0.104249134000000E+03
0.352431620000000E+02,-0.104246095000000E+03
0.352446510000000E+02,-0.104245873000000E+03
0.352528010000000E+02,-0.104246523000000E+03
0.352599200000000E+02,-0.104249180000000E+03
0.352775340000000E+02,-0.104248775000000E+03
0.352796410000000E+02,-0.104248078000000E+03
0.352814970000000E+02,-0.104246655000000E+03
0.352841100000000E+02,-0.104242020000000E+03
0.352852560000000E+02,-0.104240820000000E+03
0.352934110000000E+02,-0.104236077000000E+03
0.352953810000000E+02,-0.104235436000000E+03
0.353043130000000E+02,-0.104235301000000E+03
0.353163150000000E+02,-0.104231033000000E+03
0.353163150000000E+02,-0.104231033000000E+03
0.353181480000000E+02,-0.104229329000000E+03
0.353281390000000E+02,-0.104203149000000E+03
0.353291010000000E+02,-0.104198510000000E+03
0.353296970000000E+02,-0.104192754000000E+03
0.353297430000000E+02,-0.104183308000000E+03
0.353272680000000E+02,-0.104173165000000E+03
0.353271300000000E+02,-0.104166262000000E+03
0.353276990000000E+02,-0.104152708000000E+03
0.353297560000000E+02,-0.104135024000000E+03
0.353295110000000E+02,-0.104133544000000E+03
0.353329680000000E+02,-0.104125530000000E+03
0.353431040000000E+02,-0.104132885000000E+03
0.353448010000000E+02,-0.104137132000000E+03
0.353471820000000E+02,-0.104136348000000E+03
0.353490590000000E+02,-0.104134893000000E+03
0.353248600000000E+02,-0.104026423000000E+03
0.353237810000000E+02,-0.104019550000000E+03
0.353240270000000E+02,-0.104006361000000E+03
0.353268660000000E+02,-0.104004541000000E+03
0.353280130000000E+02,-0.103995926000000E+03
0.353334410000000E+02,-0.103994113000000E+03
0.353345650000000E+02,-0.103990984000000E+03
0.353349100000000E+02,-0.103986401000000E+03
0.353368590000000E+02,-0.103981204000000E+03
0.353415540000000E+02,-0.103975645000000E+03
0.353463640000000E+02,-0.103973830000000E+03
0.353541960000000E+02,-0.103973637000000E+03
0.353710890000000E+02,-0.103995284000000E+03
0.353780980000000E+02,-0.104002240000000E+03
0.353827930000000E+02,-0.104001650000000E+03
0.353873550000000E+02,-0.103992166000000E+03
0.353895340000000E+02,-0.103984869000000E+03
0.353913890000000E+02,-0.103984170000000E+03
0.353957160000000E+02,-0.103986354000000E+03
0.354071170000000E+02,-0.103995004000000E+03
0.354117630000000E+02,-0.104000132000000E+03
0.354153600000000E+02,-0.104006800000000E+03
0.354195800000000E+02,-0.104022072000000E+03
0.354216640000000E+02,-0.104024114000000E+03
0.354245040000000E+02,-0.104025343000000E+03
0.354272990000000E+02,-0.104027244000000E+03
0.354314450000000E+02,-0.104031411000000E+03
0.354376760000000E+02,-0.104035970000000E+03
0.354470650000000E+02,-0.104041368000000E+03
0.354494010000000E+02,-0.104039912000000E+03
