LAT,LON
0.361588700000000E+02,-0.115153633000000E+03
0.361586710000000E+02,-0.115094632000000E+03
0.361604710000000E+02,-0.115094832000000E+03
0.361604710000000E+02,-0.115094832000000E+03
0.361586710000000E+02,-0.115093532000000E+03
0.361588710000000E+02,-0.115080132000000E+03
0.361608710000000E+02,-0.115080232000000E+03
0.361609710000000E+02,-0.115077432000000E+03
0.361608720000000E+02,-0.115075432000000E+03
0.361588720000000E+02,-0.115067532000000E+03
0.361589720000000E+02,-0.115062032000000E+03
0.361589720000000E+02,-0.115062032000000E+03
0.361577720000000E+02,-0.115061931000000E+03
0.361554720000000E+02,-0.115062631000000E+03
0.361502720000000E+02,-0.115065431000000E+03
0.361416720000000E+02,-0.115065331000000E+03
0.361416720000000E+02,-0.115065331000000E+03
0.361428720000000E+02,-0.115083031000000E+03
0.361442720000000E+02,-0.115083031000000E+03
0.361442710000000E+02,-0.115105432000000E+03
0.361420710000000E+02,-0.115105532000000E+03
0.361424710000000E+02,-0.115110232000000E+03
0.361442710000000E+02,-0.115110132000000E+03
0.361443710000000E+02,-0.115114632000000E+03
0.361442710000000E+02,-0.115119232000000E+03
0.361407710000000E+02,-0.115119132000000E+03
0.361407710000000E+02,-0.115119132000000E+03
0.361409710000000E+02,-0.115123732000000E+03
0.361442710000000E+02,-0.115123432000000E+03
0.361441710000000E+02,-0.115136933000000E+03
0.361409710000000E+02,-0.115137032000000E+03
0.361407710000000E+02,-0.115145433000000E+03
0.361439710000000E+02,-0.115145333000000E+03
0.361437700000000E+02,-0.115158733000000E+03
0.361437700000000E+02,-0.115158733000000E+03
0.361458700000000E+02,-0.115158533000000E+03
0.361457700000000E+02,-0.115155933000000E+03
0.361477700000000E+02,-0.115154733000000E+03
0.361588700000000E+02,-0.115153633000000E+03
END,END
