LAT,LON
0.419981383985854E+02,-0.116733927323164E+03
0.419908230000000E+02,-0.116723437000000E+03
0.419861800000000E+02,-0.116720276000000E+03
0.419747200000000E+02,-0.116714906000000E+03
0.419592110000000E+02,-0.116706225000000E+03
0.419515020000000E+02,-0.116703495000000E+03
0.419465150000000E+02,-0.116702513000000E+03
0.419410470000000E+02,-0.116700459000000E+03
0.419403610000000E+02,-0.116698222000000E+03
0.419365610000000E+02,-0.116692261000000E+03
0.419344140000000E+02,-0.116690622000000E+03
0.419322640000000E+02,-0.116690684000000E+03
0.419299300000000E+02,-0.116685016000000E+03
0.419295180000000E+02,-0.116682994000000E+03
0.419298610000000E+02,-0.116681217000000E+03
0.419317140000000E+02,-0.116676438000000E+03
0.419291060000000E+02,-0.116675611000000E+03
0.419184450000000E+02,-0.116674235000000E+03
0.419202070000000E+02,-0.116681310000000E+03
0.419217170000000E+02,-0.116684098000000E+03
0.419235930000000E+02,-0.116686272000000E+03
0.419264990000000E+02,-0.116688478000000E+03
0.419223350000000E+02,-0.116695094000000E+03
0.419163390000000E+02,-0.116708418000000E+03
0.419132730000000E+02,-0.116712736000000E+03
0.419094060000000E+02,-0.116716011000000E+03
0.419059500000000E+02,-0.116720603000000E+03
0.419045760000000E+02,-0.116725257000000E+03
0.419043450000000E+02,-0.116729483000000E+03
0.419025360000000E+02,-0.116734106000000E+03
0.418990120000000E+02,-0.116736584000000E+03
0.418934760000000E+02,-0.116738294000000E+03
0.418800210000000E+02,-0.116744437000000E+03
0.418761300000000E+02,-0.116747035000000E+03
0.418708030000000E+02,-0.116748927000000E+03
0.418342130000000E+02,-0.116708819000000E+03
0.418049760000000E+02,-0.116673554000000E+03
0.418027790000000E+02,-0.116668051000000E+03
0.417996170000000E+02,-0.116647446000000E+03
0.417984000000000E+02,-0.116636256000000E+03
0.417941430000000E+02,-0.116632499000000E+03
0.417865920000000E+02,-0.116630886000000E+03
0.417811250000000E+02,-0.116632052000000E+03
0.417721630000000E+02,-0.116608243000000E+03
0.417601600000000E+02,-0.116579299000000E+03
0.417531150000000E+02,-0.116571903000000E+03
0.417448610000000E+02,-0.116566616000000E+03
0.417309510000000E+02,-0.116569609000000E+03
0.417264440000000E+02,-0.116567898000000E+03
0.417223030000000E+02,-0.116564478000000E+03
0.417186200000000E+02,-0.116558370000000E+03
0.417202670000000E+02,-0.116555347000000E+03
0.417234470000000E+02,-0.116555224000000E+03
