LAT,LON
0.423445000000000E+02,-0.737809580000000E+02
0.423427430000000E+02,-0.737794480000000E+02
0.423405250000000E+02,-0.737827790000000E+02
0.423281280000000E+02,-0.737796720000000E+02
0.423279168653320E+02,-0.737778113537109E+02
0.423319470000000E+02,-0.737759090000000E+02
0.423389680000000E+02,-0.737778160000000E+02
0.423399740000000E+02,-0.737767670000000E+02
0.423404310000000E+02,-0.737749170000000E+02
0.423385550000000E+02,-0.737742400000000E+02
0.423313510000000E+02,-0.737734120000000E+02
0.423286980000000E+02,-0.737739380000000E+02
0.423281260000000E+02,-0.737745240000000E+02
0.423232550000000E+02,-0.737753900000000E+02
0.423213330000000E+02,-0.737752990000000E+02
0.423092330000000E+02,-0.737725640000000E+02
0.423082940000000E+02,-0.737697290000000E+02
0.423087040000000E+02,-0.737668940000000E+02
0.423099610000000E+02,-0.737643970000000E+02
0.423137110000000E+02,-0.737601420000000E+02
0.423149440000000E+02,-0.737569050000000E+02
0.423150780000000E+02,-0.737549410000000E+02
0.423150780000000E+02,-0.737549410000000E+02
0.423144970000000E+02,-0.737549510000000E+02
0.423140750000000E+02,-0.737569360000000E+02
0.423103020000000E+02,-0.737587580000000E+02
0.423087480000000E+02,-0.737613170000000E+02
0.423068530000000E+02,-0.737694840000000E+02
0.423082050000000E+02,-0.737766630000000E+02
0.423081820000000E+02,-0.737773110000000E+02
0.423071300000000E+02,-0.737783280000000E+02
0.423013890000000E+02,-0.737780850000000E+02
0.423016400000000E+02,-0.737754970000000E+02
0.423011120000000E+02,-0.737706590000000E+02
0.422995110000000E+02,-0.737702900000000E+02
0.422970630000000E+02,-0.737709700000000E+02
0.422907980000000E+02,-0.737743330000000E+02
0.422924230000000E+02,-0.737769810000000E+02
0.422886040000000E+02,-0.737796010000000E+02
0.422807590000000E+02,-0.737799140000000E+02
0.422674250000000E+02,-0.737876190000000E+02
0.422640180000000E+02,-0.737889750000000E+02
0.422646580000000E+02,-0.737882360000000E+02
0.422647720000000E+02,-0.737867580000000E+02
0.422618440000000E+02,-0.737866050000000E+02
0.422597684377930E+02,-0.737911627849609E+02
0.422593844377930E+02,-0.737931031849609E+02
0.422567230000000E+02,-0.737976620000000E+02
