LAT,LON
0.435461690000000E+02,-0.736114990000000E+02
0.435453090000000E+02,-0.736112280000000E+02
0.435462700000000E+02,-0.736100340000000E+02
0.435513250000000E+02,-0.736073650000000E+02
0.435526510000000E+02,-0.736075240000000E+02
0.435526510000000E+02,-0.736075240000000E+02
0.435535220000000E+02,-0.736031540000000E+02
0.435529970000000E+02,-0.735988460000000E+02
0.435514440000000E+02,-0.735939720000000E+02
0.435519020000000E+02,-0.735924940000000E+02
0.435640250000000E+02,-0.735700160000000E+02
0.435664160000000E+02,-0.735673740000000E+02
0.435340960000000E+02,-0.734848340000000E+02
0.435340960000000E+02,-0.734848340000000E+02
0.435337010000000E+02,-0.734838100000000E+02
0.435336740000000E+02,-0.734798330000000E+02
0.435345220000000E+02,-0.734752450000000E+02
0.435364430000000E+02,-0.734710340000000E+02
0.435377920000000E+02,-0.734720410000000E+02
0.435387290000000E+02,-0.734719470000000E+02
0.435394860000000E+02,-0.734701950000000E+02
0.435394860000000E+02,-0.734701950000000E+02
0.434716940000000E+02,-0.734576660000000E+02
0.434744740000000E+02,-0.734299980000000E+02
0.434744740000000E+02,-0.734299980000000E+02
0.434709490000000E+02,-0.734325960000000E+02
0.434667870000000E+02,-0.734368660000000E+02
0.434620080000000E+02,-0.734406650000000E+02
0.434559950000000E+02,-0.734424540000000E+02
0.434541890000000E+02,-0.734434900000000E+02
0.434503240000000E+02,-0.734470680000000E+02
0.434481060000000E+02,-0.734480410000000E+02
0.434422060000000E+02,-0.734474440000000E+02
0.434398510000000E+02,-0.734487930000000E+02
0.434371520000000E+02,-0.734514280000000E+02
0.434336080000000E+02,-0.734444930000000E+02
0.434327390000000E+02,-0.734404130000000E+02
0.434324650000000E+02,-0.734353300000000E+02
0.434293320000000E+02,-0.734300280000000E+02
0.434280970000000E+02,-0.734255410000000E+02
0.434294910000000E+02,-0.734217450000000E+02
0.434327580000000E+02,-0.734079380000000E+02
0.434333040000000E+02,-0.733989640000000E+02
0.434351330000000E+02,-0.733977710000000E+02
0.434375780000000E+02,-0.733935640000000E+02
0.434373010000000E+02,-0.733875080000000E+02
0.434387620000000E+02,-0.733808550000000E+02
0.434421210000000E+02,-0.733745540000000E+02
0.434463600000000E+02,-0.733687730000000E+02
0.434463600000000E+02,-0.733687730000000E+02
0.434183300000000E+02,-0.733638110000000E+02
0.434177550000000E+02,-0.733714090000000E+02
0.433936740000000E+02,-0.733668760000000E+02
0.433860560000000E+02,-0.733688330000000E+02
0.433820990000000E+02,-0.733712440000000E+02
0.433808390000000E+02,-0.733736680000000E+02
0.433836310000000E+02,-0.733810320000000E+02
0.433815510000000E+02,-0.733831030000000E+02
0.433781920000000E+02,-0.733889370000000E+02
0.433774160000000E+02,-0.733924170000000E+02
0.433772360000000E+02,-0.733992510000000E+02
0.433812620000000E+02,-0.734031040000000E+02
0.433861790000000E+02,-0.734057980000000E+02
0.433884900000000E+02,-0.734140740000000E+02
0.433829790000000E+02,-0.734136370000000E+02
