LAT,LON
0.411454560000000E+02,-0.814565340000000E+02
0.411466560000000E+02,-0.814560340000000E+02
0.411491560000000E+02,-0.814559340000000E+02
0.411493560000000E+02,-0.814537340000000E+02
0.411485560000000E+02,-0.814524340000000E+02
0.411480560000000E+02,-0.814499340000000E+02
0.411519560000000E+02,-0.814499340000000E+02
0.411523666666667E+02,-0.814423693333333E+02
0.411530560000000E+02,-0.814401340000000E+02
0.411527253333333E+02,-0.814334080000000E+02
0.411520560000000E+02,-0.814300330000000E+02
0.411518910000000E+02,-0.814213280000000E+02
0.411446490000000E+02,-0.814213250000000E+02
0.411446560000000E+02,-0.814098200000000E+02
0.411401710000000E+02,-0.814102960000000E+02
0.411386560000000E+02,-0.814116320000000E+02
0.411372560000000E+02,-0.814078320000000E+02
0.411408560000000E+02,-0.813985320000000E+02
0.411400560000000E+02,-0.813975320000000E+02
0.411395560000000E+02,-0.813924320000000E+02
0.411395560000000E+02,-0.813924320000000E+02
0.411351560000000E+02,-0.813922320000000E+02
0.411351560000000E+02,-0.813922320000000E+02
0.411324560000000E+02,-0.814073320000000E+02
0.411291560000000E+02,-0.814143330000000E+02
0.411258560000000E+02,-0.814208330000000E+02
0.411241560000000E+02,-0.814231330000000E+02
0.411182560000000E+02,-0.814266330000000E+02
0.411184560000000E+02,-0.814399340000000E+02
0.411243560000000E+02,-0.814397340000000E+02
0.411246560000000E+02,-0.814526340000000E+02
0.411246560000000E+02,-0.814526340000000E+02
0.411357560000000E+02,-0.814519330000000E+02
0.411361560000000E+02,-0.814502340000000E+02
0.411425560000000E+02,-0.814500340000000E+02
0.411427560000000E+02,-0.814562340000000E+02
0.411454560000000E+02,-0.814565340000000E+02
END,END
