LAT,LON
0.393120460000000E+02,-0.846304060000000E+02
0.393098200000000E+02,-0.846377060000000E+02
0.393030640000000E+02,-0.846424770000000E+02
0.393003130000000E+02,-0.846465830000000E+02
0.392990440000000E+02,-0.846506930000000E+02
0.392998400000000E+02,-0.846571170000000E+02
0.392989360000000E+02,-0.846606510000000E+02
0.392962570000000E+02,-0.846643480000000E+02
0.392920570000000E+02,-0.846645480000000E+02
0.392885570000000E+02,-0.846602480000000E+02
0.392892570000000E+02,-0.846534480000000E+02
0.392872570000000E+02,-0.846529480000000E+02
0.392806030000000E+02,-0.846549030000000E+02
0.392715570000000E+02,-0.846584480000000E+02
0.392665350000000E+02,-0.846547220000000E+02
0.392644080000000E+02,-0.846554380000000E+02
0.392616000000000E+02,-0.846597600000000E+02
0.392617050000000E+02,-0.846625740000000E+02
0.392617050000000E+02,-0.846625740000000E+02
0.392624570000000E+02,-0.846673480000000E+02
0.392645710000000E+02,-0.846745600000000E+02
0.392645250000000E+02,-0.846761300000000E+02
0.392628500000000E+02,-0.846806530000000E+02
0.392628150000000E+02,-0.846882470000000E+02
0.392631170000000E+02,-0.846926970000000E+02
0.392628580000000E+02,-0.846937520000000E+02
0.392612460000000E+02,-0.846961940000000E+02
0.392573790000000E+02,-0.847002320000000E+02
0.392549470000000E+02,-0.847018810000000E+02
0.392511610000000E+02,-0.847028950000000E+02
0.392497390000000E+02,-0.847036130000000E+02
0.392454890000000E+02,-0.847066130000000E+02
0.392443140000000E+02,-0.847079300000000E+02
0.392439320000000E+02,-0.847088090000000E+02
0.392439740000000E+02,-0.847102510000000E+02
0.392442480000000E+02,-0.847117460000000E+02
0.392448090000000E+02,-0.847130840000000E+02
0.392449870000000E+02,-0.847148250000000E+02
0.392449050000000E+02,-0.847157040000000E+02
0.392441130000000E+02,-0.847168810000000E+02
0.392419530000000E+02,-0.847162970000000E+02
0.392400110000000E+02,-0.847149920000000E+02
0.392392310000000E+02,-0.847132320000000E+02
0.392379990000000E+02,-0.847090630000000E+02
0.392354540000000E+02,-0.847034660000000E+02
0.392326130000000E+02,-0.847011440000000E+02
0.392255750000000E+02,-0.846969390000000E+02
0.392234030000000E+02,-0.846963850000000E+02
0.392215970000000E+02,-0.846969310000000E+02
0.392199750000000E+02,-0.846985240000000E+02
0.392189150000000E+02,-0.847014330000000E+02
0.392184400000000E+02,-0.847021570000000E+02
0.392177540000000E+02,-0.847027720000000E+02
0.392163120000000E+02,-0.847027580000000E+02
0.392163120000000E+02,-0.847027580000000E+02
0.392162260000000E+02,-0.847030620000000E+02
0.392173070000000E+02,-0.847031520000000E+02
0.392183150000000E+02,-0.847028610000000E+02
0.392196140000000E+02,-0.847008540000000E+02
0.392206750000000E+02,-0.846984680000000E+02
0.392219750000000E+02,-0.846972010000000E+02
0.392233340000000E+02,-0.846969990000000E+02
0.392251970000000E+02,-0.846972470000000E+02
0.392339600000000E+02,-0.847026210000000E+02
0.392354470000000E+02,-0.847044230000000E+02
0.392367680000000E+02,-0.847069330000000E+02
0.392378080000000E+02,-0.847093260000000E+02
0.392386980000000E+02,-0.847134250000000E+02
0.392397380000000E+02,-0.847151680000000E+02
0.392415430000000E+02,-0.847164720000000E+02
0.392439080000000E+02,-0.847172850000000E+02
0.392448650000000E+02,-0.847165300000000E+02
0.392453840000000E+02,-0.847156170000000E+02
0.392453970000000E+02,-0.847143510000000E+02
0.392446440000000E+02,-0.847120630000000E+02
0.392442600000000E+02,-0.847090380000000E+02
0.392445470000000E+02,-0.847079660000000E+02
0.392456260000000E+02,-0.847068600000000E+02
0.392493570000000E+02,-0.847042280000000E+02
0.392516800000000E+02,-0.847032650000000E+02
0.392535120000000E+02,-0.847028460000000E+02
0.392559990000000E+02,-0.847017420000000E+02
0.392576940000000E+02,-0.847004440000000E+02
0.392613420000000E+02,-0.846967570000000E+02
0.392627630000000E+02,-0.846947900000000E+02
0.392632410000000E+02,-0.846935770000000E+02
0.392634860000000E+02,-0.846920650000000E+02
0.392632700000000E+02,-0.846805640000000E+02
0.392647490000000E+02,-0.846762380000000E+02
0.392648930000000E+02,-0.846745610000000E+02
0.392646720000000E+02,-0.846732080000000E+02
0.392638780000000E+02,-0.846717980000000E+02
0.392633650000000E+02,-0.846702280000000E+02
0.392618210000000E+02,-0.846609870000000E+02
0.392626100000000E+02,-0.846585360000000E+02
0.392640140000000E+02,-0.846564830000000E+02
0.392655550000000E+02,-0.846552600000000E+02
0.392665900000000E+02,-0.846552630000000E+02
0.392703580000000E+02,-0.846581590000000E+02
0.392718670000000E+02,-0.846588850000000E+02
0.392748900000000E+02,-0.846579910000000E+02
0.392793420000000E+02,-0.846556930000000E+02
0.392881570000000E+02,-0.846536230000000E+02
