LAT,LON
0.364870730000000E+02,-0.970057930000000E+02
0.364845040000000E+02,-0.970043450000000E+02
0.364812080000000E+02,-0.970007610000000E+02
0.364783710000000E+02,-0.969935060000000E+02
0.364775410000000E+02,-0.969922580000000E+02
0.364749640000000E+02,-0.969887320000000E+02
0.364711160000000E+02,-0.969843420000000E+02
0.364704760000000E+02,-0.969837870000000E+02
0.364697560000000E+02,-0.969833730000000E+02
0.364688580000000E+02,-0.969830300000000E+02
0.364673060000000E+02,-0.969827610000000E+02
0.364666670000000E+02,-0.969825060000000E+02
0.364660590000000E+02,-0.969819610000000E+02
0.364626040000000E+02,-0.969745790000000E+02
0.364603900000000E+02,-0.969683930000000E+02
0.364601190000000E+02,-0.969672490000000E+02
0.364600090000000E+02,-0.969643500000000E+02
0.364600630000000E+02,-0.969543650000000E+02
0.364594730000000E+02,-0.969523950000000E+02
0.364574640000000E+02,-0.969475660000000E+02
0.364555260000000E+02,-0.969402350000000E+02
0.364554800000000E+02,-0.969391290000000E+02
0.364556190000000E+02,-0.969377430000000E+02
0.364559390000000E+02,-0.969352800000000E+02
0.364562800000000E+02,-0.969338230000000E+02
0.364589940000000E+02,-0.969304560000000E+02
0.364594480000000E+02,-0.969292370000000E+02
0.364596030000000E+02,-0.969276320000000E+02
0.364599310000000E+02,-0.969269120000000E+02
0.364603970000000E+02,-0.969263510000000E+02
0.364611540000000E+02,-0.969259270000000E+02
0.364624930000000E+02,-0.969257680000000E+02
0.364628550000000E+02,-0.969256260000000E+02
0.364631610000000E+02,-0.969252950000000E+02
0.364633450000000E+02,-0.969249150000000E+02
0.364635090000000E+02,-0.969235290000000E+02
0.364632310000000E+02,-0.969212190000000E+02
0.364632010000000E+02,-0.969199330000000E+02
0.364635730000000E+02,-0.969184060000000E+02
0.364639330000000E+02,-0.969175360000000E+02
0.364645100000000E+02,-0.969167250000000E+02
0.364662120000000E+02,-0.969146800000000E+02
0.364678410000000E+02,-0.969124760000000E+02
0.364680390000000E+02,-0.969116860000000E+02
0.364686800000000E+02,-0.969071970000000E+02
0.364691380000000E+02,-0.969017520000000E+02
0.364689930000000E+02,-0.969001880000000E+02
0.364685160000000E+02,-0.968983680000000E+02
0.364685210000000E+02,-0.968977300000000E+02
0.364692670000000E+02,-0.968951240000000E+02
0.364701940000000E+02,-0.968932030000000E+02
0.364709810000000E+02,-0.968922610000000E+02
0.364720220000000E+02,-0.968904490000000E+02
0.364724750000000E+02,-0.968891400000000E+02
0.364727830000000E+02,-0.968875630000000E+02
0.364727730000000E+02,-0.968856990000000E+02
0.364724900000000E+02,-0.968839770000000E+02
0.364707040000000E+02,-0.968773730000000E+02
0.364707660000000E+02,-0.968759160000000E+02
0.364707660000000E+02,-0.968759160000000E+02
0.364697290000000E+02,-0.968769420000000E+02
0.364697290000000E+02,-0.968769420000000E+02
0.364696150000000E+02,-0.968784160000000E+02
0.364698210000000E+02,-0.968788120000000E+02
0.364701870000000E+02,-0.968788970000000E+02
0.364703710000000E+02,-0.968791230000000E+02
0.364713330000000E+02,-0.968818150000000E+02
0.364723890000000E+02,-0.968877090000000E+02
0.364723670000000E+02,-0.968881340000000E+02
0.364720920000000E+02,-0.968889840000000E+02
0.364714290000000E+02,-0.968901180000000E+02
0.364709490000000E+02,-0.968908270000000E+02
0.364702160000000E+02,-0.968915640000000E+02
0.364676790000000E+02,-0.968991600000000E+02
0.364676790000000E+02,-0.968995290000000E+02
0.364683430000000E+02,-0.968996420000000E+02
0.364685720000000E+02,-0.969001230000000E+02
0.364686860000000E+02,-0.969008320000000E+02
0.364685960000000E+02,-0.969027590000000E+02
0.364677510000000E+02,-0.969113450000000E+02
0.364676370000000E+02,-0.969116850000000E+02
0.364659890000000E+02,-0.969133310000000E+02
0.364652800000000E+02,-0.969143230000000E+02
0.364642040000000E+02,-0.969161370000000E+02
0.364635640000000E+02,-0.969176670000000E+02
0.364629920000000E+02,-0.969194810000000E+02
0.364627180000000E+02,-0.969208980000000E+02
0.364626720000000E+02,-0.969216630000000E+02
0.364632220000000E+02,-0.969231930000000E+02
0.364630830000000E+02,-0.969242980000000E+02
0.364625340000000E+02,-0.969248360000000E+02
0.364605670000000E+02,-0.969253750000000E+02
0.364598340000000E+02,-0.969258850000000E+02
0.364590560000000E+02,-0.969275290000000E+02
0.364589190000000E+02,-0.969283220000000E+02
0.364592840000000E+02,-0.969294270000000E+02
0.364588040000000E+02,-0.969303340000000E+02
0.364583460000000E+02,-0.969307020000000E+02
0.364572470000000E+02,-0.969312130000000E+02
0.364563330000000E+02,-0.969312130000000E+02
0.364562180000000E+02,-0.969308730000000E+02
0.364561950000000E+02,-0.969302490000000E+02
0.364569500000000E+02,-0.969280960000000E+02
0.364593080000000E+02,-0.969254320000000E+02
0.364596970000000E+02,-0.969246390000000E+02
0.364600170000000E+02,-0.969232780000000E+02
0.364604290000000E+02,-0.969223150000000E+02
0.364607490000000E+02,-0.969217480000000E+02
0.364620540000000E+02,-0.969204440000000E+02
0.364620760000000E+02,-0.969198780000000E+02
0.364616640000000E+02,-0.969200190000000E+02
0.364612980000000E+02,-0.969202750000000E+02
0.364608180000000E+02,-0.969208700000000E+02
0.364567670000000E+02,-0.969273880000000E+02
0.364559210000000E+02,-0.969296830000000E+02
0.364553480000000E+02,-0.969339900000000E+02
0.364552790000000E+02,-0.969360300000000E+02
0.364546610000000E+02,-0.969400530000000E+02
0.364539970000000E+02,-0.969416400000000E+02
0.364537750000000E+02,-0.969434950000000E+02
0.364537750000000E+02,-0.969434950000000E+02
0.364547990000000E+02,-0.969426880000000E+02
0.364562630000000E+02,-0.969457480000000E+02
0.364586430000000E+02,-0.969540500000000E+02
0.364603350000000E+02,-0.969695790000000E+02
0.364616830000000E+02,-0.969740850000000E+02
0.364642090000000E+02,-0.969792980000000E+02
0.364642090000000E+02,-0.969792980000000E+02
0.364664410000000E+02,-0.969837790000000E+02
0.364691650000000E+02,-0.969846590000000E+02
0.364728030000000E+02,-0.969889120000000E+02
0.364811270000000E+02,-0.970020730000000E+02
0.364846810000000E+02,-0.970057690000000E+02
0.364846810000000E+02,-0.970057690000000E+02
0.364870730000000E+02,-0.970057930000000E+02
END,END
0.364596290000000E+02,-0.969962730000000E+02
0.364585270000000E+02,-0.969948970000000E+02
0.364585270000000E+02,-0.969948970000000E+02
0.364554140000000E+02,-0.969912450000000E+02
0.364536570000000E+02,-0.969901200000000E+02
0.364509090000000E+02,-0.969894500000000E+02
0.364447910000000E+02,-0.969962120000000E+02
0.364442300000000E+02,-0.969972920000000E+02
0.364452120000000E+02,-0.969984220000000E+02
0.364428820000000E+02,-0.970018010000000E+02
0.364412090000000E+02,-0.970025440000000E+02
0.364363560000000E+02,-0.970034050000000E+02
0.364362850000000E+02,-0.970059290000000E+02
0.364369670000000E+02,-0.970063380000000E+02
0.364374380000000E+02,-0.970089030000000E+02
0.364367210000000E+02,-0.970107390000000E+02
0.364329140000000E+02,-0.970151630000000E+02
0.364291750000000E+02,-0.970160770000000E+02
0.364244570000000E+02,-0.970151010000000E+02
0.364223570000000E+02,-0.970151220000000E+02
0.364224930000000E+02,-0.970165360000000E+02
0.364259370000000E+02,-0.970177510000000E+02
0.364278090000000E+02,-0.970207440000000E+02
0.364271880000000E+02,-0.970224180000000E+02
0.364236030000000E+02,-0.970225310000000E+02
0.364231460000000E+02,-0.970228870000000E+02
0.364245240000000E+02,-0.970298250000000E+02
0.364241670000000E+02,-0.970313070000000E+02
0.364220240000000E+02,-0.970320860000000E+02
0.364220240000000E+02,-0.970320860000000E+02
0.364486240000000E+02,-0.970320440000000E+02
0.364487100000000E+02,-0.970048000000000E+02
0.364566460000000E+02,-0.970048200000000E+02
0.364566810000000E+02,-0.969962790000000E+02
0.364596290000000E+02,-0.969962730000000E+02
END,END
0.361407550000000E+02,-0.972379330000000E+02
0.361321270000000E+02,-0.972379640000000E+02
0.361321270000000E+02,-0.972379640000000E+02
0.361329510000000E+02,-0.972391220000000E+02
0.361329720000000E+02,-0.972426770000000E+02
0.361321660000000E+02,-0.972542610000000E+02
0.361353490000000E+02,-0.972546540000000E+02
0.361377540000000E+02,-0.972572480000000E+02
0.361382810000000E+02,-0.972585460000000E+02
0.361375050000000E+02,-0.972638810000000E+02
0.361362470000000E+02,-0.972654050000000E+02
0.361349200000000E+02,-0.972706270000000E+02
0.361385150000000E+02,-0.972738140000000E+02
0.361417450000000E+02,-0.972789780000000E+02
0.361430730000000E+02,-0.972825330000000E+02
0.361427080000000E+02,-0.972839450000000E+02
0.361413570000000E+02,-0.972856670000000E+02
0.361395030000000E+02,-0.972861760000000E+02
0.361438310000000E+02,-0.972908040000000E+02
0.361461660000000E+02,-0.972924680000000E+02
0.361469450000000E+02,-0.972921580000000E+02
0.361458450000000E+02,-0.972896460000000E+02
0.361446320000000E+02,-0.972891670000000E+02
0.361441050000000E+02,-0.972883200000000E+02
0.361433020000000E+02,-0.972812630000000E+02
0.361450880000000E+02,-0.972813190000000E+02
0.361445370000000E+02,-0.972751380000000E+02
0.361423130000000E+02,-0.972670100000000E+02
0.361436400000000E+02,-0.972646390000000E+02
0.361469810000000E+02,-0.972621250000000E+02
0.361471650000000E+02,-0.972627170000000E+02
0.361504620000000E+02,-0.972635900000000E+02
0.361524530000000E+02,-0.972616130000000E+02
0.361504840000000E+02,-0.972618680000000E+02
0.361454920000000E+02,-0.972583430000000E+02
0.361434770000000E+02,-0.972556070000000E+02
0.361389030000000E+02,-0.972402830000000E+02
0.361392690000000E+02,-0.972390970000000E+02
0.361407550000000E+02,-0.972379330000000E+02
END,END
0.361233360000000E+02,-0.972380110000000E+02
0.361226260000000E+02,-0.972321920000000E+02
0.361226260000000E+02,-0.972321920000000E+02
0.361111530000000E+02,-0.972451410000000E+02
0.361092990000000E+02,-0.972448020000000E+02
0.361092990000000E+02,-0.972448020000000E+02
0.361103960000000E+02,-0.972488930000000E+02
0.361152290000000E+02,-0.972448340000000E+02
0.361163060000000E+02,-0.972417590000000E+02
0.361185270000000E+02,-0.972409990000000E+02
0.361222130000000E+02,-0.972418190000000E+02
0.361233360000000E+02,-0.972380110000000E+02
END,END
0.359850280000000E+02,-0.973531070000000E+02
0.359840790000000E+02,-0.973552080000000E+02
0.359840780000000E+02,-0.973568980000000E+02
0.359886330000000E+02,-0.973594360000000E+02
0.359901440000000E+02,-0.973610990000000E+02
0.359903930000000E+02,-0.973684240000000E+02
0.359900030000000E+02,-0.973698610000000E+02
0.359875520000000E+02,-0.973735210000000E+02
0.359833590000000E+02,-0.973760430000000E+02
0.359823980000000E+02,-0.973772550000000E+02
0.359814370000000E+02,-0.973793680000000E+02
0.359811180000000E+02,-0.973816780000000E+02
0.359817150000000E+02,-0.973868610000000E+02
0.359830900000000E+02,-0.973899860000000E+02
0.359859530000000E+02,-0.973925760000000E+02
0.359871910000000E+02,-0.973976460000000E+02
0.359868710000000E+02,-0.973984910000000E+02
0.359840550000000E+02,-0.974002950000000E+02
0.359809650000000E+02,-0.974007760000000E+02
0.359792710000000E+02,-0.974022980000000E+02
0.359743290000000E+02,-0.974125820000000E+02
0.359736660000000E+02,-0.974177360000000E+02
0.359727960000000E+02,-0.974184690000000E+02
0.359660190000000E+02,-0.974204700000000E+02
0.359598140000000E+02,-0.974202750000000E+02
0.359572500000000E+02,-0.974190640000000E+02
0.359460760000000E+02,-0.974087050000000E+02
0.359436250000000E+02,-0.974070170000000E+02
0.359351530000000E+02,-0.974047970000000E+02
0.359323600000000E+02,-0.974058680000000E+02
0.359303230000000E+02,-0.974073600000000E+02
0.359248980000000E+02,-0.974140050000000E+02
0.359242350000000E+02,-0.974174400000000E+02
0.359200230000000E+02,-0.974253780000000E+02
0.359170930000000E+02,-0.974282500000000E+02
0.359099500000000E+02,-0.974320510000000E+02
0.359072940000000E+02,-0.974341050000000E+02
0.359055310000000E+02,-0.974361030000000E+02
