LAT,LON
0.352450620000000E+02,-0.997528020000000E+02
0.352045470000000E+02,-0.997529150000000E+02
0.352044390000000E+02,-0.997302320000000E+02
0.351603520000000E+02,-0.997301250000000E+02
0.351602130000000E+02,-0.996066830000000E+02
0.351746650000000E+02,-0.996067470000000E+02
0.351747870000000E+02,-0.995924700000000E+02
0.351695500000000E+02,-0.995889770000000E+02
0.351695500000000E+02,-0.995889770000000E+02
0.351602640000000E+02,-0.995890300000000E+02
0.351600840000000E+02,-0.995723520000000E+02
0.351531440000000E+02,-0.995722390000000E+02
0.351513570000000E+02,-0.995714300000000E+02
0.351312950000000E+02,-0.995713720000000E+02
0.351313180000000E+02,-0.995541150000000E+02
0.351167140000000E+02,-0.995540060000000E+02
0.351167770000000E+02,-0.997828320000000E+02
0.350301110000000E+02,-0.997829490000000E+02
0.350299850000000E+02,-0.998258080000000E+02
0.350277560000000E+02,-0.998269380000000E+02
0.350246860000000E+02,-0.998304450000000E+02
0.350200590000000E+02,-0.998330050000000E+02
0.350181810000000E+02,-0.998345640000000E+02
0.350183640000000E+02,-0.998362900000000E+02
0.350176760000000E+02,-0.998369860000000E+02
0.350048960000000E+02,-0.998402940000000E+02
0.349956260000000E+02,-0.998416840000000E+02
0.349934060000000E+02,-0.998388730000000E+02
0.349921940000000E+02,-0.998282970000000E+02
0.349868580000000E+02,-0.998190290000000E+02
0.349730480000000E+02,-0.998189710000000E+02
0.349732760000000E+02,-0.997922880000000E+02
0.349700470000000E+02,-0.997906750000000E+02
0.349681170000000E+02,-0.997905980000000E+02
0.349681170000000E+02,-0.997905980000000E+02
0.349669320000000E+02,-0.997923730000000E+02
0.349620080000000E+02,-0.997920960000000E+02
0.349585950000000E+02,-0.997926250000000E+02
0.349586420000000E+02,-0.998003310000000E+02
0.349581610000000E+02,-0.998011930000000E+02
0.349441520000000E+02,-0.998014290000000E+02
0.349441520000000E+02,-0.998014290000000E+02
0.349441350000000E+02,-0.998266560000000E+02
0.349440370000000E+02,-0.998362010000000E+02
0.349439460000000E+02,-0.998884250000000E+02
0.350000530000000E+02,-0.998883120000000E+02
0.350188040000000E+02,-0.998884770000000E+02
0.350281520000000E+02,-0.998885540000000E+02
0.350302620000000E+02,-0.998885710000000E+02
0.350299590000000E+02,-0.999364790000000E+02
0.350299360000000E+02,-0.999494060000000E+02
0.350303849965066E+02,-0.100000383603368E+03
0.350303849965066E+02,-0.100000383603368E+03
0.351424357770390E+02,-0.100000384630789E+03
0.351424357770390E+02,-0.100000384630789E+03
0.351445880000000E+02,-0.999993620000000E+02
0.351445650000000E+02,-0.999986930000000E+02
0.351388410000000E+02,-0.999966530000000E+02
0.351372820000000E+02,-0.999993010000000E+02
0.351358850000000E+02,-0.999989090000000E+02
0.351354520000000E+02,-0.999961490000000E+02
0.351360710000000E+02,-0.999935000000000E+02
0.351345370000000E+02,-0.999917430000000E+02
0.351256760000000E+02,-0.999869980000000E+02
0.351203180000000E+02,-0.999865510000000E+02
0.351179380000000E+02,-0.999824250000000E+02
0.351127390000000E+02,-0.999820310000000E+02
0.351116160000000E+02,-0.999832290000000E+02
0.351058680000000E+02,-0.999812750000000E+02
0.350913510000000E+02,-0.999721270000000E+02
0.350872300000000E+02,-0.999668870000000E+02
0.350853510000000E+02,-0.999710380000000E+02
0.350837710000000E+02,-0.999716220000000E+02
0.350794890000000E+02,-0.999685000000000E+02
0.350788480000000E+02,-0.999661320000000E+02
0.350735110000000E+02,-0.999595020000000E+02
0.350740170000000E+02,-0.999591380000000E+02
0.350856750000000E+02,-0.999591970000000E+02
0.350916760000000E+02,-0.999565240000000E+02
0.350951570000000E+02,-0.999542400000000E+02
0.351030140000000E+02,-0.999476650000000E+02
0.351024180000000E+02,-0.999449060000000E+02
0.351024190000000E+02,-0.999413100000000E+02
0.351602920000000E+02,-0.999414520000000E+02
0.351605110000000E+02,-0.998883540000000E+02
0.351895740000000E+02,-0.998884200000000E+02
0.351896340000000E+02,-0.998556860000000E+02
0.351925540000000E+02,-0.998528860000000E+02
0.352003680000000E+02,-0.998401110000000E+02
0.351992230000000E+02,-0.998381020000000E+02
0.351995560000000E+02,-0.998355170000000E+02
0.352046060000000E+02,-0.998354530000000E+02
0.352067590000000E+02,-0.998307660000000E+02
0.352073780000000E+02,-0.998278360000000E+02
0.352057980000000E+02,-0.998144420000000E+02
0.352046450000000E+02,-0.998101220000000E+02
0.352046510000000E+02,-0.997882680000000E+02
0.352191480000000E+02,-0.997886830000000E+02
0.352191890000000E+02,-0.997704590000000E+02
0.352337550000000E+02,-0.997705080000000E+02
0.352346720000000E+02,-0.997720710000000E+02
0.352450620000000E+02,-0.997528020000000E+02
END,END
