LAT,LON
0.369990796454045E+02,-0.967699913972407E+02
0.369972960000000E+02,-0.967697480000000E+02
0.369938200000000E+02,-0.967766840000000E+02
0.369898380000000E+02,-0.967769150000000E+02
0.369894710000000E+02,-0.967756600000000E+02
0.369856720000000E+02,-0.967752340000000E+02
0.369812780000000E+02,-0.967765490000000E+02
0.369797000000000E+02,-0.967799160000000E+02
0.369794490000000E+02,-0.967821690000000E+02
0.369739800000000E+02,-0.967857940000000E+02
0.369728810000000E+02,-0.967847390000000E+02
0.369694040000000E+02,-0.967891900000000E+02
0.369691750000000E+02,-0.967915860000000E+02
0.369679020000000E+02,-0.967952520000000E+02
0.369561310000000E+02,-0.967953550000000E+02
0.369512790000000E+02,-0.967976670000000E+02
0.369471390000000E+02,-0.968031990000000E+02
0.369425380000000E+02,-0.968049680000000E+02
0.369375260000000E+02,-0.968056810000000E+02
0.369290590000000E+02,-0.968209630000000E+02
0.369256710000000E+02,-0.968206490000000E+02
0.369245040000000E+02,-0.968216460000000E+02
0.369245040000000E+02,-0.968216460000000E+02
0.369264490000000E+02,-0.968227300000000E+02
0.369299510000000E+02,-0.968234710000000E+02
0.369344600000000E+02,-0.968227020000000E+02
0.369395180000000E+02,-0.968176850000000E+02
0.369447120000000E+02,-0.968171430000000E+02
0.369459710000000E+02,-0.968207070000000E+02
0.369500900000000E+02,-0.968259830000000E+02
0.369555830000000E+02,-0.968303460000000E+02
0.369622420000000E+02,-0.968326570000000E+02
0.369702390000000E+02,-0.968328110000000E+02
0.369703870000000E+02,-0.968493450000000E+02
0.369413430000000E+02,-0.968493620000000E+02
0.369413130000000E+02,-0.968692060000000E+02
0.369134600000000E+02,-0.968693580000000E+02
0.369121760000000E+02,-0.968734900000000E+02
0.369122010000000E+02,-0.968873930000000E+02
0.368397750000000E+02,-0.968876390000000E+02
0.368397790000000E+02,-0.968975130000000E+02
0.368393680000000E+02,-0.968979180000000E+02
0.368343550000000E+02,-0.968985190000000E+02
0.368343550000000E+02,-0.968985190000000E+02
0.368327770000000E+02,-0.969011400000000E+02
0.368307410000000E+02,-0.969029630000000E+02
0.368281540000000E+02,-0.969028790000000E+02
0.368280640000000E+02,-0.969072060000000E+02
0.368346570000000E+02,-0.969113890000000E+02
0.368399910000000E+02,-0.969140630000000E+02
0.368506800000000E+02,-0.969175620000000E+02
0.368537930000000E+02,-0.969191270000000E+02
0.368737190000000E+02,-0.969361050000000E+02
0.368758300000000E+02,-0.969425830000000E+02
0.368776920000000E+02,-0.969451290000000E+02
0.368802580000000E+02,-0.969470660000000E+02
0.368846780000000E+02,-0.969448810000000E+02
0.368853650000000E+02,-0.969451370000000E+02
0.368882940000000E+02,-0.969488410000000E+02
0.368898730000000E+02,-0.969522320000000E+02
0.368968300000000E+02,-0.969597280000000E+02
0.368993240000000E+02,-0.969608690000000E+02
0.369031000000000E+02,-0.969615820000000E+02
0.369093720000000E+02,-0.969612130000000E+02
0.369100120000000E+02,-0.969606440000000E+02
0.369099900000000E+02,-0.969581360000000E+02
0.369082740000000E+02,-0.969553990000000E+02
0.369065810000000E+02,-0.969500980000000E+02
0.369080000000000E+02,-0.969465070000000E+02
0.369103350000000E+02,-0.969443130000000E+02
0.369118000000000E+02,-0.969437430000000E+02
0.369145690000000E+02,-0.969436290000000E+02
0.369180940000000E+02,-0.969468210000000E+02
0.369216640000000E+02,-0.969483890000000E+02
0.369262650000000E+02,-0.969471640000000E+02
0.369356490000000E+02,-0.969495880000000E+02
0.369430640000000E+02,-0.969529540000000E+02
0.369486480000000E+02,-0.969530970000000E+02
0.369496090000000E+02,-0.969524990000000E+02
0.369501360000000E+02,-0.969510160000000E+02
0.369494960000000E+02,-0.969464820000000E+02
0.369499770000000E+02,-0.969426040000000E+02
0.369509150000000E+02,-0.969409210000000E+02
0.369531570000000E+02,-0.969387240000000E+02
0.369564530000000E+02,-0.969374410000000E+02
0.369608480000000E+02,-0.969368990000000E+02
0.369667980000000E+02,-0.969382670000000E+02
0.369768690000000E+02,-0.969416610000000E+02
0.369816980000000E+02,-0.969408060000000E+02
0.369866190000000E+02,-0.969384660000000E+02
0.369934390000000E+02,-0.969308470000000E+02
0.369941260000000E+02,-0.969292500000000E+02
0.369963680000000E+02,-0.969263960000000E+02
0.369991370686416E+02,-0.969241039431829E+02
0.369991370686416E+02,-0.969241039431829E+02
0.369991510000000E+02,-0.969219150000000E+02
0.369991820000000E+02,-0.969170930000000E+02
0.369991320000000E+02,-0.969035100000000E+02
0.369991550000000E+02,-0.969020830000000E+02
0.369992330000000E+02,-0.968762900000000E+02
0.369992170000000E+02,-0.968675170000000E+02
0.369991820000000E+02,-0.968227910000000E+02
0.369988600000000E+02,-0.967951990000000E+02
0.369991800000000E+02,-0.967920600000000E+02
0.369991044925604E+02,-0.967754554421157E+02
0.369990796454045E+02,-0.967699913972407E+02
END,END
0.369991280242100E+02,-0.969255250355426E+02
0.369954760000000E+02,-0.969289640000000E+02
0.369897780000000E+02,-0.969356980000000E+02
0.369877410000000E+02,-0.969393790000000E+02
0.369820880000000E+02,-0.969423170000000E+02
0.369787920000000E+02,-0.969429750000000E+02
0.369740770000000E+02,-0.969429180000000E+02
0.369661800000000E+02,-0.969394370000000E+02
0.369571400000000E+02,-0.969390380000000E+02
0.369539350000000E+02,-0.969398940000000E+02
0.369507550000000E+02,-0.969430030000000E+02
0.369502960000000E+02,-0.969466810000000E+02
0.369513490000000E+02,-0.969507590000000E+02
0.369509590000000E+02,-0.969530690000000E+02
0.369497010000000E+02,-0.969538960000000E+02
0.369450090000000E+02,-0.969545510000000E+02
0.369384640000000E+02,-0.969531530000000E+02
0.369361520000000E+02,-0.969512990000000E+02
