LAT,LON
0.454348410000000E+02,-0.122699006000000E+03
0.454330410000000E+02,-0.122699906000000E+03
0.454330410000000E+02,-0.122701806000000E+03
0.454287410000000E+02,-0.122703406000000E+03
0.454246410000000E+02,-0.122701106000000E+03
0.454235050000000E+02,-0.122696822000000E+03
0.454187410000000E+02,-0.122700806000000E+03
0.454180410000000E+02,-0.122702206000000E+03
0.454175410000000E+02,-0.122711506000000E+03
0.454147410000000E+02,-0.122711606000000E+03
0.454142410000000E+02,-0.122707506000000E+03
0.454125410000000E+02,-0.122704906000000E+03
0.454098410000000E+02,-0.122704006000000E+03
0.454087410000000E+02,-0.122705306000000E+03
0.454071690000000E+02,-0.122714678000000E+03
0.454060010000000E+02,-0.122716470000000E+03
0.454038410000000E+02,-0.122717706000000E+03
0.453843410000000E+02,-0.122720306000000E+03
0.453824410000000E+02,-0.122721606000000E+03
0.453824410000000E+02,-0.122721606000000E+03
0.453835410000000E+02,-0.122735106000000E+03
0.453873410000000E+02,-0.122750406000000E+03
0.453882410000000E+02,-0.122750807000000E+03
0.453882410000000E+02,-0.122750807000000E+03
0.453896020000000E+02,-0.122747381000000E+03
0.453904410000000E+02,-0.122746406000000E+03
0.453922410000000E+02,-0.122748407000000E+03
0.453933930000000E+02,-0.122748135000000E+03
0.453957410000000E+02,-0.122744206000000E+03
0.453989410000000E+02,-0.122744207000000E+03
0.453990990000000E+02,-0.122746418000000E+03
0.454053400000000E+02,-0.122744207000000E+03
0.454116400000000E+02,-0.122744307000000E+03
0.454121290000000E+02,-0.122744284000000E+03
0.454170400000000E+02,-0.122744207000000E+03
0.454170400000000E+02,-0.122744207000000E+03
0.454185770000000E+02,-0.122744197000000E+03
0.454240400000000E+02,-0.122744107000000E+03
0.454260080000000E+02,-0.122744240000000E+03
0.454265400000000E+02,-0.122744307000000E+03
0.454265400000000E+02,-0.122744307000000E+03
0.454266400000000E+02,-0.122741507000000E+03
0.454276400000000E+02,-0.122739607000000E+03
0.454329400000000E+02,-0.122740007000000E+03
0.454333400000000E+02,-0.122738807000000E+03
0.454332400000000E+02,-0.122738407000000E+03
0.454332400000000E+02,-0.122738085000000E+03
0.454332400000000E+02,-0.122736207000000E+03
0.454332400000000E+02,-0.122735107000000E+03
0.454347400000000E+02,-0.122738307000000E+03
0.454359400000000E+02,-0.122738907000000E+03
0.454408100000000E+02,-0.122738550000000E+03
0.454427400000000E+02,-0.122738107000000E+03
0.454441400000000E+02,-0.122735607000000E+03
0.454444400000000E+02,-0.122733607000000E+03
0.454440650000000E+02,-0.122732451000000E+03
0.454420400000000E+02,-0.122731407000000E+03
0.454404160000000E+02,-0.122722935000000E+03
0.454401300000000E+02,-0.122705762000000E+03
0.454388410000000E+02,-0.122703906000000E+03
0.454359410000000E+02,-0.122702906000000E+03
0.454348410000000E+02,-0.122699006000000E+03
END,END
