LAT,LON
0.409104020000000E+02,-0.791153260000000E+02
0.409096710000000E+02,-0.790547020000000E+02
0.409096710000000E+02,-0.790547020000000E+02
0.409084080000000E+02,-0.790516250000000E+02
0.409067460000000E+02,-0.790519470000000E+02
0.409061520000000E+02,-0.790590020000000E+02
0.409034750000000E+02,-0.790725080000000E+02
0.409002040000000E+02,-0.790758840000000E+02
0.408910770000000E+02,-0.790745560000000E+02
0.408842380000000E+02,-0.790726260000000E+02
0.408817220000000E+02,-0.790728370000000E+02
0.408786340000000E+02,-0.790746140000000E+02
0.408750640000000E+02,-0.790758920000000E+02
0.408665420000000E+02,-0.790741860000000E+02
0.408656040000000E+02,-0.790746980000000E+02
0.408595850000000E+02,-0.790812150000000E+02
0.408569040000000E+02,-0.790744690000000E+02
0.408569250000000E+02,-0.790694110000000E+02
0.408569250000000E+02,-0.790694110000000E+02
0.408546240000000E+02,-0.790711120000000E+02
0.408543500000000E+02,-0.790730080000000E+02
0.408450860000000E+02,-0.790724670000000E+02
0.408440560000000E+02,-0.790711720000000E+02
0.408438050000000E+02,-0.790699070000000E+02
0.408430270000000E+02,-0.790604780000000E+02
0.408424250000000E+02,-0.790588290000000E+02
0.408387260000000E+02,-0.790565030000000E+02
0.408384100000000E+02,-0.790564520000000E+02
0.408384240000000E+02,-0.790574600000000E+02
0.408384240000000E+02,-0.790574600000000E+02
0.408389280000000E+02,-0.790920930000000E+02
0.408361610000000E+02,-0.790934570000000E+02
0.408348800000000E+02,-0.790946610000000E+02
0.408317700000000E+02,-0.791010230000000E+02
0.408289690000000E+02,-0.791009810000000E+02
0.408260030000000E+02,-0.790997770000000E+02
0.408253630000000E+02,-0.790974270000000E+02
0.408249290000000E+02,-0.790972470000000E+02
0.408211090000000E+02,-0.790981480000000E+02
0.408188200000000E+02,-0.791001940000000E+02
0.408181330000000E+02,-0.791031750000000E+02
0.408189780000000E+02,-0.791072700000000E+02
0.408211250000000E+02,-0.791160940000000E+02
0.408248000000000E+02,-0.791271830000000E+02
0.408226310000000E+02,-0.791301970000000E+02
0.408186510000000E+02,-0.791312550000000E+02
0.408186510000000E+02,-0.791312550000000E+02
0.408193160000000E+02,-0.791338740000000E+02
0.408181530000000E+02,-0.791415820000000E+02
0.408190460000000E+02,-0.791440210000000E+02
0.408236230000000E+02,-0.791512740000000E+02
0.408230070000000E+02,-0.791540750000000E+02
0.408230080000000E+02,-0.791572370000000E+02
0.408242210000000E+02,-0.791626260000000E+02
0.408269210000000E+02,-0.791647040000000E+02
0.408279060000000E+02,-0.791684980000000E+02
0.408266940000000E+02,-0.791722020000000E+02
0.408269920000000E+02,-0.791823500000000E+02
0.408338090000000E+02,-0.791816870000000E+02
0.408370810000000E+02,-0.791877700000000E+02
0.408400770000000E+02,-0.791963540000000E+02
0.408400770000000E+02,-0.791968660000000E+02
0.408386590000000E+02,-0.791978600000000E+02
0.408386590000000E+02,-0.791978600000000E+02
0.408422040000000E+02,-0.792016560000000E+02
0.408442180000000E+02,-0.791997580000000E+02
0.408489990000000E+02,-0.791979520000000E+02
0.408537790000000E+02,-0.792037360000000E+02
0.408548760000000E+02,-0.792085280000000E+02
0.408575300000000E+02,-0.792131980000000E+02
0.408605270000000E+02,-0.792124460000000E+02
0.408669330000000E+02,-0.792093140000000E+02
0.408699070000000E+02,-0.792085320000000E+02
0.408712020000000E+02,-0.792152310000000E+02
0.408959580000000E+02,-0.792152780000000E+02
0.408952730000000E+02,-0.792138090000000E+02
0.408869200000000E+02,-0.792074560000000E+02
0.408857300000000E+02,-0.792048950000000E+02
0.408889850000000E+02,-0.791968260000000E+02
0.408935010000000E+02,-0.791957610000000E+02
0.408960250000000E+02,-0.791956650000000E+02
0.408964300000000E+02,-0.791908480000000E+02
0.408936850000000E+02,-0.791843970000000E+02
0.408972520000000E+02,-0.791712230000000E+02
0.408972980000000E+02,-0.791692940000000E+02
0.408971140000000E+02,-0.791684390000000E+02
0.408950310000000E+02,-0.791662800000000E+02
0.408938420000000E+02,-0.791661900000000E+02
0.408931560000000E+02,-0.791674260000000E+02
0.408932720000000E+02,-0.791700490000000E+02
0.408927690000000E+02,-0.791718570000000E+02
0.408914650000000E+02,-0.791727020000000E+02
0.408900910000000E+02,-0.791725810000000E+02
0.408887870000000E+02,-0.791712860000000E+02
0.408884440000000E+02,-0.791692060000000E+02
0.408898160000000E+02,-0.791653770000000E+02
0.408924460000000E+02,-0.791636280000000E+02
0.408935900000000E+02,-0.791632660000000E+02
0.408992400000000E+02,-0.791632940000000E+02
0.409005250000000E+02,-0.791636920000000E+02
0.409005250000000E+02,-0.791636920000000E+02
0.409010470000000E+02,-0.791612270000000E+02
0.409005190000000E+02,-0.791590280000000E+02
0.408988020000000E+02,-0.791568000000000E+02
0.408951620000000E+02,-0.791541220000000E+02
0.408946350000000E+02,-0.791533090000000E+02
0.408945190000000E+02,-0.791515300000000E+02
0.408982880000000E+02,-0.791461280000000E+02
0.409000680000000E+02,-0.791425070000000E+02
0.409020440000000E+02,-0.791364910000000E+02
0.409026130000000E+02,-0.791303710000000E+02
0.409016510000000E+02,-0.791270860000000E+02
0.409020430000000E+02,-0.791251910000000E+02
0.409064620000000E+02,-0.791218400000000E+02
0.409104020000000E+02,-0.791153260000000E+02
END,END
