LAT,LON
0.412174450000000E+02,-0.779595420000000E+02
0.412174970000000E+02,-0.779594380000000E+02
0.412174970000000E+02,-0.779594380000000E+02
0.412174300000000E+02,-0.779556080000000E+02
0.412137930000000E+02,-0.779505870000000E+02
0.412102950000000E+02,-0.779435680000000E+02
0.412094400000000E+02,-0.779407940000000E+02
0.412103450000000E+02,-0.779370460000000E+02
0.412117530000000E+02,-0.779356110000000E+02
0.412134530000000E+02,-0.779353060000000E+02
0.412149090000000E+02,-0.779355730000000E+02
0.412198130000000E+02,-0.779387630000000E+02
0.412211080000000E+02,-0.779391570000000E+02
0.412227350000000E+02,-0.779389790000000E+02
0.412248740000000E+02,-0.779378800000000E+02
0.412260340000000E+02,-0.779362300000000E+02
0.412264220000000E+02,-0.779344670000000E+02
0.412262860000000E+02,-0.779246110000000E+02
0.412275080000000E+02,-0.779217480000000E+02
0.412292960000000E+02,-0.779201130000000E+02
0.412354550000000E+02,-0.779168520000000E+02
0.412420620000000E+02,-0.779125630000000E+02
0.412436420000000E+02,-0.779107980000000E+02
0.412460890000000E+02,-0.779059840000000E+02
0.412485770000000E+02,-0.779025440000000E+02
0.412528680000000E+02,-0.778981270000000E+02
0.412518210000000E+02,-0.778981290000000E+02
0.412518210000000E+02,-0.778981290000000E+02
0.412457430000000E+02,-0.779056260000000E+02
0.412430460000000E+02,-0.779105350000000E+02
0.412413760000000E+02,-0.779122920000000E+02
0.412273390000000E+02,-0.779199290000000E+02
0.412258760000000E+02,-0.779233210000000E+02
0.412261050000000E+02,-0.779316480000000E+02
0.412257390000000E+02,-0.779353440000000E+02
0.412241390000000E+02,-0.779374630000000E+02
0.412220120000000E+02,-0.779384620000000E+02
0.412207320000000E+02,-0.779384010000000E+02
0.412153580000000E+02,-0.779353730000000E+02
0.412138950000000E+02,-0.779349800000000E+02
0.412114940000000E+02,-0.779350700000000E+02
0.412101680000000E+02,-0.779364630000000E+02
0.412090020000000E+02,-0.779388240000000E+02
0.412090930000000E+02,-0.779411260000000E+02
0.412123160000000E+02,-0.779493610000000E+02
0.412165220000000E+02,-0.779545100000000E+02
0.412172760000000E+02,-0.779574170000000E+02
0.412165670000000E+02,-0.779595360000000E+02
0.412146230000000E+02,-0.779618660000000E+02
0.412119250000000E+02,-0.779629850000000E+02
0.412095690000000E+02,-0.779648010000000E+02
0.412059780000000E+02,-0.779708540000000E+02
0.412047430000000E+02,-0.779718520000000E+02
