LAT,LON
0.184586806678238E+02,-0.659926595296470E+02
0.184595600632949E+02,-0.659924562453291E+02
0.184599446593125E+02,-0.659923673406875E+02
0.184600240000000E+02,-0.659923490000000E+02
0.184600447001718E+02,-0.659922672998282E+02
0.184604190000000E+02,-0.659907900000000E+02
0.184575473784253E+02,-0.659805586008143E+02
0.184513540000000E+02,-0.659584920000000E+02
0.184487257156399E+02,-0.659451650188061E+02
0.184448810000000E+02,-0.659256700000000E+02
0.184446190000000E+02,-0.659168430000000E+02
0.184468930000000E+02,-0.659077560000000E+02
0.184509260000000E+02,-0.659049880000000E+02
0.184392155419892E+02,-0.658805478541754E+02
0.184383220000000E+02,-0.658786830000000E+02
0.184368813620037E+02,-0.658697901783711E+02
0.184336011180135E+02,-0.658495417712223E+02
0.184319009208359E+02,-0.658390467334175E+02
0.184318650000000E+02,-0.658388250000000E+02
0.184268490000000E+02,-0.658314760000000E+02
0.184265100169397E+02,-0.658311663580535E+02
0.184234087269364E+02,-0.658283335041860E+02
0.184234087269364E+02,-0.658283335041860E+02
0.184204370000000E+02,-0.658328480000000E+02
0.184167360000000E+02,-0.658348180000000E+02
0.184148110000000E+02,-0.658350830000000E+02
0.184143140000000E+02,-0.658366940000000E+02
0.184086780000000E+02,-0.658426550000000E+02
0.184070720000000E+02,-0.658428780000000E+02
0.184056980000000E+02,-0.658438200000000E+02
0.184040420000000E+02,-0.658470500000000E+02
0.184035140000000E+02,-0.658499280000000E+02
0.184017000000000E+02,-0.658525390000000E+02
0.184007760000000E+02,-0.658523990000000E+02
0.183993010000000E+02,-0.658541030000000E+02
0.183947100000000E+02,-0.658560020000000E+02
0.183947100000000E+02,-0.658560020000000E+02
0.183979100000000E+02,-0.658550280000000E+02
0.183998160000000E+02,-0.658595250000000E+02
0.184021530000000E+02,-0.658588070000000E+02
0.184020860000000E+02,-0.658578850000000E+02
0.184027190000000E+02,-0.658577740000000E+02
0.184097270000000E+02,-0.658589570000000E+02
0.184088970000000E+02,-0.658639270000000E+02
0.184089410000000E+02,-0.658699560000000E+02
0.184090570000000E+02,-0.658752260000000E+02
0.184108100000000E+02,-0.658813860000000E+02
0.184115040000000E+02,-0.658934350000000E+02
0.184135980000000E+02,-0.658999930000000E+02
0.184009720000000E+02,-0.659097460000000E+02
0.184030660000000E+02,-0.659135230000000E+02
0.184001880000000E+02,-0.659190100000000E+02
0.184001880000000E+02,-0.659190100000000E+02
0.184097770000000E+02,-0.659195940000000E+02
0.184111760000000E+02,-0.659200850000000E+02
0.184117930000000E+02,-0.659229140000000E+02
0.184114840000000E+02,-0.659241420000000E+02
0.184129460000000E+02,-0.659283740000000E+02
0.184144120000000E+02,-0.659276880000000E+02
0.184155960000000E+02,-0.659261720000000E+02
0.184227710000000E+02,-0.659308600000000E+02
0.184283010000000E+02,-0.659312540000000E+02
0.184303580000000E+02,-0.659380550000000E+02
0.184347060000000E+02,-0.659490980000000E+02
0.184355570000000E+02,-0.659549450000000E+02
0.184334740000000E+02,-0.659572170000000E+02
0.184321660000000E+02,-0.659669780000000E+02
0.184321660000000E+02,-0.659669780000000E+02
0.184377170000000E+02,-0.659698830000000E+02
0.184383220000000E+02,-0.659699930000000E+02
0.184403720000000E+02,-0.659709010000000E+02
0.184423190000000E+02,-0.659764770000000E+02
0.184423630000000E+02,-0.659827630000000E+02
0.184432250000000E+02,-0.659849070000000E+02
0.184448010000000E+02,-0.659857930000000E+02
0.184505870000000E+02,-0.659850380000000E+02
0.184543820000000E+02,-0.659863250000000E+02
0.184586806678238E+02,-0.659926595296470E+02
END,END
