LAT,LON
0.418558130000000E+02,-0.717259770000000E+02
0.418525060000000E+02,-0.717215080000000E+02
0.418474990000000E+02,-0.717198530000000E+02
0.418452130000000E+02,-0.717202800000000E+02
0.418418050000000E+02,-0.717230910000000E+02
0.418388780000000E+02,-0.717247700000000E+02
0.418345810000000E+02,-0.717203960000000E+02
0.418296690000000E+02,-0.717106110000000E+02
0.418287330000000E+02,-0.717075850000000E+02
0.418310880000000E+02,-0.717066380000000E+02
0.418333060000000E+02,-0.717067920000000E+02
0.418363910000000E+02,-0.717078020000000E+02
0.418400040000000E+02,-0.717072530000000E+02
0.418472060000000E+02,-0.717043200000000E+02
0.418434120000000E+02,-0.716956960000000E+02
0.418317760000000E+02,-0.716924830000000E+02
0.418304270000000E+02,-0.716914130000000E+02
0.418280490000000E+02,-0.716860640000000E+02
0.417947790000000E+02,-0.716801250000000E+02
0.417947790000000E+02,-0.716801250000000E+02
0.417951940000000E+02,-0.716817240000000E+02
0.417988060000000E+02,-0.716876210000000E+02
0.418062140000000E+02,-0.716923880000000E+02
0.418065340000000E+02,-0.716940380000000E+02
0.418049790000000E+02,-0.716964830000000E+02
0.417983490000000E+02,-0.716937010000000E+02
0.417969770000000E+02,-0.716924180000000E+02
0.417919490000000E+02,-0.716796370000000E+02
0.417919490000000E+02,-0.716796370000000E+02
0.417909320000000E+02,-0.716794610000000E+02
0.417909320000000E+02,-0.716794610000000E+02
0.417575590000000E+02,-0.716736340000000E+02
0.417591820000000E+02,-0.716726870000000E+02
0.417615140000000E+02,-0.716722890000000E+02
0.417691510000000E+02,-0.716719520000000E+02
0.417725110000000E+02,-0.716700880000000E+02
0.417714820000000E+02,-0.716662700000000E+02
0.417697670000000E+02,-0.716630340000000E+02
0.417692350000000E+02,-0.716559340000000E+02
0.417707230000000E+02,-0.716482510000000E+02
0.417709250000000E+02,-0.716379270000000E+02
0.417697800000000E+02,-0.716334380000000E+02
0.417682930000000E+02,-0.716336840000000E+02
0.417688640000000E+02,-0.716321570000000E+02
0.417701210000000E+02,-0.716307510000000E+02
0.417701210000000E+02,-0.716307510000000E+02
0.417708060000000E+02,-0.716287340000000E+02
0.417698080000000E+02,-0.716245090000000E+02
0.417691950000000E+02,-0.716231970000000E+02
0.417675700000000E+02,-0.716223580000000E+02
0.417668460000000E+02,-0.716211220000000E+02
0.417694010000000E+02,-0.716164970000000E+02
0.417720180000000E+02,-0.716145290000000E+02
0.417726290000000E+02,-0.716132930000000E+02
0.417714080000000E+02,-0.716113700000000E+02
0.417703550000000E+02,-0.716111570000000E+02
0.417687910000000E+02,-0.716070820000000E+02
0.417708990000000E+02,-0.716030080000000E+02
0.417619990000000E+02,-0.715987080000000E+02
0.417587990000000E+02,-0.715999080000000E+02
0.417587990000000E+02,-0.715999080000000E+02
0.417601990000000E+02,-0.716030080000000E+02
0.417577590000000E+02,-0.716058160000000E+02
0.417542880000000E+02,-0.716065640000000E+02
0.417515410000000E+02,-0.716065790000000E+02
0.417472680000000E+02,-0.716097830000000E+02
0.417404410000000E+02,-0.716245090000000E+02
0.417370610000000E+02,-0.716300520000000E+02
0.417313930000000E+02,-0.716359170000000E+02
0.417294040000000E+02,-0.716372000000000E+02
0.417277040000000E+02,-0.716408030000000E+02
0.417277040000000E+02,-0.716408030000000E+02
0.417276900000000E+02,-0.716412300000000E+02
0.417276900000000E+02,-0.716412300000000E+02
0.417343910000000E+02,-0.716438200000000E+02
0.417416380000000E+02,-0.716425030000000E+02
0.417435150000000E+02,-0.716429260000000E+02
0.417416620000000E+02,-0.716443660000000E+02
0.417343920000000E+02,-0.716467810000000E+02
0.417299100000000E+02,-0.716468750000000E+02
0.417276920000000E+02,-0.716447170000000E+02
0.417276920000000E+02,-0.716447170000000E+02
0.417273600000000E+02,-0.716724070000000E+02
0.417273600000000E+02,-0.716724070000000E+02
0.417247340000000E+02,-0.717896780000000E+02
0.417247340000000E+02,-0.717896780000000E+02
0.417702730000000E+02,-0.717910620000000E+02
0.418070010000000E+02,-0.717927670000000E+02
0.418086700000000E+02,-0.717927860000000E+02
0.418401410000000E+02,-0.717941610000000E+02
0.418411010000000E+02,-0.717941610000000E+02
0.418544087590244E+02,-0.717946917917968E+02
0.418544087590244E+02,-0.717946917917968E+02
0.418558130000000E+02,-0.717259770000000E+02
END,END
