LAT,LON
0.420149708422475E+02,-0.715289238547777E+02
0.420149792310146E+02,-0.715285167821831E+02
0.420149792310146E+02,-0.715285167821831E+02
0.420126480000000E+02,-0.715298560000000E+02
0.420105430000000E+02,-0.715299780000000E+02
0.420076050000000E+02,-0.715266360000000E+02
0.420072770000000E+02,-0.715248200000000E+02
0.420053980000000E+02,-0.715244060000000E+02
0.420018760000000E+02,-0.715245760000000E+02
0.420008760000000E+02,-0.715239660000000E+02
0.420025850000000E+02,-0.715208990000000E+02
0.420025170000000E+02,-0.715192660000000E+02
0.420020510000000E+02,-0.715182440000000E+02
0.419987790000000E+02,-0.715170520000000E+02
0.419984610000000E+02,-0.715161890000000E+02
0.419988430000000E+02,-0.715151090000000E+02
0.420035010000000E+02,-0.715109490000000E+02
0.420048510000000E+02,-0.715071800000000E+02
0.420066980000000E+02,-0.715043050000000E+02
0.420064990000000E+02,-0.715016260000000E+02
0.420043020000000E+02,-0.714986510000000E+02
0.420031120000000E+02,-0.714977200000000E+02
0.419994420000000E+02,-0.714962700000000E+02
0.419955510000000E+02,-0.714927450000000E+02
0.419867920000000E+02,-0.714903960000000E+02
0.419790940000000E+02,-0.714870230000000E+02
0.419783690000000E+02,-0.714857860000000E+02
0.419784980000000E+02,-0.714840040000000E+02
0.419788810000000E+02,-0.714859850000000E+02
0.419794980000000E+02,-0.714864050000000E+02
0.419794980000000E+02,-0.714864050000000E+02
0.419791930000000E+02,-0.714859690000000E+02
0.419788650000000E+02,-0.714849320000000E+02
0.419788980000000E+02,-0.714835040000000E+02
0.419780030000000E+02,-0.714803240000000E+02
0.419784980000000E+02,-0.714799040000000E+02
0.419784380000000E+02,-0.714795910000000E+02
0.419775300000000E+02,-0.714779590000000E+02
0.419755620000000E+02,-0.714760510000000E+02
0.419744100000000E+02,-0.714753490000000E+02
0.419736850000000E+02,-0.714740520000000E+02
0.419731970000000E+02,-0.714728770000000E+02
0.419729830000000E+02,-0.714714580000000E+02
0.419726630000000E+02,-0.714705730000000E+02
0.419723980000000E+02,-0.714703040000000E+02
0.419722580000000E+02,-0.714707720000000E+02
0.419720680000000E+02,-0.714704820000000E+02
0.419703430000000E+02,-0.714656750000000E+02
0.419692980000000E+02,-0.714645160000000E+02
0.419686980000000E+02,-0.714641040000000E+02
0.419679710000000E+02,-0.714639360000000E+02
0.419665980000000E+02,-0.714645040000000E+02
0.419661240000000E+02,-0.714644090000000E+02
0.419611350000000E+02,-0.714620590000000E+02
0.419607380000000E+02,-0.714619060000000E+02
