LAT,LON
0.339793970000000E+02,-0.805604860000000E+02
0.339788140000000E+02,-0.805599420000000E+02
0.339693220000000E+02,-0.805584280000000E+02
0.339693750000000E+02,-0.805595300000000E+02
0.339706120000000E+02,-0.805610420000000E+02
0.339705670000000E+02,-0.805621690000000E+02
0.339655500000000E+02,-0.805667060000000E+02
0.339614030000000E+02,-0.805686570000000E+02
0.339566740000000E+02,-0.805679530000000E+02
0.339569270000000E+02,-0.805555730000000E+02
0.339503070000000E+02,-0.805530230000000E+02
0.339464640000000E+02,-0.805370200000000E+02
0.339464640000000E+02,-0.805370200000000E+02
0.339444480000000E+02,-0.805380370000000E+02
0.339372340000000E+02,-0.805452400000000E+02
0.339323790000000E+02,-0.805543100000000E+02
0.339314170000000E+02,-0.805549970000000E+02
0.339244980000000E+02,-0.805555750000000E+02
0.339134570000000E+02,-0.805582680000000E+02
0.338982910000000E+02,-0.805579390000000E+02
0.338897690000000E+02,-0.805564840000000E+02
0.338846140000000E+02,-0.805537100000000E+02
0.338818660000000E+02,-0.805512940000000E+02
0.338804460000000E+02,-0.805489320000000E+02
0.338796210000000E+02,-0.805487120000000E+02
0.338742730000000E+02,-0.805491790000000E+02
0.338616820000000E+02,-0.805532970000000E+02
0.338580420000000E+02,-0.805528480000000E+02
0.338561630000000E+02,-0.805530990000000E+02
0.338466620000000E+02,-0.805565530000000E+02
0.338444860000000E+02,-0.805567230000000E+02
0.338427000000000E+02,-0.805574410000000E+02
0.338390620000000E+02,-0.805604960000000E+02
0.338366610000000E+02,-0.805634110000000E+02
0.338137250000000E+02,-0.806124260000000E+02
0.338137250000000E+02,-0.806124260000000E+02
0.338145630000000E+02,-0.806149180000000E+02
0.338163730000000E+02,-0.806146730000000E+02
0.338186170000000E+02,-0.806161560000000E+02
0.338208850000000E+02,-0.806167340000000E+02
0.338223510000000E+02,-0.806156920000000E+02
0.338243900000000E+02,-0.806162690000000E+02
0.338263140000000E+02,-0.806161610000000E+02
0.338274140000000E+02,-0.806169570000000E+02
0.338287870000000E+02,-0.806192090000000E+02
0.338303440000000E+02,-0.806198960000000E+02
0.338309170000000E+02,-0.806196220000000E+02
0.338319960000000E+02,-0.806165210000000E+02
0.338335080000000E+02,-0.806156980000000E+02
0.338353400000000E+02,-0.806157820000000E+02
0.338365300000000E+02,-0.806183910000000E+02
0.338386150000000E+02,-0.806182000000000E+02
0.338396450000000E+02,-0.806189690000000E+02
0.338397810000000E+02,-0.806216870000000E+02
0.338413390000000E+02,-0.806222370000000E+02
0.338419110000000E+02,-0.806233080000000E+02
0.338420250000000E+02,-0.806267190000000E+02
0.338424150000000E+02,-0.806272680000000E+02
0.338454160000000E+02,-0.806271830000000E+02
0.338475030000000E+02,-0.806305600000000E+02
0.338514440000000E+02,-0.806327810000000E+02
0.338520170000000E+02,-0.806327810000000E+02
0.338520850000000E+02,-0.806312970000000E+02
0.338531380000000E+02,-0.806302530000000E+02
0.338542140000000E+02,-0.806298130000000E+02
0.338568260000000E+02,-0.806303880000000E+02
0.338605360000000E+02,-0.806275020000000E+02
0.338603750000000E+02,-0.806262940000000E+02
0.338591040000000E+02,-0.806248080000000E+02
0.338593450000000E+02,-0.806229910000000E+02
0.338603310000000E+02,-0.806223320000000E+02
0.338618650000000E+02,-0.806225260000000E+02
0.338654380000000E+02,-0.806243100000000E+02
0.338690120000000E+02,-0.806245040000000E+02
0.338697220000000E+02,-0.806243800000000E+02
0.338715100000000E+02,-0.806225870000000E+02
0.338735030000000E+02,-0.806225610000000E+02
0.338758480000000E+02,-0.806237450000000E+02
0.338771770000000E+02,-0.806228670000000E+02
0.338771770000000E+02,-0.806228670000000E+02
0.338794680000000E+02,-0.806241760000000E+02
0.338794680000000E+02,-0.806241760000000E+02
0.338807280000000E+02,-0.806242430000000E+02
0.338802020000000E+02,-0.806221270000000E+02
0.338803860000000E+02,-0.806208920000000E+02
0.338822870000000E+02,-0.806202890000000E+02
0.338848970000000E+02,-0.806234490000000E+02
0.338875310000000E+02,-0.806251190000000E+02
0.338928910000000E+02,-0.806253920000000E+02
0.338928220000000E+02,-0.806244440000000E+02
0.338897080000000E+02,-0.806234800000000E+02
0.338882210000000E+02,-0.806200180000000E+02
0.338889090000000E+02,-0.806178760000000E+02
0.338903530000000E+02,-0.806155690000000E+02
0.338926680000000E+02,-0.806146370000000E+02
0.338956910000000E+02,-0.806166990000000E+02
0.338960570000000E+02,-0.806178260000000E+02
0.338954130000000E+02,-0.806213960000000E+02
0.338979530000000E+02,-0.806251150000000E+02
0.338999470000000E+02,-0.806254700000000E+02
0.339026960000000E+02,-0.806236270000000E+02
0.339057890000000E+02,-0.806244630000000E+02
0.339087670000000E+02,-0.806273860000000E+02
0.339124790000000E+02,-0.806291420000000E+02
0.339173380000000E+02,-0.806337000000000E+02
0.339179800000000E+02,-0.806335620000000E+02
0.339190320000000E+02,-0.806313910000000E+02
0.339207040000000E+02,-0.806302630000000E+02
0.339218500000000E+02,-0.806304000000000E+02
