LAT,LON
0.335216320000000E+02,-0.818360270000000E+02
0.335193690000000E+02,-0.818382660000000E+02
0.335193690000000E+02,-0.818382660000000E+02
0.335160250000000E+02,-0.818408260000000E+02
0.335119930000000E+02,-0.818370820000000E+02
0.335108890000000E+02,-0.818376420000000E+02
0.335137120000000E+02,-0.818432090000000E+02
0.335166970000000E+02,-0.818467780000000E+02
0.335154640000000E+02,-0.818489860000000E+02
0.335127760000000E+02,-0.818505860000000E+02
0.335111760000000E+02,-0.818508420000000E+02
0.335058700000000E+02,-0.818555350000000E+02
0.335072640000000E+02,-0.818619930000000E+02
0.335077520000000E+02,-0.818623940000000E+02
0.335077520000000E+02,-0.818623940000000E+02
0.335086640000000E+02,-0.818631940000000E+02
0.335088400000000E+02,-0.818692750000000E+02
0.335068720000000E+02,-0.818738190000000E+02
0.335035760000000E+02,-0.818781390000000E+02
0.335007120000000E+02,-0.818806510000000E+02
0.335007120000000E+02,-0.818806510000000E+02
0.334984360000000E+02,-0.818885350000000E+02
0.334984360000000E+02,-0.818885350000000E+02
0.335053200000000E+02,-0.818941370000000E+02
0.335053200000000E+02,-0.818941370000000E+02
0.335107760000000E+02,-0.818692270000000E+02
0.335119710000000E+02,-0.818668600000000E+02
0.335255120000000E+02,-0.818491300000000E+02
0.335255120000000E+02,-0.818491300000000E+02
0.335248080000000E+02,-0.818481700000000E+02
0.335202640000000E+02,-0.818479940000000E+02
0.335192760000000E+02,-0.818421890000000E+02
0.335218440000000E+02,-0.818372760000000E+02
0.335216320000000E+02,-0.818360270000000E+02
END,END
