LAT,LON
0.441401060000000E+02,-0.102467678000000E+03
0.441401800000000E+02,-0.102388608000000E+03
0.441401800000000E+02,-0.102388608000000E+03
0.441383720000000E+02,-0.102385829000000E+03
0.441367950000000E+02,-0.102385069000000E+03
0.441332520000000E+02,-0.102386564000000E+03
0.441316540000000E+02,-0.102390278000000E+03
0.441283420000000E+02,-0.102394788000000E+03
0.441174410000000E+02,-0.102393807000000E+03
0.441141030000000E+02,-0.102392603000000E+03
0.441115890000000E+02,-0.102392383000000E+03
0.441088700000000E+02,-0.102393973000000E+03
0.441061070000000E+02,-0.102397623000000E+03
0.441036840000000E+02,-0.102399496000000E+03
0.441016510000000E+02,-0.102400354000000E+03
0.440989310000000E+02,-0.102400863000000E+03
0.440973310000000E+02,-0.102400674000000E+03
0.440962780000000E+02,-0.102397725000000E+03
0.440950440000000E+02,-0.102396933000000E+03
0.440933520000000E+02,-0.102397347000000E+03
0.440901530000000E+02,-0.102399569000000E+03
0.440858110000000E+02,-0.102401538000000E+03
0.440830000000000E+02,-0.102402333000000E+03
0.440820400000000E+02,-0.102402270000000E+03
0.440807370000000E+02,-0.102401383000000E+03
0.440804680000000E+02,-0.102397679000000E+03
0.440735410000000E+02,-0.102390957000000E+03
0.440725280000000E+02,-0.102391814000000E+03
0.440732840000000E+02,-0.102396696000000E+03
0.440705200000000E+02,-0.102400090000000E+03
0.440693320000000E+02,-0.102402659000000E+03
0.440685330000000E+02,-0.102407192000000E+03
0.440696100000000E+02,-0.102414641000000E+03
0.440697480000000E+02,-0.102420347000000E+03
0.440689270000000E+02,-0.102433599000000E+03
0.440642190000000E+02,-0.102442032000000E+03
0.440642190000000E+02,-0.102442032000000E+03
0.440643460000000E+02,-0.102442738000000E+03
0.440636010000000E+02,-0.102443934000000E+03
0.440601730000000E+02,-0.102448181000000E+03
0.440579550000000E+02,-0.102452935000000E+03
0.440568570000000E+02,-0.102456864000000E+03
0.440553260000000E+02,-0.102457910000000E+03
0.440526740000000E+02,-0.102457782000000E+03
0.440513030000000E+02,-0.102457116000000E+03
0.440495890000000E+02,-0.102455310000000E+03
0.440476010000000E+02,-0.102451918000000E+03
0.440426870000000E+02,-0.102451569000000E+03
0.440407210000000E+02,-0.102452424000000E+03
0.440398750000000E+02,-0.102453818000000E+03
