LAT,LON
0.354791980000000E+02,-0.857411680000000E+02
0.354818660000000E+02,-0.857408340000000E+02
0.354888040000000E+02,-0.857429660000000E+02
0.354969100000000E+02,-0.857404240000000E+02
0.355026290000000E+02,-0.857357830000000E+02
0.355078050000000E+02,-0.857337970000000E+02
0.355104850000000E+02,-0.857339390000000E+02
0.355127450000000E+02,-0.857355620000000E+02
0.355156030000000E+02,-0.857357380000000E+02
0.355173310000000E+02,-0.857344570000000E+02
0.355188100000000E+02,-0.857316390000000E+02
0.355202880000000E+02,-0.857310870000000E+02
0.355221370000000E+02,-0.857314310000000E+02
0.355224420000000E+02,-0.857345440000000E+02
0.355253490000000E+02,-0.857369230000000E+02
0.355289640000000E+02,-0.856970800000000E+02
0.355272310000000E+02,-0.856940320000000E+02
0.355259950000000E+02,-0.856943960000000E+02
0.355248500000000E+02,-0.856954610000000E+02
0.355223080000000E+02,-0.856961610000000E+02
0.355157360000000E+02,-0.856958800000000E+02
0.355142250000000E+02,-0.856941430000000E+02
0.355142250000000E+02,-0.856941430000000E+02
0.355113160000000E+02,-0.857017050000000E+02
0.355070100000000E+02,-0.857066040000000E+02
0.355038950000000E+02,-0.857152000000000E+02
0.355012380000000E+02,-0.857193440000000E+02
0.354969850000000E+02,-0.857235390000000E+02
0.354929760000000E+02,-0.857262540000000E+02
0.354922430000000E+02,-0.857282130000000E+02
0.354928080000000E+02,-0.857363250000000E+02
0.354920110000000E+02,-0.857378150000000E+02
0.354864820000000E+02,-0.857349150000000E+02
0.354841240000000E+02,-0.857347680000000E+02
0.354801510000000E+02,-0.857362140000000E+02
0.354788770000000E+02,-0.857396950000000E+02
0.354791980000000E+02,-0.857411680000000E+02
END,END
