LAT,LON
0.365941033244417E+02,-0.826088792606345E+02
0.365902250000000E+02,-0.826059550000000E+02
0.365771020000000E+02,-0.825997140000000E+02
0.365752790000000E+02,-0.826009650000000E+02
0.365712050000000E+02,-0.826086860000000E+02
0.365725020000000E+02,-0.826104110000000E+02
0.365785520000000E+02,-0.826129740000000E+02
0.365796660000000E+02,-0.826150050000000E+02
0.365792620000000E+02,-0.826164240000000E+02
0.365735700000000E+02,-0.826174760000000E+02
0.365700070000000E+02,-0.826174450000000E+02
0.365645440000000E+02,-0.826129130000000E+02
0.365627060000000E+02,-0.826121650000000E+02
0.365605240000000E+02,-0.826128220000000E+02
0.365587990000000E+02,-0.826154760000000E+02
0.365577010000000E+02,-0.826161170000000E+02
0.365483990000000E+02,-0.826120760000000E+02
0.365500990000000E+02,-0.826100760000000E+02
0.365509000000000E+02,-0.826075760000000E+02
0.365515000000000E+02,-0.826012760000000E+02
0.365500120000000E+02,-0.825872060000000E+02
0.365510200000000E+02,-0.825815390000000E+02
0.365506000000000E+02,-0.825771740000000E+02
0.365463000000000E+02,-0.825742740000000E+02
0.365397000000000E+02,-0.825656740000000E+02
0.365313000000000E+02,-0.825568730000000E+02
0.365284010000000E+02,-0.825523730000000E+02
0.365276010000000E+02,-0.825492730000000E+02
0.365253310000000E+02,-0.825463800000000E+02
0.365253310000000E+02,-0.825463800000000E+02
0.365220970000000E+02,-0.825436800000000E+02
0.365187320000000E+02,-0.825420780000000E+02
0.365115680000000E+02,-0.825368140000000E+02
0.365111640000000E+02,-0.825342960000000E+02
0.365157180000000E+02,-0.825292900000000E+02
0.365160010000000E+02,-0.825254710000000E+02
0.365150010000000E+02,-0.825237710000000E+02
0.365133010000000E+02,-0.825228710000000E+02
0.365092010000000E+02,-0.825234710000000E+02
0.365071010000000E+02,-0.825244710000000E+02
0.364989020000000E+02,-0.825097700000000E+02
0.364987020000000E+02,-0.825081700000000E+02
0.364997020000000E+02,-0.825071700000000E+02
0.365051020000000E+02,-0.825100700000000E+02
0.365073020000000E+02,-0.825103700000000E+02
0.365087020000000E+02,-0.825094700000000E+02
0.365093020000000E+02,-0.825082700000000E+02
0.365089750000000E+02,-0.825049360000000E+02
0.365070220000000E+02,-0.825014720000000E+02
0.365061220000000E+02,-0.824975350000000E+02
0.365060990000000E+02,-0.824949570000000E+02
0.365069840000000E+02,-0.824904240000000E+02
0.365063660000000E+02,-0.824866850000000E+02
0.365061370000000E+02,-0.824861510000000E+02
0.365051150000000E+02,-0.824861670000000E+02
0.365024440000000E+02,-0.824841520000000E+02
0.364997820000000E+02,-0.824794530000000E+02
0.364980800000000E+02,-0.824749810000000E+02
0.364994020000000E+02,-0.824719680000000E+02
0.364994020000000E+02,-0.824719680000000E+02
0.364885280000000E+02,-0.824753620000000E+02
0.364826380000000E+02,-0.824732570000000E+02
0.364781450000000E+02,-0.824759270000000E+02
0.364781900000000E+02,-0.824796500000000E+02
0.364768700000000E+02,-0.824809180000000E+02
0.364756570000000E+02,-0.824810850000000E+02
0.364741320000000E+02,-0.824798330000000E+02
0.364731020000000E+02,-0.824767680000000E+02
0.364730560000000E+02,-0.824747980000000E+02
0.364773020000000E+02,-0.824642680000000E+02
0.364773020000000E+02,-0.824642680000000E+02
0.364743380000000E+02,-0.824609570000000E+02
0.364723690000000E+02,-0.824608350000000E+02
0.364706450000000E+02,-0.824657950000000E+02
0.364689130000000E+02,-0.824681300000000E+02
0.364676160000000E+02,-0.824686030000000E+02
0.364631300000000E+02,-0.824686940000000E+02
0.364626020000000E+02,-0.824683680000000E+02
0.364622450000000E+02,-0.824672450000000E+02
0.364633050000000E+02,-0.824625440000000E+02
0.364624600000000E+02,-0.824598740000000E+02
0.364560050000000E+02,-0.824520920000000E+02
0.364524190000000E+02,-0.824460490000000E+02
0.364461100000000E+02,-0.824380070000000E+02
0.364444920000000E+02,-0.824371680000000E+02
0.364419030000000E+02,-0.824373660000000E+02
0.364407030000000E+02,-0.824374660000000E+02
0.364397700000000E+02,-0.824363130000000E+02
0.364400030000000E+02,-0.824316660000000E+02
0.364434240000000E+02,-0.824294310000000E+02
0.364531970000000E+02,-0.824147360000000E+02
0.364501530000000E+02,-0.824095020000000E+02
0.364520760000000E+02,-0.824063580000000E+02
0.364557690000000E+02,-0.824052140000000E+02
0.364567030000000E+02,-0.824053640000000E+02
0.364570660000000E+02,-0.824079920000000E+02
0.364585030000000E+02,-0.824074650000000E+02
0.364594460000000E+02,-0.824052600000000E+02
0.364580800000000E+02,-0.824051070000000E+02
0.364580800000000E+02,-0.824051070000000E+02
0.364657550000000E+02,-0.823933730000000E+02
0.364663030000000E+02,-0.823881640000000E+02
0.364672740000000E+02,-0.823870410000000E+02
0.364736820000000E+02,-0.823825080000000E+02
0.364771310000000E+02,-0.823815920000000E+02
0.364775810000000E+02,-0.823822640000000E+02
0.364782980000000E+02,-0.823823550000000E+02
0.364797480000000E+02,-0.823814240000000E+02
0.364796180000000E+02,-0.823805850000000E+02
0.364784970000000E+02,-0.823801880000000E+02
0.364725760000000E+02,-0.823811340000000E+02
0.364707010000000E+02,-0.823823760000000E+02
0.364675250000000E+02,-0.823847200000000E+02
0.364660150000000E+02,-0.823852850000000E+02
0.364630850000000E+02,-0.823833160000000E+02
0.364618950000000E+02,-0.823809670000000E+02
