LAT,LON
0.366063840000000E+02,-0.852769680000000E+02
0.366058630000000E+02,-0.852776220000000E+02
0.366057030000000E+02,-0.852792120000000E+02
0.366062760000000E+02,-0.852825340000000E+02
0.366097110000000E+02,-0.852842930000000E+02
0.366107870000000E+02,-0.852840080000000E+02
0.366130290000000E+02,-0.852819910000000E+02
0.366238790000000E+02,-0.852783800000000E+02
0.366246900000000E+02,-0.852775270000000E+02
0.366246550000000E+02,-0.852765180000000E+02
0.366246550000000E+02,-0.852765180000000E+02
0.366177770000000E+02,-0.852766870000000E+02
0.366168220000000E+02,-0.852797890000000E+02
0.366140060000000E+02,-0.852791690000000E+02
0.366116520000000E+02,-0.852813390000000E+02
0.366080960000000E+02,-0.852804460000000E+02
0.366072900000000E+02,-0.852769450000000E+02
0.366063840000000E+02,-0.852769680000000E+02
END,END
0.366091670000000E+02,-0.852849330000000E+02
0.366073530000000E+02,-0.852850030000000E+02
0.366064380000000E+02,-0.852857420000000E+02
0.366060040000000E+02,-0.852897740000000E+02
0.366067590000000E+02,-0.852911080000000E+02
0.366094380000000E+02,-0.852926690000000E+02
0.366102620000000E+02,-0.852904820000000E+02
0.366097340000000E+02,-0.852852010000000E+02
0.366091670000000E+02,-0.852849330000000E+02
END,END
0.365653910000000E+02,-0.852717790000000E+02
0.365582010000000E+02,-0.852752050000000E+02
0.365562060000000E+02,-0.852766890000000E+02
0.365554700000000E+02,-0.852780840000000E+02
0.365411460000000E+02,-0.852845930000000E+02
0.365387330000000E+02,-0.852808890000000E+02
0.365357290000000E+02,-0.852816940000000E+02
0.365313050000000E+02,-0.852850330000000E+02
0.365316730000000E+02,-0.852915580000000E+02
0.365292610000000E+02,-0.852926090000000E+02
0.365291460000000E+02,-0.852926520000000E+02
0.365272260000000E+02,-0.852993150000000E+02
0.365226870000000E+02,-0.852990510000000E+02
0.365223840000000E+02,-0.852991900000000E+02
0.365275970000000E+02,-0.853160660000000E+02
0.365248750000000E+02,-0.853160950000000E+02
0.365229070000000E+02,-0.853145620000000E+02
0.365211440000000E+02,-0.853145620000000E+02
0.365181450000000E+02,-0.853178810000000E+02
0.365186030000000E+02,-0.853212280000000E+02
0.365171370000000E+02,-0.853224750000000E+02
0.365142760000000E+02,-0.853209440000000E+02
