LAT,LON
0.293683170000000E+02,-0.959462730000000E+02
0.293609240000000E+02,-0.959401400000000E+02
0.293587260000000E+02,-0.959368990000000E+02
0.293582910000000E+02,-0.959373430000000E+02
0.293581880000000E+02,-0.959388590000000E+02
0.293524500000000E+02,-0.959398260000000E+02
0.293519230000000E+02,-0.959441390000000E+02
0.293506630000000E+02,-0.959480070000000E+02
0.293474100000000E+02,-0.959525550000000E+02
0.293452810000000E+02,-0.959532860000000E+02
0.293436320000000E+02,-0.959529720000000E+02
0.293364870000000E+02,-0.959505140000000E+02
0.293353880000000E+02,-0.959496250000000E+02
0.293322510000000E+02,-0.959445540000000E+02
0.293287470000000E+02,-0.959331850000000E+02
0.293285870000000E+02,-0.959319310000000E+02
0.293297090000000E+02,-0.959254480000000E+02
0.293293650000000E+02,-0.959231480000000E+02
0.293259300000000E+02,-0.959191760000000E+02
0.293231130000000E+02,-0.959188370000000E+02
0.293193330000000E+02,-0.959167210000000E+02
0.293152750000000E+02,-0.958947180000000E+02
0.293134620000000E+02,-0.958935140000000E+02
0.293138540000000E+02,-0.958901710000000E+02
0.293160740000000E+02,-0.958865120000000E+02
0.293198260000000E+02,-0.958775720000000E+02
0.293205770000000E+02,-0.958734660000000E+02
0.293201670000000E+02,-0.958690750000000E+02
0.293236500000000E+02,-0.958634060000000E+02
0.293250260000000E+02,-0.958600610000000E+02
0.293236530000000E+02,-0.958570020000000E+02
0.293204700000000E+02,-0.958550930000000E+02
0.293192560000000E+02,-0.958549610000000E+02
0.293181110000000E+02,-0.958559020000000E+02
0.293093160000000E+02,-0.958566810000000E+02
0.293048270000000E+02,-0.958559480000000E+02
0.293003860000000E+02,-0.958500660000000E+02
0.292978210000000E+02,-0.958474270000000E+02
0.292942260000000E+02,-0.958450480000000E+02
0.292926690000000E+02,-0.958448120000000E+02
0.292910430000000E+02,-0.958434790000000E+02
0.292893490000000E+02,-0.958399770000000E+02
0.292895100000000E+02,-0.958335240000000E+02
0.292904960000000E+02,-0.958278810000000E+02
0.292920450000000E+02,-0.958257700000000E+02
0.292920450000000E+02,-0.958257700000000E+02
0.292919400000000E+02,-0.958243530000000E+02
0.292932910000000E+02,-0.958221590000000E+02
0.292935660000000E+02,-0.958206170000000E+02
0.292931770000000E+02,-0.958169070000000E+02
0.292919080000000E+02,-0.958154840000000E+02
0.292626420000000E+02,-0.958475980000000E+02
0.292608100000000E+02,-0.958451670000000E+02
0.292602150000000E+02,-0.958428940000000E+02
0.292586800000000E+02,-0.958419800000000E+02
0.292586800000000E+02,-0.958419800000000E+02
0.292297020000000E+02,-0.958740280000000E+02
0.292240530000000E+02,-0.958673010000000E+02
0.292153570000000E+02,-0.958570800000000E+02
0.292098630000000E+02,-0.958505040000000E+02
0.292077550000000E+02,-0.958480590000000E+02
0.292047530000000E+02,-0.958445780000000E+02
0.291933510000000E+02,-0.958577960000000E+02
0.291908990000000E+02,-0.958549590000000E+02
0.291908990000000E+02,-0.958549590000000E+02
0.291869750000000E+02,-0.958593180000000E+02
0.292009220000000E+02,-0.958756820000000E+02
0.292015180000000E+02,-0.958773810000000E+02
0.292016350000000E+02,-0.958829670000000E+02
0.292016370000000E+02,-0.958905640000000E+02
0.292011570000000E+02,-0.958929920000000E+02
0.292066560000000E+02,-0.958992030000000E+02
0.291901800000000E+02,-0.959173860000000E+02
0.291869510000000E+02,-0.959209510000000E+02
0.291827570000000E+02,-0.959255800000000E+02
0.291827570000000E+02,-0.959255800000000E+02
0.291847880000000E+02,-0.959275530000000E+02
0.291844670000000E+02,-0.959296670000000E+02
0.291860700000000E+02,-0.959356440000000E+02
0.291867800000000E+02,-0.959359050000000E+02
0.291886580000000E+02,-0.959350960000000E+02
0.291898950000000E+02,-0.959356700000000E+02
0.291927800000000E+02,-0.959409680000000E+02
0.291961700000000E+02,-0.959447790000000E+02
0.291982080000000E+02,-0.959454580000000E+02
0.292030170000000E+02,-0.959515150000000E+02
0.292075500000000E+02,-0.959579900000000E+02
0.292086200000000E+02,-0.959604080000000E+02
0.292102740000000E+02,-0.959616720000000E+02
0.292118320000000E+02,-0.959606540000000E+02
0.292123580000000E+02,-0.959609150000000E+02
0.292251330000000E+02,-0.959764010000000E+02
0.292240310000000E+02,-0.959853550000000E+02
0.292252190000000E+02,-0.959898180000000E+02
0.292290680000000E+02,-0.959884120000000E+02
0.292383120000000E+02,-0.959968350000000E+02
0.292502490000000E+02,-0.959922480000000E+02
0.292521520000000E+02,-0.959905600000000E+02
0.292526570000000E+02,-0.959885240000000E+02
0.292494780000000E+02,-0.959773530000000E+02
0.292507420000000E+02,-0.959752050000000E+02
0.292781310000000E+02,-0.959641130000000E+02
0.292897360000000E+02,-0.959809930000000E+02
0.293336440000000E+02,-0.959633460000000E+02
0.293391870000000E+02,-0.959617010000000E+02
0.293398740000000E+02,-0.959623810000000E+02
0.293431230000000E+02,-0.959720800000000E+02
0.293462830000000E+02,-0.959756100000000E+02
0.293498740000000E+02,-0.959873740000000E+02
0.293498740000000E+02,-0.959873740000000E+02
0.293539740000000E+02,-0.959855990000000E+02
0.293518700000000E+02,-0.959774420000000E+02
0.293618590000000E+02,-0.959645590000000E+02
0.293699910000000E+02,-0.959557760000000E+02
0.293745250000000E+02,-0.959497160000000E+02
0.293745250000000E+02,-0.959497160000000E+02
0.293683170000000E+02,-0.959462730000000E+02
END,END
