LAT,LON
0.282377370000000E+02,-0.979453260000000E+02
0.282388310000000E+02,-0.979434730000000E+02
0.282291340000000E+02,-0.979423850000000E+02
0.282393810000000E+02,-0.979378550000000E+02
0.282409170000000E+02,-0.979367940000000E+02
0.282419490000000E+02,-0.979331700000000E+02
0.282417880000000E+02,-0.979316150000000E+02
0.282394500000000E+02,-0.979301140000000E+02
0.282380050000000E+02,-0.979301140000000E+02
0.282380510000000E+02,-0.979314860000000E+02
0.282342690000000E+02,-0.979368460000000E+02
0.282286760000000E+02,-0.979408320000000E+02
0.282183820000000E+02,-0.979413760000000E+02
0.282133610000000E+02,-0.979443520000000E+02
0.282093720000000E+02,-0.979458790000000E+02
0.282054980000000E+02,-0.979459310000000E+02
0.282010730000000E+02,-0.979427730000000E+02
0.281986200000000E+02,-0.979371830000000E+02
0.281987570000000E+02,-0.979290830000000E+02
0.282009120000000E+02,-0.979283580000000E+02
0.282026780000000E+02,-0.979323950000000E+02
0.282148280000000E+02,-0.979344650000000E+02
0.282137270000000E+02,-0.979268040000000E+02
0.282103100000000E+02,-0.979232070000000E+02
0.282090270000000E+02,-0.979227420000000E+02
0.282073300000000E+02,-0.979194550000000E+02
0.282071232738770E+02,-0.979168844009766E+02
0.282085680000000E+02,-0.979169190000000E+02
0.282095770000000E+02,-0.979207230000000E+02
0.282105850000000E+02,-0.979189630000000E+02
0.282105390000000E+02,-0.979164270000000E+02
0.282096530000000E+02,-0.979135590000000E+02
0.282088720000000E+02,-0.979130110000000E+02
0.282081050000000E+02,-0.979133920000000E+02
0.282067330000000E+02,-0.979131410000000E+02
0.282019160000000E+02,-0.979003850000000E+02
0.281935920000000E+02,-0.978968430000000E+02
0.281829540000000E+02,-0.978934570000000E+02
0.281752970000000E+02,-0.978934340000000E+02
0.281728900000000E+02,-0.978936940000000E+02
0.281693370000000E+02,-0.978960240000000E+02
0.281666330000000E+02,-0.978993630000000E+02
0.281627590000000E+02,-0.979008390000000E+02
0.281581280000000E+02,-0.979000380000000E+02
0.281562480000000E+02,-0.978991600000000E+02
0.281536800000000E+02,-0.978973230000000E+02
0.281509040000000E+02,-0.978924360000000E+02
0.281432450000000E+02,-0.978884820000000E+02
0.281401740000000E+02,-0.978895440000000E+02
0.281381350000000E+02,-0.978909730000000E+02
0.281359560000000E+02,-0.978914850000000E+02
0.281327250000000E+02,-0.978963480000000E+02
0.281326120000000E+02,-0.979020120000000E+02
0.281291740000000E+02,-0.979032290000000E+02
0.281286230000000E+02,-0.979028410000000E+02
0.281279350000000E+02,-0.978996090000000E+02
0.281261910000000E+02,-0.978958600000000E+02
0.281245360000000E+02,-0.978955730000000E+02
0.281230680000000E+02,-0.978943590000000E+02
0.281228150000000E+02,-0.978922480000000E+02
0.281223250000000E+02,-0.978929000000000E+02
